metric,observed,null_mean,null_p05,null_p50,null_p95,p_lower_or_equal,p_higher_or_equal
n_frames_mean,895.5,898.30255,896.0,897.5,901.5,4.999750012499375e-05,1.0
n_frames_min,892.0,895.95505,893.0,895.0,901.0,4.999750012499375e-05,1.0
n_frames_percentile_mean,0.04494382022471905,0.09214662921348313,0.050561797752808946,0.0926966292134831,0.15168539325842695,4.999750012499375e-05,1.0
n_frames_percentile_min,0.0112359550561797,0.05553117977528086,0.0224719101123595,0.0337078651685393,0.1404494382022472,4.999750012499375e-05,1.0
V_mean_mean,3.862787127747806,3.8419576439928975,3.8207020920809267,3.8305842985487013,3.8755859866255307,0.6742162891855408,0.32583370831458425
V_mean_min,3.821635612224316,3.8252864180329924,3.819906377444828,3.8214978067170255,3.836861087936663,0.5591220438978051,0.4409279536023199
I_mean_mA_mean,0.0052635948511247,0.023588242790633786,0.0031388078027354,0.023140951972242498,0.04966104459049705,0.11424428778561072,0.8858057097145142
I_mean_mA_min,0.0034861829990025,0.012160141887677974,0.0024334815383651,0.0038441340671057,0.0438484224061199,0.335833208339583,0.6642167891605419
I_abs_mean_mA_mean,0.500889,0.5008889999999999,0.5008889999999999,0.5008889999999999,0.500889,1.0,0.2231888405579721
I_abs_mean_mA_min,0.500889,0.5008889999999999,0.5008889999999999,0.5008889999999999,0.500889,1.0,0.2231888405579721
duration_s_mean,10484.13150036335,9531.936201156914,9027.836590647697,9074.817904829979,10526.435000061989,0.6742162891855408,0.32583370831458425
duration_s_min,9021.373033046722,9037.574973967623,9003.555330276487,9052.117851018906,9059.980037927628,0.3375331233438328,0.6625168741562922
echem_points_mean,80471.0,77978.371225,69293.5,74549.5,90420.5,0.6742162891855408,0.32583370831458425
echem_points_min,70712.0,59447.33895,55449.0,59062.0,63808.0,1.0,4.999750012499375e-05
