feature_set,method,heldout_source,n_eval,n_positive,observed_rate,mean_predicted_probability,predicted_minus_observed_rate
family::norm_heterogeneity,raw,11_c2_x10_050723,3,3,1.0,0.3979563330791877,-0.6020436669208122
family::norm_heterogeneity,raw,12_c2_x10_070723,6,6,1.0,0.47243779976916,-0.52756220023084
family::norm_heterogeneity,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.8910820576994682,0.8910820576994682
family::norm_heterogeneity,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.400688316442152,0.400688316442152
family::norm_heterogeneity,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5841364121345113,-0.08253025453215534
family::norm_heterogeneity,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.4280764871902204,-0.5719235128097796
family::norm_heterogeneity,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.7129340516947261,0.7129340516947261
family::norm_heterogeneity,raw,5_c2_x10_260623,6,3,0.5,0.35604728330656993,-0.14395271669343007
family::norm_heterogeneity,raw,9_c2_x10_010723,9,9,1.0,0.34562692992232263,-0.6543730700776773
family::norm_heterogeneity,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.3622657409677043,-0.6377342590322956
family::norm_heterogeneity,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.47754375989677317,-0.5224562401032269
family::norm_heterogeneity,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.6775812944970349,0.6775812944970349
family::norm_heterogeneity,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.4568713091613988,0.4568713091613988
family::norm_heterogeneity,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5750020586273454,-0.0916646080393212
family::norm_heterogeneity,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.46430616616275167,-0.5356938338372483
family::norm_heterogeneity,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.6032156419596829,0.6032156419596829
family::norm_heterogeneity,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.45105599356694087,-0.04894400643305913
family::norm_heterogeneity,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.4991458163805753,-0.5008541836194247
family::norm_heterogeneity_plus_particle_vs_context,raw,11_c2_x10_050723,3,3,1.0,0.7534427429047907,-0.24655725709520926
family::norm_heterogeneity_plus_particle_vs_context,raw,12_c2_x10_070723,6,6,1.0,0.6119858799398433,-0.3880141200601567
family::norm_heterogeneity_plus_particle_vs_context,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.8177606535002019,0.8177606535002019
family::norm_heterogeneity_plus_particle_vs_context,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.15783875121520033,0.15783875121520033
family::norm_heterogeneity_plus_particle_vs_context,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.2174568771370427,-0.4492097895296239
family::norm_heterogeneity_plus_particle_vs_context,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.39266734767408185,-0.6073326523259182
family::norm_heterogeneity_plus_particle_vs_context,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.7193612322023593,0.7193612322023593
family::norm_heterogeneity_plus_particle_vs_context,raw,5_c2_x10_260623,6,3,0.5,0.697761965915367,0.197761965915367
family::norm_heterogeneity_plus_particle_vs_context,raw,9_c2_x10_010723,9,9,1.0,0.4628981129490539,-0.5371018870509461
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.6868033445073691,-0.31319665549263087
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.5201989097973537,-0.4798010902026463
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.6594137398915162,0.6594137398915162
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.22677320614462726,0.22677320614462726
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.6816672589739848,0.015000592307318206
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.35644806449532396,-0.643551935504676
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.29033092946730216,0.29033092946730216
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.6553429274090655,0.15534292740906552
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.4568285754614926,-0.5431714245385074
