feature,n_eval,n_positive,n_sources,source_eta2,roc_auc_oriented,roc_auc_positive_direction,orientation,average_precision_oriented,spearman_rho,spearman_p,median_positive,median_negative,median_positive_minus_negative,mannwhitney_p,feature_family
particle_vs_context_mean_diff_positive_fraction,72,57,9,0.390125035521455,0.7690058479532164,0.23099415204678364,lower_in_positive,0.9040116043515714,-0.3807906573287337,0.0009674395888354221,0.5052631578947369,0.5578947368421052,-0.05263157894736836,0.0013665529427647728,particle_vs_context
particle_std_diff_positive_fraction,72,57,9,0.18373913668031286,0.7228070175438597,0.2771929824561403,lower_in_positive,0.9042435040369279,-0.3163013147706565,0.0067933861708408625,0.5157894736842106,0.5263157894736842,-0.010526315789473606,0.007855763262732856,particle_intensity
particle_vs_context_mean_last_minus_first,72,57,9,0.7728609518726782,0.7087719298245614,0.7087719298245614,higher_in_positive,0.9134947105251041,0.29373465081033595,0.01226906391235948,0.0029859308851882,0.0016808568034321,0.0013050740817561,0.013582506566903655,particle_vs_context
particle_mean_diff_positive_fraction,72,57,9,0.3061297792901378,0.7070175438596491,0.29298245614035084,lower_in_positive,0.8788227773887121,-0.2974696702141086,0.011159429116816642,0.5157894736842106,0.5368421052631579,-0.021052631578947323,0.012438856106752454,particle_intensity
particle_mean_last_minus_first,72,57,9,0.710424797171378,0.6830409356725147,0.6830409356725147,higher_in_positive,0.906068561838182,0.2575320607944962,0.028964531154795685,0.0026495156344026,0.0010448382236063,0.0016046774107963003,0.030535734842751124,particle_intensity
particle_vs_context_mean_slope,72,57,9,0.7995551537522398,0.6830409356725146,0.6830409356725146,higher_in_positive,0.9052952155572834,0.2575320607944962,0.028964531154795685,0.0044870813276388,0.0028248440435866,0.0016622372840522002,0.030535734842751124,particle_vs_context
particle_norm_mean,72,57,9,0.8680898566567067,0.6736842105263158,0.6736842105263158,higher_in_positive,0.9026247593206913,0.24455629274333981,0.03841844484730778,1.1680847379358117,1.1581460530028989,0.009938684932912834,0.040001862772706426,norm_heterogeneity
particle_mean_slope,72,57,9,0.730501820559524,0.6666666666666666,0.6666666666666666,higher_in_positive,0.9001457293608519,0.23449404896623458,0.04740509914737821,0.0042080529437391,0.0025269609693552,0.0016810919743839004,0.04895894119118819,particle_intensity
particle_std_last_minus_first,72,57,9,0.40077303461636277,0.6596491228070175,0.6596491228070175,higher_in_positive,0.8958293739370575,0.22462061532555103,0.05783725651182406,0.0049548554234206,0.0013443836942315,0.0036104717291891002,0.05932810860315662,particle_intensity
particle_std_diff_q10,72,57,9,0.7271952276447932,0.6549707602339182,0.3450292397660818,lower_in_positive,0.8953197134986182,-0.218038326231762,0.06577675496569986,-0.0020766735076904,-0.0013785451650619,-0.0006981283426284999,0.06720648519562539,particle_intensity
particle_gradient_std,72,57,9,0.7877403212531279,0.6526315789473685,0.6526315789473685,higher_in_positive,0.9014958653285954,0.21474718168486745,0.07006395248643099,0.0042635888003833,0.0029354527581426,0.0013281360422406998,0.07145750140205377,particle_gradient
particle_std_slope,72,57,9,0.419369379440325,0.6502923976608187,0.6502923976608187,higher_in_positive,0.8948383086799429,0.21145603713797292,0.07457267322961458,0.0072439508896667,0.0030434132966491,0.004200537593017601,0.07592640385416084,particle_intensity
particle_gradient_diff_q90,72,57,9,0.635818367845204,0.6432748538011697,0.6432748538011697,higher_in_positive,0.8998007795741315,0.20158260349728938,0.08950236885281539,0.0009415119886398,0.0004358328878879,0.0005056791007519001,0.09071610593660416,particle_gradient
particle_gradient_diff_abs_mean,72,57,9,0.8013275478680704,0.6421052631578947,0.6421052631578947,higher_in_positive,0.8995312009297209,0.19993703122384213,0.09220507429188722,0.0011960108029214,0.0004142105579376,0.0007818002449837999,0.09339270113256537,particle_gradient
particle_gradient_first_mean,72,57,9,0.4214081994907878,0.631578947368421,0.368421052631579,lower_in_positive,0.88039663573838,-0.18512688076281678,0.1195056265049961,0.0307422239566221,0.0343320177053101,-0.0035897937486880013,0.12042936889050415,particle_gradient
particle_prior_area_fraction,72,57,9,0.1820262472175159,0.6292397660818714,0.3707602339181286,lower_in_positive,0.875892432935962,-0.18183573621592228,0.12633906233482103,0.4554036458333333,0.5107421875,-0.055338541666666685,0.1271986914480061,norm_heterogeneity
particle_gradient_diff_positive_fraction,72,57,9,0.41348667672196937,0.6280701754385964,0.37192982456140355,lower_in_positive,0.8803244266256083,-0.1808807344482811,0.12837662538663355,0.5157894736842106,0.5157894736842106,0.0,0.12922410415722863,particle_gradient
particle_gradient_diff_q10,72,57,9,0.639165794984109,0.6233918128654972,0.3766081871345029,lower_in_positive,0.8891159202155292,-0.17360787484868595,0.14472199540139263,-0.0010354094207286,-0.000507378205657,-0.0005280312150716,0.1454166614951515,particle_gradient
particle_std_mean,72,57,9,0.14532582355168217,0.616374269005848,0.616374269005848,higher_in_positive,0.8671463027325641,0.1637344412080024,0.16934478805640996,0.1769306479642788,0.1715793254164358,0.005351322547842985,0.16984002948226407,particle_intensity
particle_mean_mean,72,57,9,0.18594488524065006,0.6163742690058479,0.6163742690058479,higher_in_positive,0.8705120083675376,0.1637344412080024,0.16934478805640996,0.1244612649704019,0.1172565716163565,0.007204693354045402,0.16984002948226407,particle_intensity
particle_norm_max,72,57,9,0.7322416717979706,0.6157894736842106,0.6157894736842106,higher_in_positive,0.8238225120477106,0.16335745418346803,0.1703423410249696,1.286885245901639,1.221311475409836,0.06557377049180313,0.1708360112825712,norm_heterogeneity
particle_gradient_last_mean,72,57,9,0.33847420190857663,0.6128654970760234,0.3871345029239766,lower_in_positive,0.867070292324333,-0.15879772438766063,0.18275087327125483,0.0321922256262041,0.0339542559813708,-0.0017620303551666994,0.18314936788173308,particle_gradient
particle_std_last_mean,72,57,9,0.20188880086874084,0.6093567251461988,0.6093567251461988,higher_in_positive,0.8540770632849253,0.15386100756731882,0.1969104073931818,0.1711543588899076,0.1719654914923012,-0.0008111326023935994,0.19721633435850272,particle_intensity
particle_std_diff_q90,72,57,9,0.6353494729309066,0.5999999999999999,0.5999999999999999,higher_in_positive,0.8773744789589009,0.14069642937974075,0.2384661696080931,0.0018486768007278,0.0015870839357376,0.00026159286499020007,0.2385589787014586,particle_intensity
particle_std_diff_abs_mean,72,57,9,0.6475014687574022,0.5941520467836257,0.5941520467836257,higher_in_positive,0.8779599890891705,0.13246856801250445,0.2673189886193187,0.0015533362564287,0.001284846663475,0.00026848959295370004,0.2673149842696695,particle_intensity
particle_mean_last_mean,72,57,9,0.24075643397742563,0.5906432748538012,0.5906432748538012,higher_in_positive,0.8453674234563494,0.12753185119216268,0.2857140504133607,0.1172414456959813,0.1097964535001665,0.007444992195814806,0.2856695941501336,particle_intensity
particle_gradient_slope,72,57,9,0.1293396233717346,0.5871345029239767,0.5871345029239767,higher_in_positive,0.8786541920758895,0.1225951343718209,0.30492722726105664,0.0011473496578941,0.0011068663257414,4.0483332152700105e-05,0.3048576263150822,particle_gradient
particle_mean_diff_abs_mean,72,57,9,0.6509840131225653,0.583625730994152,0.583625730994152,higher_in_positive,0.8698588850413879,0.11765841755147913,0.32496008059702436,0.0012343776853461,0.0009405191007413,0.00029385858460480004,0.324882249058268,particle_intensity
particle_vs_context_mean_diff_abs_mean,72,57,9,0.6358598107086223,0.5719298245614035,0.5719298245614035,higher_in_positive,0.8642116506949509,0.1012026948170065,0.3976202712407513,0.0008898624464085,0.0008619632768003,2.7899169608199947e-05,0.39765531751728234,particle_vs_context
particle_mean_diff_q10,72,57,9,0.7058533122715718,0.5707602339181286,0.42923976608187137,lower_in_positive,0.8266176527273283,-0.09955712254355924,0.40537765146848254,-0.0017317324876785,-0.0011930748820304,-0.0005386576056480999,0.4054369946887778,particle_intensity
particle_gradient_last_minus_first,72,57,9,0.09864882790160918,0.5695906432748539,0.5695906432748539,higher_in_positive,0.8694729698028187,0.09791155027011199,0.4132228082704882,0.0006903380854055,0.0006012615049257,8.907658047980008e-05,0.4133089571682813,particle_gradient
particle_mean_std,72,57,9,0.4787515837346344,0.5637426900584795,0.5637426900584795,higher_in_positive,0.8520834310246258,0.08968368890287569,0.4537460429318511,0.0104258259668088,0.0077084364331338,0.0027173895336749998,0.45400472075838283,particle_intensity
particle_std_std,72,57,9,0.495551927814665,0.5625730994152047,0.5625730994152047,higher_in_positive,0.8556910367242782,0.08803811662942843,0.462105814316074,0.0120751133966368,0.0111129593196308,0.0009621540770060003,0.46240683180550424,particle_intensity
particle_vs_context_mean_first_mean,72,57,9,0.10650746066631689,0.560233918128655,0.439766081871345,lower_in_positive,0.8191891678006717,-0.0847469720825339,0.4790748150261993,0.0508279424393549,0.0538473435444757,-0.003019401105120799,0.4794684446432157,particle_vs_context
particle_gradient_mean,72,57,9,0.23457091624064227,0.5567251461988304,0.4432748538011696,lower_in_positive,0.8225361229241619,-0.07981025526219211,0.505139788040488,0.0335412722779437,0.0361700217666414,-0.0026287494886977,0.5056922240731798,particle_gradient
particle_mean_diff_q90,72,57,9,0.6148494189521732,0.5567251461988304,0.5567251461988304,higher_in_positive,0.8240618630869718,0.07981025526219211,0.505139788040488,0.0013525262475013,0.0011008605360984,0.0002516657114029,0.5056922240731798,particle_intensity
particle_norm_min,72,57,9,0.6411185873892699,0.5526315789473684,0.5526315789473684,higher_in_positive,0.8316014729571843,0.07443229275647868,0.5343441886327742,1.0573770491803278,1.0819672131147542,-0.024590163934426368,0.5351201928715192,norm_heterogeneity
particle_norm_cv,72,57,9,0.4100042805911761,0.5263157894736842,0.4736842105263158,lower_in_positive,0.8102306482194863,-0.03705398374899088,0.7573086540061531,0.0648176884730777,0.0832061733408327,-0.018388484867755003,0.7601497535607922,norm_heterogeneity
particle_heterogeneity_rank,72,57,9,0.48088386123680255,0.5263157894736842,0.4736842105263158,lower_in_positive,0.8102306482194863,-0.03705398374899088,0.7573086540061531,0.6292134831460674,0.7191011235955056,-0.0898876404494382,0.7601497535607922,norm_heterogeneity
particle_vs_context_mean_std,72,57,9,0.499518547692748,0.5228070175438596,0.5228070175438596,higher_in_positive,0.8232993349929922,0.032088659332221575,0.7890188696247851,0.0068281199109808,0.0062599427438689,0.0005681771671119003,0.7922030398416903,particle_vs_context
particle_vs_context_mean_diff_q90,72,57,9,0.5928322936660504,0.519298245614035,0.519298245614035,higher_in_positive,0.7861001565306044,0.027151942511879794,0.8208892462431995,0.0009378492832183,0.0007505595684051,0.00018728971481319994,0.8244279962250451,particle_vs_context
particle_norm_std,72,57,9,0.4497529534455426,0.5157894736842106,0.5157894736842106,higher_in_positive,0.7879602095302833,0.022232390249394527,0.8529393495744491,0.0768361646409199,0.0875947818677682,-0.010758617226848302,0.8568423426658393,norm_heterogeneity
particle_mean_first_mean,72,57,9,0.16564120904142887,0.512280701754386,0.512280701754386,higher_in_positive,0.7978307727121303,0.01727850887119623,0.8854548381351067,0.1117697302252054,0.1114397381898015,0.00032999203540388933,0.8897201047929506,particle_intensity
particle_vs_context_mean_diff_q10,72,57,9,0.5675554393344082,0.5099415204678363,0.5099415204678363,higher_in_positive,0.7946626130347043,0.013987364324301714,0.9071649886983071,-0.0009813800454139,-0.0008726298809051,-0.00010875016450880004,0.9116744667638399,particle_vs_context
particle_vs_context_mean_last_mean,72,57,9,0.11284833625548442,0.5087719298245614,0.49122807017543857,lower_in_positive,0.8002220822122521,-0.012341792050854453,0.9180465819246068,0.0524410397047176,0.0550677080173045,-0.0026266683125868995,0.922678056046004,particle_vs_context
particle_std_first_mean,72,57,9,0.12223925686664841,0.5076023391812865,0.5076023391812865,higher_in_positive,0.8135816127085704,0.01069621977740719,0.9289432154553393,0.1705539091490209,0.1671696659177541,0.0033842432312668203,0.9336964640244189,particle_intensity
particle_vs_context_mean_mean,72,57,9,0.08028257991310409,0.5064327485380118,0.49356725146198827,lower_in_positive,0.8016862964856997,-0.009050647503959931,0.9398529002359098,0.054128715962482,0.0560551056405529,-0.0019263896780709056,0.9447275896252497,particle_vs_context
particle_norm_range,72,57,9,0.4571062994702919,0.5052631578947369,0.5052631578947369,higher_in_positive,0.805769885234696,0.0074107967497981765,0.9507356528717842,0.1775956284153004,0.2076502732240439,-0.03005464480874348,0.9557351847666635,norm_heterogeneity
