feature_set,method,features,feature_families,n_features,n_eval,n_sources,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,empirical_p_ge_observed,n_permutation,null_auc_mean,null_auc_p95
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_gradient_diff_q90,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_mean_diff_positive_fraction;particle_gradient_diff_q90,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.6748538011695906,0.8602427606711736,0.24604668308371996,0.03721651390208533,0.02594810379241517,500.0,0.5039134502923976,0.6473976608187134
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_gradient_diff_abs_mean,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_mean_diff_positive_fraction;particle_gradient_diff_abs_mean,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.6748538011695906,0.8602427606711736,0.24604668308371996,0.03721651390208533,0.02594810379241517,500.0,0.5039134502923976,0.6473976608187134
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_std_slope,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_std_slope,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.6748538011695906,0.8446965096395496,0.2460130548803654,0.03724328400020778,0.01996007984031936,500.0,0.5045684210526316,0.6398830409356725
pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_min,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_min,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6736842105263159,0.8647192671940112,0.24441267853115284,0.03853594902213412,0.02594810379241517,500.0,0.5031976608187134,0.6380994152046783
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_gradient_diff_q90,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_gradient_diff_q90,norm_heterogeneity;particle_gradient;particle_vs_context,3,72,9,57,0.6736842105263158,0.8819129823293854,0.24436748260691815,0.03857298977979021,0.01996007984031936,500.0,0.5017684210526316,0.6304093567251462
pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_cv,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_cv,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6736842105263158,0.8768881161644491,0.2443930250482341,0.03855205258882627,,,,
pair::particle_vs_context_mean_last_minus_first+particle_prior_area_fraction,raw,particle_vs_context_mean_last_minus_first;particle_prior_area_fraction,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6736842105263158,0.8664530225933202,0.24436748260691815,0.03857298977979021,,,,
single::particle_std_last_minus_first,raw,particle_std_last_minus_first,particle_intensity,1,72,9,57,0.6631578947368421,0.8834628300683662,0.2295573321458928,0.05240916622193038,,,,
single::particle_std_last_minus_first,source_confound_filter_0.50,particle_std_last_minus_first,particle_intensity,1,72,9,57,0.6631578947368421,0.8834628300683662,0.2295573321458928,0.05240916622193038,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_gradient_diff_q90,raw,particle_vs_context_mean_diff_positive_fraction;particle_mean_diff_positive_fraction;particle_gradient_diff_q90,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.6596491228070175,0.8761143612532812,0.22462061532555103,0.05783725651182406,,,,
single::particle_std_slope,raw,particle_std_slope,particle_intensity,1,72,9,57,0.6561403508771929,0.879796363471949,0.21968389850520925,0.06371390573522479,,,,
single::particle_std_slope,source_confound_filter_0.50,particle_std_slope,particle_intensity,1,72,9,57,0.6561403508771929,0.879796363471949,0.21968389850520925,0.06371390573522479,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_std_diff_positive_fraction+particle_norm_mean,raw,particle_vs_context_mean_diff_positive_fraction;particle_std_diff_positive_fraction;particle_norm_mean,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.6538011695906433,0.8330845200366873,0.21639275395831473,0.06789312800150109,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_gradient_diff_abs_mean,raw,particle_vs_context_mean_diff_positive_fraction;particle_mean_diff_positive_fraction;particle_gradient_diff_abs_mean,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.6491228070175439,0.8774527057703113,0.20981046486452568,0.07691243013186508,,,,
