feature_set,method,features,feature_families,n_features,n_eval,n_sources,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,empirical_p_ge_observed,n_permutation,null_auc_mean,null_auc_p95
pair::particle_vs_context_mean_slope+particle_norm_min,source_confound_filter_0.50,particle_vs_context_mean_slope;particle_norm_min,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5333333333333333,0.7570459638937107,0.04691540767056548,0.6955467632515178,,,,
pair::particle_vs_context_mean_last_minus_first+particle_heterogeneity_rank,raw,particle_vs_context_mean_last_minus_first;particle_heterogeneity_rank,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5263157894736842,0.7645475394494852,0.037025376152563357,0.7574902672397681,,,,
pair::particle_vs_context_mean_slope+particle_norm_cv,raw,particle_vs_context_mean_slope;particle_norm_cv,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5204678362573099,0.7659589338481791,0.028797514785327053,0.8102308541896753,,,,
pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_cv,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_norm_cv,norm_heterogeneity;particle_vs_context,2,72,9,57,0.512280701754386,0.7815240128969505,0.017288796926246977,0.8853870958673813,,,,
pair::particle_vs_context_mean_slope+particle_norm_mean,raw,particle_vs_context_mean_slope;particle_norm_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5052631578947369,0.7398441818464294,0.007405075230512671,0.9507736402310663,,,,
single::particle_vs_context_mean_first_mean,raw,particle_vs_context_mean_first_mean,particle_vs_context,1,72,9,57,0.4994152046783626,0.788139797429617,-0.0008227861367236301,0.9945270470322268,,,,
single::particle_vs_context_mean_first_mean,source_confound_filter_0.50,particle_vs_context_mean_first_mean,particle_vs_context,1,72,9,57,0.4994152046783626,0.788139797429617,-0.0008227861367236301,0.9945270470322268,,,,
pair::particle_norm_mean+particle_vs_context_mean_first_mean,source_confound_filter_0.50,particle_norm_mean;particle_vs_context_mean_first_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.4994152046783626,0.788139797429617,-0.0008227861367236301,0.9945270470322268,,,,
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,particle_norm_max;particle_vs_context_mean_first_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.4994152046783626,0.788139797429617,-0.0008227861367236301,0.9945270470322268,,,,
family::norm_heterogeneity_plus_particle_vs_context,source_confound_filter_0.50,particle_heterogeneity_rank;particle_norm_cv;particle_norm_max;particle_norm_mean;particle_norm_min;particle_norm_range;particle_norm_std;particle_prior_area_fraction;particle_vs_context_mean_diff_abs_mean;particle_vs_context_mean_diff_positive_fraction;particle_vs_context_mean_diff_q10;particle_vs_context_mean_diff_q90;particle_vs_context_mean_first_mean;particle_vs_context_mean_last_mean;particle_vs_context_mean_last_minus_first;particle_vs_context_mean_mean;particle_vs_context_mean_slope;particle_vs_context_mean_std,norm_heterogeneity;particle_vs_context,18,72,9,57,0.4853801169590643,0.8267183823912495,-0.020569653418090757,0.8638284965792021,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_gradient_std,raw,particle_vs_context_mean_diff_positive_fraction;particle_mean_diff_positive_fraction;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.4853801169590643,0.7856900722601969,-0.020569653418090757,0.8638284965792021,,,,
family::norm_heterogeneity_plus_particle_vs_context,raw,particle_heterogeneity_rank;particle_norm_cv;particle_norm_max;particle_norm_mean;particle_norm_min;particle_norm_range;particle_norm_std;particle_prior_area_fraction;particle_vs_context_mean_diff_abs_mean;particle_vs_context_mean_diff_positive_fraction;particle_vs_context_mean_diff_q10;particle_vs_context_mean_diff_q90;particle_vs_context_mean_first_mean;particle_vs_context_mean_last_mean;particle_vs_context_mean_last_minus_first;particle_vs_context_mean_mean;particle_vs_context_mean_slope;particle_vs_context_mean_std,norm_heterogeneity;particle_vs_context,18,72,9,57,0.4842105263157895,0.7697928142067413,-0.022215225691538013,0.8530516227490494,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_std_last_minus_first+particle_gradient_std,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_std_last_minus_first;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.4736842105263159,0.7891648739927992,-0.037025376152563357,0.7574902672397681,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_last_minus_first+particle_gradient_std,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_mean_last_minus_first;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.4725146198830409,0.7885134810001004,-0.03867094842601062,0.7470650577447937,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_slope+particle_gradient_std,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_mean_slope;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.46900584795321637,0.7875247702849564,-0.043607665246352394,0.7160667617269982,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_std_diff_positive_fraction+particle_gradient_std,raw,particle_vs_context_mean_diff_positive_fraction;particle_std_diff_positive_fraction;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.4619883040935672,0.7881971224438229,-0.053481098887035956,0.6554675752048152,,,,
family::particle_intensity,source_confound_filter_0.50,particle_mean_mean;particle_mean_std;particle_mean_slope;particle_mean_first_mean;particle_mean_last_mean;particle_mean_last_minus_first;particle_mean_diff_abs_mean;particle_mean_diff_q10;particle_mean_diff_q90;particle_mean_diff_positive_fraction;particle_std_mean;particle_std_std;particle_std_slope;particle_std_first_mean;particle_std_last_mean;particle_std_last_minus_first;particle_std_diff_abs_mean;particle_std_diff_q10;particle_std_diff_q90;particle_std_diff_positive_fraction,particle_intensity,20,72,9,57,0.45730994152046783,0.7897843134360267,-0.060063387980825,0.6162388720302906,,,,
pair::particle_vs_context_mean_slope+particle_heterogeneity_rank,raw,particle_vs_context_mean_slope;particle_heterogeneity_rank,norm_heterogeneity;particle_vs_context,2,72,9,57,0.4491228070175438,0.7340686745130618,-0.07158239389495583,0.5501510857805025,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_last_minus_first+particle_gradient_std,raw,particle_vs_context_mean_diff_positive_fraction;particle_mean_last_minus_first;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.447953216374269,0.7741807899172992,-0.07322796616840309,0.5409965091510008,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_std,raw,particle_vs_context_mean_last_minus_first;particle_norm_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.44093567251461985,0.7358604669612654,-0.08310139980908665,0.48768245868272486,,,,
single::particle_gradient_first_mean,raw,particle_gradient_first_mean,particle_gradient,1,72,9,57,0.43859649122807015,0.725804211486584,-0.08639254435598116,0.47054899637980774,,,,
single::particle_gradient_first_mean,source_confound_filter_0.50,particle_gradient_first_mean,particle_gradient,1,72,9,57,0.43859649122807015,0.725804211486584,-0.08639254435598116,0.47054899637980774,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_max,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first;particle_norm_max,norm_heterogeneity;particle_vs_context,2,72,9,57,0.4157894736842105,0.740691725567277,-0.11873058678243999,0.3205396294651916,,,,
pair::particle_vs_context_mean_slope+particle_norm_max,source_confound_filter_0.50,particle_vs_context_mean_slope;particle_norm_max,norm_heterogeneity;particle_vs_context,2,72,9,57,0.4157894736842105,0.7406739686243123,-0.11873058678243999,0.3205396294651916,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_gradient_std,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_gradient_std,norm_heterogeneity;particle_gradient;particle_vs_context,3,72,9,57,0.41520467836257313,0.7667736065193628,-0.11930398982492636,0.3181914015395986,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_range,raw,particle_vs_context_mean_last_minus_first;particle_norm_range,norm_heterogeneity;particle_vs_context,2,72,9,57,0.41403508771929826,0.7340938514960615,-0.12094956209837363,0.31151376975194855,,,,
family::particle_vs_context,raw,particle_vs_context_mean_mean;particle_vs_context_mean_std;particle_vs_context_mean_slope;particle_vs_context_mean_first_mean;particle_vs_context_mean_last_mean;particle_vs_context_mean_last_minus_first;particle_vs_context_mean_diff_abs_mean;particle_vs_context_mean_diff_q10;particle_vs_context_mean_diff_q90;particle_vs_context_mean_diff_positive_fraction,particle_vs_context,10,72,9,57,0.4140350877192982,0.7448867229172654,-0.12094956209837363,0.31151376975194855,,,,
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,particle_norm_mean;particle_vs_context_mean_diff_q10,norm_heterogeneity;particle_vs_context,2,72,9,57,0.40701754385964917,0.7280211713965444,-0.13082299573905717,0.27335997873868767,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_gradient_std,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_gradient_std,norm_heterogeneity;particle_gradient;particle_vs_context,3,72,9,57,0.4070175438596491,0.7539875235311676,-0.13082299573905717,0.27335997873868767,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_slope+particle_gradient_std,raw,particle_vs_context_mean_diff_positive_fraction;particle_mean_slope;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.4058479532163743,0.7659432108969433,-0.13246856801250445,0.2673189886193187,,,,
single::particle_gradient_diff_q90,raw,particle_gradient_diff_q90,particle_gradient,1,72,9,57,0.40116959064327484,0.7693985344958989,-0.1390508571062935,0.24405731805265915,,,,
single::particle_gradient_diff_q90,source_confound_filter_0.50,particle_gradient_diff_q90,particle_gradient,1,72,9,57,0.40116959064327484,0.7693985344958989,-0.1390508571062935,0.24405731805265915,,,,
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,particle_norm_mean;particle_vs_context_mean_first_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.3894736842105263,0.702667594373599,-0.1555065798407661,0.19210584113135773,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_std_last_minus_first+particle_gradient_std,raw,particle_vs_context_mean_diff_positive_fraction;particle_std_last_minus_first;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.38011695906432746,0.7533844119459977,-0.16867115802834418,0.15667478573819332,,,,
single::particle_norm_min,raw,particle_norm_min,norm_heterogeneity,1,72,9,57,0.37894736842105264,0.7242496510828829,-0.17089472057613425,0.15120350129669238,,,,
single::particle_norm_min,source_confound_filter_0.50,particle_norm_min,norm_heterogeneity,1,72,9,57,0.37894736842105264,0.7242496510828829,-0.17089472057613425,0.15120350129669238,,,,
pair::particle_vs_context_mean_slope+particle_norm_std,raw,particle_vs_context_mean_slope;particle_norm_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.3742690058479532,0.7000855158345494,-0.1768990193955805,0.13714199030191637,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_max,raw,particle_vs_context_mean_last_minus_first;particle_norm_max,norm_heterogeneity;particle_vs_context,2,72,9,57,0.35906432748538014,0.6948145803768981,-0.19829145895039485,0.09497150307323765,,,,
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,particle_norm_mean;particle_vs_context_mean_diff_q90,norm_heterogeneity;particle_vs_context,2,72,9,57,0.35906432748538014,0.6901085576112052,-0.19829145895039485,0.09497150307323765,,,,
single::particle_norm_mean,raw,particle_norm_mean,norm_heterogeneity,1,72,9,57,0.35789473684210527,0.69874491173375,-0.20009151224455077,0.09194865695851405,,,,
single::particle_norm_mean,source_confound_filter_0.50,particle_norm_mean,norm_heterogeneity,1,72,9,57,0.35789473684210527,0.69874491173375,-0.20009151224455077,0.09194865695851405,,,,
family::particle_intensity,raw,particle_mean_mean;particle_mean_std;particle_mean_slope;particle_mean_first_mean;particle_mean_last_mean;particle_mean_last_minus_first;particle_mean_diff_abs_mean;particle_mean_diff_q10;particle_mean_diff_q90;particle_mean_diff_positive_fraction;particle_std_mean;particle_std_std;particle_std_slope;particle_std_first_mean;particle_std_last_mean;particle_std_last_minus_first;particle_std_diff_abs_mean;particle_std_diff_q10;particle_std_diff_q90;particle_std_diff_positive_fraction,particle_intensity,20,72,9,57,0.35438596491228075,0.7270766024811516,-0.2048737480441839,0.084284449720521,,,,
pair::particle_vs_context_mean_slope+particle_norm_range,raw,particle_vs_context_mean_slope;particle_norm_range,norm_heterogeneity;particle_vs_context,2,72,9,57,0.35204678362573094,0.6953231126587758,-0.20816489259107845,0.07931035874760925,,,,
trio::particle_std_diff_positive_fraction+particle_vs_context_mean_last_minus_first+particle_gradient_std,raw,particle_std_diff_positive_fraction;particle_vs_context_mean_last_minus_first;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.32631578947368417,0.728776282741795,-0.24436748260691815,0.03857298977979021,,,,
trio::particle_std_diff_positive_fraction+particle_vs_context_mean_last_minus_first+particle_gradient_std,source_confound_filter_0.50,particle_std_diff_positive_fraction;particle_vs_context_mean_last_minus_first;particle_gradient_std,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.3192982456140351,0.7240846114393886,-0.2542409162476017,0.03115421995629059,,,,
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,particle_norm_max;particle_vs_context_mean_first_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.3192982456140351,0.7069848950494804,-0.2542409162476017,0.03115421995629059,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_diff_q10,raw,particle_prior_area_fraction;particle_vs_context_mean_diff_q10,norm_heterogeneity;particle_vs_context,2,72,9,57,0.30760233918128654,0.7419605580549962,-0.2706966389820743,0.02145631205192196,,,,
family::norm_heterogeneity,source_confound_filter_0.50,particle_norm_mean;particle_norm_std;particle_norm_min;particle_norm_max;particle_norm_range;particle_norm_cv;particle_heterogeneity_rank;particle_prior_area_fraction,norm_heterogeneity,8,72,9,57,0.3064327485380117,0.7005511261651064,-0.2723422112555216,0.020646352198990532,,,,
family::norm_heterogeneity,raw,particle_norm_mean;particle_norm_std;particle_norm_min;particle_norm_max;particle_norm_range;particle_norm_cv;particle_heterogeneity_rank;particle_prior_area_fraction,norm_heterogeneity,8,72,9,57,0.3052631578947368,0.6737277946133844,-0.2739877835289688,0.019862618682533025,,,,
single::particle_gradient_diff_abs_mean,raw,particle_gradient_diff_abs_mean,particle_gradient,1,72,9,57,0.2994152046783626,0.7229235252698245,-0.28221564489620515,0.016314136749462388,,,,
single::particle_gradient_diff_abs_mean,source_confound_filter_0.50,particle_gradient_diff_abs_mean,particle_gradient,1,72,9,57,0.2994152046783626,0.7229235252698245,-0.28221564489620515,0.016314136749462388,,,,
pair::particle_norm_mean+particle_vs_context_mean_std,raw,particle_norm_mean;particle_vs_context_mean_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.2970760233918129,0.6829180950105795,-0.2855067894430996,0.01505557742233053,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_std,raw,particle_prior_area_fraction;particle_vs_context_mean_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.2970760233918128,0.7378302384499491,-0.2855067894430996,0.01505557742233053,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_diff_q90,raw,particle_prior_area_fraction;particle_vs_context_mean_diff_q90,norm_heterogeneity;particle_vs_context,2,72,9,57,0.29239766081871343,0.7108598689670145,-0.29208907853688865,0.012787527170019703,,,,
pair::particle_vs_context_mean_slope+particle_norm_max,raw,particle_vs_context_mean_slope;particle_norm_max,norm_heterogeneity;particle_vs_context,2,72,9,57,0.27953216374269,0.6676762575713423,-0.31019037354480855,0.008007809961440519,,,,
single::particle_norm_max,raw,particle_norm_max,norm_heterogeneity,1,72,9,57,0.2263157894736842,0.6922475610088521,-0.38594919252878995,0.000813054419578738,,,,
single::particle_norm_max,source_confound_filter_0.50,particle_norm_max,norm_heterogeneity,1,72,9,57,0.2263157894736842,0.6922475610088521,-0.38594919252878995,0.000813054419578738,,,,
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,particle_norm_mean;particle_vs_context_mean_diff_abs_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.21754385964912282,0.6526004560097836,-0.39740570403751335,0.0005470167846241091,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_diff_abs_mean,raw,particle_prior_area_fraction;particle_vs_context_mean_diff_abs_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.2070175438596491,0.6712051987734147,-0.4122158544985387,0.0003207519990448114,,,,
single::particle_vs_context_mean_diff_q10,raw,particle_vs_context_mean_diff_q10,particle_vs_context,1,72,9,57,0.2023391812865497,0.6602891705837558,-0.4187981435923277,0.0002509861341222733,,,,
single::particle_vs_context_mean_diff_q10,source_confound_filter_0.50,particle_vs_context_mean_diff_q10,particle_vs_context,1,72,9,57,0.2023391812865497,0.6602891705837558,-0.4187981435923277,0.0002509861341222733,,,,
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,particle_norm_mean;particle_vs_context_mean_diff_q10,norm_heterogeneity;particle_vs_context,2,72,9,57,0.2023391812865497,0.6602891705837558,-0.4187981435923277,0.0002509861341222733,,,,
single::particle_norm_cv,raw,particle_norm_cv,norm_heterogeneity,1,72,9,57,0.16842105263157894,0.6563045953058244,-0.4668801952372852,3.5630516495458e-05,,,,
single::particle_norm_cv,source_confound_filter_0.50,particle_norm_cv,norm_heterogeneity,1,72,9,57,0.16842105263157894,0.6563045953058244,-0.4668801952372852,3.5630516495458e-05,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_cv,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first;particle_norm_cv,norm_heterogeneity;particle_vs_context,2,72,9,57,0.16842105263157894,0.6563045953058244,-0.4668801952372852,3.5630516495458e-05,,,,
pair::particle_vs_context_mean_slope+particle_norm_cv,source_confound_filter_0.50,particle_vs_context_mean_slope;particle_norm_cv,norm_heterogeneity;particle_vs_context,2,72,9,57,0.16842105263157894,0.6563045953058244,-0.4668801952372852,3.5630516495458e-05,,,,
single::particle_vs_context_mean_std,raw,particle_vs_context_mean_std,particle_vs_context,1,72,9,57,0.16140350877192983,0.668434241104187,-0.47639317316298185,2.3363421290589325e-05,,,,
single::particle_vs_context_mean_std,source_confound_filter_0.50,particle_vs_context_mean_std,particle_vs_context,1,72,9,57,0.16140350877192983,0.668434241104187,-0.47639317316298185,2.3363421290589325e-05,,,,
pair::particle_norm_mean+particle_vs_context_mean_std,source_confound_filter_0.50,particle_norm_mean;particle_vs_context_mean_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.16140350877192983,0.668434241104187,-0.47639317316298185,2.3363421290589325e-05,,,,
family::particle_gradient,raw,particle_gradient_mean;particle_gradient_std;particle_gradient_slope;particle_gradient_first_mean;particle_gradient_last_mean;particle_gradient_last_minus_first;particle_gradient_diff_abs_mean;particle_gradient_diff_q10;particle_gradient_diff_q90;particle_gradient_diff_positive_fraction,particle_gradient,10,72,9,57,0.14970760233918126,0.652087567344374,-0.4928488958974545,1.0923078092461597e-05,,,,
single::particle_norm_range,raw,particle_norm_range,norm_heterogeneity,1,72,9,57,0.14736842105263157,0.6573710726880914,-0.49652338223647785,9.167725360596088e-06,,,,
single::particle_norm_range,source_confound_filter_0.50,particle_norm_range,norm_heterogeneity,1,72,9,57,0.14736842105263157,0.6573710726880914,-0.49652338223647785,9.167725360596088e-06,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_range,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first;particle_norm_range,norm_heterogeneity;particle_vs_context,2,72,9,57,0.14736842105263157,0.6573710726880914,-0.49652338223647785,9.167725360596088e-06,,,,
pair::particle_vs_context_mean_slope+particle_norm_range,source_confound_filter_0.50,particle_vs_context_mean_slope;particle_norm_range,norm_heterogeneity;particle_vs_context,2,72,9,57,0.14736842105263157,0.6573710726880914,-0.49652338223647785,9.167725360596088e-06,,,,
single::particle_vs_context_mean_diff_q90,raw,particle_vs_context_mean_diff_q90,particle_vs_context,1,72,9,57,0.14502923976608184,0.6320929815056371,-0.49943118499124356,7.969433718761131e-06,,,,
single::particle_vs_context_mean_diff_q90,source_confound_filter_0.50,particle_vs_context_mean_diff_q90,particle_vs_context,1,72,9,57,0.14502923976608184,0.6320929815056371,-0.49943118499124356,7.969433718761131e-06,,,,
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,particle_norm_mean;particle_vs_context_mean_diff_q90,norm_heterogeneity;particle_vs_context,2,72,9,57,0.14502923976608184,0.6320929815056371,-0.49943118499124356,7.969433718761131e-06,,,,
single::particle_std_diff_q10,raw,particle_std_diff_q10,particle_intensity,1,72,9,57,0.1391812865497076,0.6388120533835799,-0.5076590463584798,5.324077335853388e-06,,,,
single::particle_std_diff_q10,source_confound_filter_0.50,particle_std_diff_q10,particle_intensity,1,72,9,57,0.1391812865497076,0.6388120533835799,-0.5076590463584798,5.324077335853388e-06,,,,
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,particle_norm_max;particle_vs_context_mean_diff_abs_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.1309941520467836,0.629168510750836,-0.5191780522726106,2.9730952825455278e-06,,,,
single::particle_norm_std,raw,particle_norm_std,norm_heterogeneity,1,72,9,57,0.1263157894736842,0.646311226101929,-0.5261665692356705,2.0659564588070822e-06,,,,
single::particle_norm_std,source_confound_filter_0.50,particle_norm_std,norm_heterogeneity,1,72,9,57,0.1263157894736842,0.646311226101929,-0.5261665692356705,2.0659564588070822e-06,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_std,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first;particle_norm_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.1263157894736842,0.646311226101929,-0.5261665692356705,2.0659564588070822e-06,,,,
pair::particle_vs_context_mean_slope+particle_norm_std,source_confound_filter_0.50,particle_vs_context_mean_slope;particle_norm_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.1263157894736842,0.646311226101929,-0.5261665692356705,2.0659564588070822e-06,,,,
single::particle_gradient_std,raw,particle_gradient_std,particle_gradient,1,72,9,57,0.10409356725146197,0.6227218039592484,-0.5570262145618975,3.741324992488829e-07,,,,
single::particle_gradient_std,source_confound_filter_0.50,particle_gradient_std,particle_gradient,1,72,9,57,0.10409356725146197,0.6227218039592484,-0.5570262145618975,3.741324992488829e-07,,,,
single::particle_vs_context_mean_diff_abs_mean,raw,particle_vs_context_mean_diff_abs_mean,particle_vs_context,1,72,9,57,0.08654970760233918,0.6229993345248972,-0.5817097986636065,8.37893393102981e-08,,,,
single::particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,particle_vs_context_mean_diff_abs_mean,particle_vs_context,1,72,9,57,0.08654970760233918,0.6229993345248972,-0.5817097986636065,8.37893393102981e-08,,,,
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,particle_norm_mean;particle_vs_context_mean_diff_abs_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.08654970760233918,0.6229993345248972,-0.5817097986636065,8.37893393102981e-08,,,,
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,particle_norm_max;particle_vs_context_mean_diff_abs_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.07134502923976607,0.6325020956688694,-0.6040840072129565,1.9313214880130268e-08,,,,
single::particle_heterogeneity_rank,raw,particle_heterogeneity_rank,norm_heterogeneity,1,72,9,57,0.05263157894736842,0.6213017326713829,-0.6299177237328449,3.0623398597146125e-09,,,,
single::particle_heterogeneity_rank,source_confound_filter_0.50,particle_heterogeneity_rank,norm_heterogeneity,1,72,9,57,0.05263157894736842,0.6213017326713829,-0.6299177237328449,3.0623398597146125e-09,,,,
pair::particle_vs_context_mean_last_minus_first+particle_heterogeneity_rank,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first;particle_heterogeneity_rank,norm_heterogeneity;particle_vs_context,2,72,9,57,0.05263157894736842,0.6213017326713829,-0.6299177237328449,3.0623398597146125e-09,,,,
pair::particle_vs_context_mean_slope+particle_heterogeneity_rank,source_confound_filter_0.50,particle_vs_context_mean_slope;particle_heterogeneity_rank,norm_heterogeneity;particle_vs_context,2,72,9,57,0.05263157894736842,0.6213017326713829,-0.6299177237328449,3.0623398597146125e-09,,,,
