roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,flow_method,train_fraction,mask_fraction,context_fraction,boundary_fraction,heldout_flow_pairs,particle_context_flow_ratio,boundary_particle_flow_ratio,particle_flow_mag_mean,particle_flow_mag_q90,particle_flow_mag_slope,context_flow_mag_mean,context_flow_mag_q90,context_flow_mag_slope,boundary_flow_mag_mean,boundary_flow_mag_q90,boundary_flow_mag_slope,abs_radial_flow_mean,abs_radial_flow_q90,abs_radial_flow_slope,radial_flow_mean,radial_flow_q90,radial_flow_slope,tangential_flow_abs_mean,tangential_flow_abs_q90,tangential_flow_abs_slope,curl_abs_mean,curl_abs_q90,curl_abs_slope,divergence_mean,divergence_q90,divergence_slope,gradient_aligned_flow_mean,gradient_aligned_flow_q90,gradient_aligned_flow_slope,intensity_delta_abs_mean,intensity_delta_abs_q90,intensity_delta_abs_slope,front_radius2_q70_slope,front_radius2_q70_late_minus_early,front_active_area_slope,front_active_area_late_minus_early,apparent_transport_instability_score,particle_flow_mag_mean_source_residual,particle_flow_mag_mean_rank01,particle_flow_mag_mean_source_residual_rank01,abs_radial_flow_mean_source_residual,abs_radial_flow_mean_rank01,abs_radial_flow_mean_source_residual_rank01,curl_abs_mean_source_residual,curl_abs_mean_rank01,curl_abs_mean_source_residual_rank01,apparent_transport_instability_score_source_residual,apparent_transport_instability_score_rank01,apparent_transport_instability_score_source_residual_rank01,front_radius2_q70_late_minus_early_source_residual,front_radius2_q70_late_minus_early_rank01,front_radius2_q70_late_minus_early_source_residual_rank01,front_radius2_q70_slope_source_residual,front_radius2_q70_slope_rank01,front_radius2_q70_slope_source_residual_rank01,intensity_delta_abs_mean_source_residual,intensity_delta_abs_mean_rank01,intensity_delta_abs_mean_source_residual_rank01,expansion_transport_front_score,expansion_transport_front_rank
source_balanced_cycle108_rank6_obj1_12_c2_x10_070723,108.0,12_c2_x10_070723,3,6,1,source_fill,True,23.365257710020515,source_balanced_expansion_candidate,1344.7118644067796,206.2372881355932,118.0,7579.54248046875,18.480348587036133,1249,110,1441,302,192,96,96,2712,3615,8847.9951171875,8846.1474609375,-1.84765625,0.0744398459792137,0.074378527700901,-6.13182783126831e-05,0.2236067977498773,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle108_rank6_obj1_12_c2_x10_070723.npz,,farneback,0.6,0.18619791666666666,0.7450086805555556,0.134765625,37,243.60622690901553,0.09259356197066294,1.5358454377107862e-06,3.232224435123498e-06,-1.7569898913183376e-06,5.304623068130393e-09,1.2879900879170236e-08,-7.675022228949142e-09,1.423019932760043e-07,3.4491560541027866e-07,-1.8468515113998663e-07,1.052790047193824e-06,2.3727447254946957e-06,-1.2886048967056695e-06,-1.149116862900604e-07,6.312874893725974e-07,2.648498989409299e-07,8.939265066762148e-07,1.7135960288133665e-06,-9.268578991430532e-07,2.447814679840121e-07,5.31519492596999e-07,-3.0181901245688105e-07,-4.823541474649548e-09,4.701059008738184e-09,-1.3606188428191312e-09,7.912103714544769e-08,5.164811227587051e-07,5.563980129546472e-08,0.006592776487908653,0.010934903658926484,-0.0021354133199640722,10.226387186696474,4.830769230769192,-3.552496209052833e-18,0.0,0.002735260036894925,6.815148924958807e-07,0.9479166666666666,0.9791666666666666,4.820241219852078e-07,0.9583333333333334,0.9791666666666666,1.199599536672336e-07,0.9583333333333334,0.9791666666666666,0.0007909546987996789,0.875,0.9166666666666666,25.27406041006077,0.6041666666666666,0.8229166666666666,37.323492761008055,0.5833333333333334,0.78125,0.0005577522458986859,0.5625,0.65625,0.8916666666666666,1
source_balanced_cycle152_rank23_obj1_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,6,23,1,source_fill,True,24.05585395051531,source_balanced_expansion_candidate,845.448275862069,83.03448275862068,58.0,9333.2646484375,25.55080223083496,749,0,941,192,192,96,96,7426,8662,8921.19921875,8915.037109375,-6.162109375,0.0898796021938324,0.0892558693885803,-0.000623732805252,0.2915475947422533,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle152_rank23_obj1_17_c2_x10_HighHighCOV_150723.npz,,farneback,0.6,0.15169270833333334,0.7964409722222222,0.10145399305555555,37,86.60398997346965,0.2870765182840218,3.0596198906332696e-06,1.1220843043702182e-05,-9.192981655315569e-06,3.432885599809612e-08,1.1239756929626308e-07,-1.1362501371939998e-07,8.786321019938226e-07,3.2378054129367218e-06,-2.864549827937649e-06,1.7058669032162828e-06,5.552528052470921e-06,-5.2455271634651816e-06,-1.4956254488345533e-07,5.855634203764244e-07,-1.0453304632840093e-07,2.2360674554217486e-06,7.851672412833757e-06,-6.618238929122582e-06,4.5103147278274953e-07,1.7296086525675483e-06,-1.40355681429053e-06,-7.700590988442241e-09,4.5059889375309485e-09,6.9558731482176215e-09,-3.4303530307602427e-08,1.422651081384174e-07,3.9358364975306e-07,0.024311827231399918,0.0894266858696937,-0.0680104625924023,-26.420054514549147,-69.97732474964238,,0.0,0.02236129721236061,1.1956230324113287e-06,1.0,1.0,5.820399566907268e-07,1.0,0.9895833333333334,1.8263450853752577e-07,1.0,1.0,0.011959824399746927,0.9895833333333334,0.9895833333333334,-116.57921523585833,0.052083333333333336,0.020833333333333332,-71.11285097380953,0.3125,0.08333333333333333,0.006338323250429722,0.9895833333333334,0.9791666666666666,0.8557291666666667,2
source_balanced_cycle6_rank25_obj1_2_c2_x14_200623,6.0,2_c2_x14_200623,13,25,1,source_fill,False,24.437490368868,source_balanced_expansion_candidate,1182.2142857142858,1027.857142857143,56.0,10571.0400390625,26.6348876953125,1086,932,1278,1124,192,96,96,12673,13647,8591.5771484375,8608.8720703125,17.294921875,0.1027678176760673,0.1035907790064811,0.0008229613304138,0.2236067977498773,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle6_rank25_obj1_2_c2_x14_200623.npz,,farneback,0.6,0.2912326388888889,0.6369357638888888,0.1416015625,37,230.6466475231863,0.11902401159400551,9.359505368691414e-07,1.5099640904736586e-06,1.6802694863287319e-06,3.0579412140601475e-09,4.654193119790761e-09,6.710112978771844e-09,1.1151961156332237e-07,1.7621832455461116e-07,2.402581209183647e-07,6.571564146663814e-07,1.0375161677847116e-06,1.1835470032803115e-06,-6.417026506246865e-08,2.650551915134162e-07,1.6008800233858864e-07,5.487444073753536e-07,9.095769694904704e-07,9.70279359096345e-07,1.5298032164769273e-07,2.508065705342232e-07,2.7551830304568505e-07,1.751117939091212e-09,6.179931677507964e-09,9.671888978428099e-10,-4.629740571396237e-08,-7.521225597884043e-09,-5.304164623689456e-08,0.009309013386735239,0.010915988683700561,0.0075031122905473745,-50.59799614362313,-22.186289120715173,,0.0,0.0027296967426323386,2.0447746189349058e-07,0.6979166666666666,0.7708333333333334,2.004416476698027e-07,0.78125,0.9166666666666666,4.584568481003683e-08,0.7708333333333334,0.8958333333333334,0.0008119645324770476,0.8645833333333334,0.9270833333333334,2.672127339989018,0.22916666666666666,0.5625,20.959501336625884,0.15625,0.6666666666666666,0.0029368691092885625,0.8958333333333334,0.9270833333333334,0.85,3
source_balanced_cycle84_rank48_obj2_9_c2_x10_010723,84.0,9_c2_x10_010723,9,48,2,source_fill,True,23.673702577821416,source_balanced_expansion_candidate,1185.1333333333334,1028.9333333333334,60.0,10228.40234375,23.703378677368164,1089,933,1281,1125,192,96,96,8186,9095,8297.2705078125,8295.58203125,-1.6884765625,0.0778425633907318,0.0777446031570434,-9.796023368835448e-05,0.2915475947422533,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle84_rank48_obj2_9_c2_x10_010723.npz,,farneback,0.6,0.3044704861111111,0.5855034722222222,0.2136501736111111,37,162.93067662133373,0.16718289872621092,1.175046983342548e-06,1.969588220163131e-06,-1.7714484607989462e-06,6.2119444153139315e-09,1.0179342524452294e-08,-1.0461304276139073e-08,1.9661494371342308e-07,3.323568421365052e-07,-3.0385990422540986e-07,9.214628282902003e-07,1.5544104081960415e-06,-1.3891308552673342e-06,-8.489211650529643e-08,5.021911862568293e-07,9.326427815118643e-08,5.232959011515189e-07,9.168632124333034e-07,-7.687487258629995e-07,1.8538234419023607e-07,3.123827809758949e-07,-2.858842091042861e-07,-3.3439229170935954e-09,-3.5725691294175044e-10,6.055573839903673e-10,2.94595826123207e-08,6.9452472928333e-08,2.1661062469543977e-08,0.009222705760416953,0.011935658752918238,-0.005089015530350797,12.787886414238065,-4.865146115466814,,0.0,0.0029848737835818932,1.750224563957583e-07,0.875,0.7395833333333334,2.029597453321864e-07,0.9270833333333334,0.9270833333333334,3.7855603966834065e-08,0.90625,0.8541666666666666,0.0010720486408762788,0.90625,0.9479166666666666,-7.125250996289282,0.4270833333333333,0.375,17.684712960424793,0.6041666666666666,0.625,0.0029749987769645417,0.8854166666666666,0.9375,0.8380208333333333,4
source_balanced_cycle142_rank18_obj2_16_c2_x10_HighHighCOV_130723,142.0,16_c2_x10_HighHighCOV_130723,6,18,2,source_fill,False,23.542206642552863,source_balanced_expansion_candidate,844.4516129032259,80.19354838709677,62.0,9644.3876953125,22.55766868591309,748,0,940,192,192,96,96,7347,8570,8934.90625,8910.4658203125,-24.4404296875,0.0801272466778755,0.0788050889968872,-0.0013221576809883,0.2499999999999317,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle142_rank18_obj2_16_c2_x10_HighHighCOV_130723.npz,,farneback,0.6,0.1488715277777778,0.7999131944444444,0.09917534722222222,37,115.6845264161313,0.28812465234788914,1.221536065812059e-06,1.7055049056580168e-06,1.0266296347206725e-06,9.559200125158012e-09,1.4112792889875432e-08,2.4022339366646974e-09,3.5224277894485567e-07,4.774279091179777e-07,2.4964018516666944e-07,6.304525953626506e-07,9.523988647598618e-07,5.470464806683943e-07,1.9186223374696183e-08,2.833698358998048e-07,1.9130666225377922e-07,8.997197941621405e-07,1.5089893698058002e-06,7.294508086575177e-07,1.7636401345939517e-07,2.336375189315731e-07,1.587015533232422e-07,-1.094802558744969e-08,1.6366730015704424e-08,9.168446152001357e-09,5.195712578494589e-08,1.2827075579480152e-07,-1.5900431275290753e-07,0.011648571307494028,0.00871426900848746,0.02081747269218159,-19.540381356887277,-21.100145772594715,,0.0,0.0021792901374442022,3.5762140536598124e-07,0.8958333333333334,0.9375,1.4255843714222797e-07,0.7604166666666666,0.7708333333333334,5.1919900706070636e-08,0.8854166666666666,0.9375,0.00023697678230398165,0.7604166666666666,0.75,-11.88335345414232,0.23958333333333334,0.3333333333333333,-11.727990981511269,0.34375,0.4270833333333333,0.003984619702866956,0.9166666666666666,0.9583333333333334,0.8026041666666666,5
source_balanced_cycle152_rank23_obj2_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,6,23,2,source_fill,True,23.05744035285116,source_balanced_expansion_candidate,1199.1827956989248,1103.139784946237,93.0,7140.58154296875,19.68328094482422,1103,1007,1295,1199,192,96,96,7426,8662,8326.26953125,8329.8154296875,3.5458984375,0.0654750317335128,0.0656869336962699,0.0002119019627571,0.2915475947422533,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle152_rank23_obj2_17_c2_x10_HighHighCOV_150723.npz,,farneback,0.6,0.2526041666666667,0.6694878472222222,0.1527777777777778,37,87.4460013515388,0.28539007616532186,1.9252363674933646e-06,6.637001206399872e-06,-6.291846731632236e-06,2.101628819771627e-08,6.851342462255156e-08,-7.801334446580939e-08,5.497287436313442e-07,1.8695079006647573e-06,-1.8965408133967198e-06,1.2782340636345716e-06,4.697287044945407e-06,-4.114950895998359e-06,6.467143465228492e-08,4.570350274019789e-07,2.2210999707807334e-07,1.2007898287762493e-06,3.927417563332111e-06,-3.96912427003459e-06,2.7500774908968947e-07,9.771937925506789e-07,-8.815130400196586e-07,-4.805018372678372e-10,5.491540662205806e-08,-5.038269075293828e-09,-3.511084367241007e-08,2.0329696326371044e-07,3.4443674287412113e-07,0.026639038432590866,0.09357358217239373,-0.07984200931799365,94.26100542034324,210.1586769759449,6.387988278545242e-17,0.0,0.023396473413609405,6.123950927142366e-08,0.9791666666666666,0.6041666666666666,1.544071171090155e-07,0.9895833333333334,0.8020833333333334,6.610784844465712e-09,0.9791666666666666,0.625,0.012995000600995722,1.0,1.0,163.55678648972895,1.0,1.0,49.56820896108285,0.90625,0.84375,0.00866553445162067,1.0,0.9895833333333334,0.8,6
source_balanced_cycle110_rank7_obj1_12_c2_x10_070723,110.0,12_c2_x10_070723,5,7,1,source_fill,True,23.136898638745315,source_balanced_expansion_candidate,1346.7768595041323,202.54545454545453,121.0,6796.548828125,17.81061363220215,1251,107,1443,299,192,96,96,4521,5424,8822.193359375,8827.9375,5.744140625,0.0756309404969215,0.0757838860154151,0.0001529455184936,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle110_rank7_obj1_12_c2_x10_070723.npz,,farneback,0.6,0.19270833333333334,0.7404513888888888,0.1316189236111111,37,318.3468352742615,0.07387158027607708,1.1653762574287857e-06,1.8693267065827965e-06,8.46494663261806e-07,2.660712557185603e-09,3.73315427459886e-09,1.8182583054177143e-09,8.61620573327609e-08,1.2878842596819594e-07,6.429738025645479e-08,7.490502838486267e-07,1.2213713614946586e-06,5.739117688369319e-07,-9.571827888193974e-08,2.341671432095247e-07,-1.2472752499708732e-07,7.390700338685005e-07,1.213950222963848e-06,5.021250420608174e-07,1.7454246010079504e-07,2.8295375500420043e-07,1.4018121353515132e-07,-2.352440413848731e-09,1.2369095081510281e-09,2.385997348118193e-09,4.536178803153394e-08,1.6621261238469733e-07,-1.187862976687041e-07,0.006269940414239426,0.007846209220588207,0.002457449660447041,-6.1095788926810854,25.428828828828784,1.7778643569030474e-17,0.0,0.001962395718102822,3.1104571221388025e-07,0.8645833333333334,0.9166666666666666,1.7828435864001054e-07,0.8541666666666666,0.8854166666666666,4.972094578401651e-08,0.875,0.9270833333333334,1.809038000757609e-05,0.65625,0.59375,45.87212000812036,0.7916666666666666,0.875,20.9875266816305,0.4479166666666667,0.6770833333333334,0.00023491617222945807,0.5104166666666666,0.59375,0.7791666666666668,7
source_balanced_cycle125_rank11_obj1_14_c2_x10_HighCOV_110723,125.0,14_c2_x10_HighCOV_110723,4,11,1,source_representative,False,24.66506279371305,source_balanced_expansion_candidate,844.72,78.4,50.0,11897.259765625,27.71571350097656,749,0,941,192,192,96,96,4760,5950,8881.5146484375,8881.4873046875,-0.02734375,0.0776794254779815,0.0777767598628997,9.733438491821288e-05,0.2692582403567336,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle125_rank11_obj1_14_c2_x10_HighCOV_110723.npz,,farneback,0.6,0.13975694444444445,0.8096788194444444,0.0986328125,37,96.18997778424533,0.3397953627527202,1.413767007319178e-06,2.3298448468267444e-06,3.5954058743608153e-07,1.369765395403527e-08,1.9688537733486546e-08,5.803609465929372e-11,4.807312684626005e-07,7.367475177488811e-07,3.677329225763616e-08,5.117809936064576e-07,6.547045009088175e-07,2.558702105017543e-07,8.426427572326127e-08,3.7015177331904e-07,1.2127214586743267e-08,1.2287114778508893e-06,2.1665312048172073e-06,2.513645735685262e-07,2.016582095544018e-07,3.287001050011894e-07,4.006326657811248e-08,-3.5519881280999e-08,6.564676269249485e-09,1.1196910685495044e-08,1.1348728901372807e-07,1.8907925039002291e-07,-2.2863036283528254e-08,0.00668334830048922,0.007754940725862978,0.0014163667328157604,-9.142675449830195,-5.3715838509316995,,0.0,0.0019395634938289288,5.502971741232098e-07,0.9375,0.9583333333333334,6.685212564072905e-08,0.625,0.6770833333333334,7.818867627225598e-08,0.9375,0.9583333333333334,0.00026740622386067434,0.6354166666666666,0.78125,-3.841537132333997,0.4166666666666667,0.4375,-9.020963618716243,0.4270833333333333,0.4583333333333333,0.0008890168234781436,0.6145833333333334,0.7916666666666666,0.7755208333333334,8
source_balanced_cycle132_rank14_obj1_15_c2_x5_HighCOV_120723,132.0,15_c2_x5_HighCOV_120723,1,14,1,source_fill,False,23.50996224586616,source_balanced_expansion_candidate,842.8771929824561,78.59649122807018,57.0,10375.26953125,23.42484474182129,747,0,939,192,192,96,96,1238,2476,8918.5986328125,8937.515625,18.9169921875,0.0846426710486412,0.0848899036645889,0.0002472326159477,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle132_rank14_obj1_15_c2_x5_HighCOV_120723.npz,,farneback,0.6,0.14832899305555555,0.8026258680555556,0.09581163194444445,37,92.65960123660506,0.31680879554537383,9.471321358912089e-07,1.8270082591698151e-06,-4.309762979797681e-07,9.221629742100007e-09,1.5942450559691677e-08,-7.845392934638436e-09,3.003765999895566e-07,5.688650503543609e-07,-1.234013345637805e-07,5.066599814829662e-07,9.71889661970719e-07,-3.23285095325749e-08,-1.0029652955398117e-07,1.0606491186775622e-07,1.441409400416875e-07,6.95084905151226e-07,1.4717541408794232e-06,-4.6953356072140017e-07,1.3998643426420303e-07,2.7298466704905865e-07,-5.183412754493491e-08,-9.98499565162313e-09,8.296939846275106e-09,7.106489559926457e-09,-4.49902143693046e-09,6.799121052836198e-08,-9.055983871000977e-08,0.017850494049992914,0.04548169635236251,0.015535333164693365,17.216419005799484,2.11711777615227,1.1147832571001397e-17,0.0,0.011371192058737675,1.0228222622019433e-07,0.7395833333333334,0.65625,1.7685421789591627e-08,0.6145833333333334,0.59375,1.8879443273987774e-08,0.7395833333333334,0.6875,0.0068481859445572195,0.9791666666666666,0.9791666666666666,14.81636469251103,0.5729166666666666,0.7395833333333334,43.00416459938847,0.6354166666666666,0.8333333333333334,0.00885045501562926,0.9791666666666666,1.0,0.775,9
source_balanced_cycle68_rank41_obj1_8_c2_x10_300623,68.0,8_c2_x10_300623,3,41,1,future16_negative,False,23.683276991109448,source_balanced_expansion_candidate,549.1636363636363,179.56363636363636,55.0,9795.5771484375,24.391326904296875,453,84,645,276,192,96,96,2742,3655,8460.4150390625,8455.3310546875,-5.083984375,0.0899391174316406,0.0895228683948516,-0.0004162490367889,0.25,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle68_rank41_obj1_8_c2_x10_300623.npz,,farneback,0.6,0.20703125,0.7239583333333334,0.1355251736111111,37,20.02727536893208,0.27825987048363493,7.821632750251041e-07,1.3032678680247043e-06,-9.127213468849261e-08,3.805490190834738e-08,7.129567478614262e-08,9.471993859715335e-09,2.1792291147602482e-07,3.838305190129176e-07,-6.174190628272462e-08,4.4495952537523804e-07,7.385046995151463e-07,-5.028320445610586e-09,9.391270818024812e-08,5.249602201971404e-07,-3.410839222900235e-07,5.38884933986019e-07,8.921997703480883e-07,-9.170672155049818e-08,8.802259101783518e-08,1.3488923968907327e-07,-4.470828820481456e-09,-3.0252667083164363e-09,4.9300693305553974e-09,-3.641853341892502e-09,2.7014838069253012e-08,5.318086238048636e-08,1.7292233562556722e-08,0.0076194832705565405,0.008578421175479889,0.0002394805676906537,116.93591713674368,72.1427672955972,-4.1742779019130763e-17,0.0,0.0021451494593217792,1.771773524197658e-07,0.5208333333333334,0.75,9.930901873811313e-08,0.5,0.71875,1.0824849882547345e-08,0.34375,0.6666666666666666,0.00029290459488517115,0.75,0.8020833333333334,55.370241216618865,0.9479166666666666,0.9270833333333334,81.47633645941676,0.9479166666666666,0.9375,0.0007483890670276173,0.7604166666666666,0.75,0.7671875000000001,10
