roi_id,cohort_role,cycleNo,event_reference_cycle,degradation_mode_hypothesis,qc_priority_score,rollout_rank,phase_rank,diffusion_proxy_rank,conditioned_phase_sign_rank,rollout_mobility_difficulty_score,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,phase_slope_positive_fraction_protocol_residual,front_quality_score,first_last_corr,latent_path_length,n_components,largest_component_fraction,edge_touch_fraction,q70_threshold,q70_first_fraction,q70_last_fraction,q70_fraction_delta,qc_png,auto_review_flags,manual_qc_status
cycle60_rank6_obj26,event,60.0,60.0,,0.4579365079365079,6.0,18.0,28.0,5.0,2.615384615384616,0.625,1.8443187539815653e-06,0.1594674278574455,,0.8344266769197118,16.147092819213867,71,0.45440333507034913,0.0,0.13085874170064923,0.29119233073696826,0.28744757339724386,-0.0037447573397244027,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank6_obj26_qc.png,diffusion_ci_crosses_zero,pending
cycle60_rank4_obj5,event,60.0,60.0,,0.45093795093795097,7.0,36.0,33.0,4.0,2.596153846153846,0.4903846153846154,1.2281125674270095e-06,0.1594674278574455,,0.8437913552152481,14.73573112487793,70,0.3629745189807592,0.0,0.09888367950916288,0.28864589574595567,0.28804673457159974,-0.0005991611743559333,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank4_obj5_qc.png,fragmented_q70_mask;diffusion_ci_crosses_zero,pending
cycle88_rank3_obj6,control,88.0,86.0,,0.4263157894736842,38.0,24.0,3.0,40.0,1.173076923076923,0.5865384615384617,7.196085702871549e-06,-0.0437833588005094,,0.9947716075442624,15.046319961547852,60,0.4234592445328032,0.0,0.06932014971971512,0.2982324745356501,0.3013780707010186,0.0031455961653684694,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle88_rank3_obj6_qc.png,fragmented_q70_mask,pending
cycle116_rank1_obj6,event,116.0,116.0,,0.423332042844238,35.0,3.0,41.0,27.0,1.25,0.8365384615384616,1.0213507797221243e-06,0.0026455239053564,,0.9977164105512066,11.402716636657717,65,0.421751968503937,0.0,0.0679924376308918,0.3090173756740563,0.3043738765727981,-0.004643499101258219,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank1_obj6_qc.png,fragmented_q70_mask;diffusion_ci_crosses_zero,pending
cycle116_rank8_obj20,event,116.0,116.0,,0.3370748299319728,49.0,30.0,4.0,30.0,0.3461538461538461,0.528846153846154,5.565758642594448e-06,0.0026455239053564,,0.9932063481313108,7.290661334991455,53,0.1966319960376424,0.0,0.11932353898882865,0.304973037747154,0.3024266027561414,-0.0025464349910125916,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank8_obj20_qc.png,fragmented_q70_mask,pending
cycle116_rank2_obj2,event,116.0,116.0,,0.33333333333333337,52.0,4.0,39.0,26.0,-0.25,0.8173076923076923,1.0648072999505855e-06,0.0026455239053564,,0.9979397222647064,6.978207111358643,51,0.5859683794466403,0.0,0.07479493096470832,0.30227681246255245,0.30317555422408626,0.0008987417615338167,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank2_obj2_qc.png,none,pending
cycle116_rank5_obj43,event,116.0,116.0,,0.3187218890554723,46.0,16.0,5.0,29.0,0.5192307692307693,0.6634615384615385,5.408513895576632e-06,0.0026455239053564,,0.9973971209121252,8.830548286437988,55,0.3696939782823297,0.0,0.0776838831603527,0.30751947273816654,0.30347513481126426,-0.004044337926902286,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank5_obj43_qc.png,fragmented_q70_mask,pending
cycle156_rank1_obj1,event,156.0,156.0,,0.31507936507936507,18.0,7.0,15.0,20.0,1.826923076923077,0.7596153846153847,3.1121066697894616e-06,0.0296361115027952,,0.9502910816470056,14.464882850646973,72,0.4860706860706861,0.0,0.0703042596578598,0.2817555422408628,0.3602456560814859,0.0784901138406231,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank1_obj1_qc.png,none,pending
cycle58_rank4_obj2,control,58.0,60.0,,0.2989247311827957,31.0,10.0,18.0,9.0,1.3269230769230769,0.7403846153846154,2.864937236969792e-06,0.0849698428160106,,0.977566244044376,13.285588264465332,82,0.3614641586171835,0.0,0.0955252319574356,0.29343918514080286,0.29463750748951467,0.001198322348711811,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle58_rank4_obj2_qc.png,fragmented_q70_mask,pending
cycle118_rank1_obj7,control,118.0,116.0,,0.28247105198324707,41.0,5.0,36.0,33.0,0.9423076923076924,0.7980769230769231,1.197560368428275e-06,-0.0045616643801136,,0.9964270244395242,10.875532150268556,67,0.42929806714140384,0.0,0.0663386881351471,0.29898142600359495,0.2944877171959257,-0.00449370880766925,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle118_rank1_obj7_qc.png,fragmented_q70_mask,pending
cycle116_rank7_obj37,event,116.0,116.0,,0.27025210084033613,17.0,14.0,10.0,25.0,1.846153846153846,0.6826923076923077,4.588812077925554e-06,0.0026455239053564,,0.9925954112850586,8.89575481414795,71,0.38461538461538464,0.0,0.14108409881591796,0.3103654883163571,0.30572198921509885,-0.004643499101258219,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank7_obj37_qc.png,fragmented_q70_mask,pending
cycle156_rank8_obj10,event,156.0,156.0,,0.24202182284980744,8.0,41.0,25.0,19.0,2.519230769230769,0.4134615384615384,2.049368662829508e-06,0.0296361115027952,,0.9025044705929468,19.65669822692871,70,0.5495750708215298,0.0,0.06380477547645569,0.27860994607549433,0.42300778909526665,0.14439784301977232,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank8_obj10_qc.png,none,pending
cycle86_rank4_obj9,event,86.0,86.0,,0.23061840120663651,9.0,26.0,45.0,17.0,2.3269230769230766,0.5865384615384616,4.202646411692796e-07,0.0650642115750638,,0.9761674649981452,18.20458030700684,75,0.4017382906808305,0.0,0.06732673346996307,0.3081186339125225,0.3102156980227681,0.0020970641102456278,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle86_rank4_obj9_qc.png,fragmented_q70_mask;diffusion_ci_crosses_zero,pending
cycle86_rank8_obj17,event,86.0,86.0,,0.20442096603087315,19.0,22.0,34.0,13.0,1.8269230769230769,0.6057692307692308,1.2085253381264768e-06,0.0650642115750638,,0.9595425012763258,11.313231468200684,91,0.23873204556711244,0.0,0.1091850996017456,0.304973037747154,0.3024266027561414,-0.0025464349910125916,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle86_rank8_obj17_qc.png,fragmented_q70_mask,pending
