cycleNo,echem_optical_priority_score,echem_pc1_tertile,echem_regime_pc1,echem_regime_pc2,echem_outlier_score,capacity_mAh,capacity_fade_from_first_mAh,coulombic_efficiency_pct,echem_ce_extreme_or_missing,voltage_peak_hysteresis_proxy,highV_charge_discharge_imbalance,cross_modal_consensus_score,n_modal_votes,consensus_class,any_abrupt_drop,synchronized_drop_2plus,future_any_drop_within_8cycles,frames_percentile,state_state_step_norm
150,0.9386600083229297,pc1_low,-262.8380832887767,102.60768925366628,0.7555555555555556,0.4018784230033991,0.2598849929976063,46.81331631510453,1,-0.1999999999999993,-0.14118601624638477,0.6463997608683184,3,multimodal_outlier_without_trace_drop,0,0,1,0.848314606741573,29.647137869789937
151,0.9269343718079673,pc1_mid,-0.26045721593506915,-2.572168381502243,,,,,1,,,0.6252469725648413,3,multimodal_outlier_without_trace_drop,0,0,1,0.8314606741573034,28.533194056224296
126,0.798799795709908,pc1_high,323.72052125899154,83.76607765580843,0.9802469135802468,0.8733915434641674,-0.21162812746316195,179.33998347782418,1,0.4499999999999993,0.6939933339039386,0.5645102487330952,3,multimodal_outlier_without_trace_drop,0,0,0,0.7078651685393258,25.535815332623
116,0.7921159157114214,pc1_low,-1.7779631342639857,-1.196798825359506,0.5580246913580247,0.824414588297882,-0.16265117229687653,98.39927188340005,0,0.15000000000000036,0.1657004071693598,0.7951514188778093,4,synchronized_multimodal_degradation_candidate,1,1,0,0.0112359550561797,13.563520693660344
86,0.7811756768685607,pc1_mid,-0.6042727704944596,-2.6588697865608792,0.5111111111111111,0.623164453387729,0.038598962613276444,98.59700920601584,0,0.15000000000000036,0.2983946849221528,0.8126999459104489,4,synchronized_multimodal_degradation_candidate,1,1,0,0.0786516853932584,8.521464254560303
112,0.7773310508329235,pc1_high,2.0754063156920184,-2.5357511566041326,0.4,0.831203029316235,-0.1694396133152296,99.25550518434362,0,0.20000000000000018,0.1672573604915994,0.6492858679943373,2,low_consensus,0,0,1,0.1404494382022472,8.756170712128581
118,0.728856606010164,pc1_mid,-1.0341007710954404,-1.4901996796550674,0.5901234567901235,0.8246261548736477,-0.16286273887264224,98.56526636456609,0,0.20000000000000018,0.1710502837767815,0.6210497900874848,2,low_consensus,0,0,0,0.0786516853932584,7.277462750010905
76,0.7273206471708344,pc1_low,-1.086569600341836,-2.476163591791534,0.5308641975308641,0.6265629096357282,0.03520050636527716,98.49423902936768,0,0.15000000000000036,0.2929352957053001,0.7100667532723229,2,low_consensus,0,0,0,0.2022471910112359,4.530712836386308
125,0.7070038714233471,pc1_high,1.2349677705223108,-2.358586516238105,0.46913580246913583,0.8202095282288281,-0.15844611222782268,99.05867704193368,0,0.20000000000000018,0.1774130076606127,0.7091560885205925,2,low_consensus,0,0,0,0.7415730337078652,5.178836359034327
156,0.7019279877425945,pc1_mid,-0.26067703857980906,-2.5705043176139464,,,,,1,,,0.568138865483918,2,trace_event_low_modal_support,1,0,0,0.9101123595505618,6.385183479815459
127,0.6809449047276763,pc1_high,1.573199236683345,-2.356495718991454,0.5037037037037038,0.8780510836333449,-0.21628766763233953,99.12879514014308,0,0.20000000000000018,0.15053575349963194,0.6485122944815467,1,low_consensus,0,0,0,0.7191011235955056,26.47603610986759
110,0.6785454419349549,pc1_high,0.7984054952655293,-3.062658698063421,0.3037037037037037,0.6265993163629001,0.035164099638105295,99.00844061867976,0,0.15000000000000036,0.2888680873750798,0.611098871807764,2,low_consensus,0,0,1,0.1179775280898876,3.726419147611593
96,0.678395061728395,pc1_low,-3.6199245341848005,-1.7633450481008388,0.5753086419753086,0.6264680253774085,0.03529539062359688,97.9904725551036,0,0.15000000000000036,0.3033774983989041,0.5930616145518888,2,low_consensus,0,0,0,0.0224719101123595,3.568710314025355
130,0.6732934841549073,pc1_mid,-1.0212213867341227,-1.3903291158830828,0.6345679012345679,0.8705715169803451,-0.20880810097933966,98.5852666034628,0,0.20000000000000018,0.1496033950041754,0.599774152201058,2,low_consensus,0,0,0,0.6853932584269663,2.278544488589542
106,0.660133797399715,pc1_low,-1.0822364545777974,-2.57125460168132,0.5111111111111111,0.6215962920690086,0.04016712393199684,98.49084541838673,0,0.15000000000000036,0.2980497747511848,0.653099512589666,2,low_consensus,0,0,0,0.0337078651685393,2.242120563650745
131,0.6518389260898625,pc1_low,-1.780365703221577,-1.0817329189940597,0.6962962962962962,0.8692177312572485,-0.20745431525624314,98.41242448803447,0,0.20000000000000018,0.15561333773686847,0.5386964414797567,1,low_consensus,0,0,0,0.6629213483146067,4.992798913749088
152,0.6471527068437181,pc1_mid,-0.2605011804640172,-2.571835568724584,,,,,1,,,0.5746173679528156,1,low_consensus,0,0,1,0.8202247191011236,1.6389462244070354
44,0.6466099824714057,pc1_low,-5.127776732282996,-1.4604719171075344,0.671604938271605,0.6335059760529974,0.028257439948008,97.30886282905732,0,0.15000000000000036,0.2598945392099158,0.5160301341897263,1,low_consensus,0,0,0,0.4382022471910112,7.805796952936225
146,0.6451559918788383,pc1_low,-18.406594358203,5.224130953235505,0.8246913580246913,0.8465362155334497,-0.1847727995324443,94.75651022551988,0,0.20000000000000018,0.17935392546184598,0.5240337128483498,1,low_consensus,0,0,0,0.8876404494382022,2.834328402176376
128,0.6381571646552919,pc1_low,-3.0344076968823717,-0.5503958919755804,0.7506172839506172,0.8713986755195169,-0.20963525951851147,98.18959526246968,0,0.20000000000000018,0.14895033070760627,0.5432225633158942,2,low_consensus,0,0,0,0.6853932584269663,1.633830586879799
