cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,cohort_role,event_reference_cycle,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,transfer_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
150.0,17_c2_x10_HighHighCOV_150723,4,1,4,32.06435888596172,transfer_warning_roi_candidate,transfer_warning,150.0,1644.421052631579,128.0,411.10526315789474,32.0,38,10379.9345703125,29.676673889160156,1,40.97186183003927,1,1,0,4950,6188,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
150.0,17_c2_x10_HighHighCOV_150723,4,1,1,31.252033699995643,transfer_warning_roi_candidate,transfer_warning,150.0,846.2068965517242,84.27586206896552,211.55172413793105,21.06896551724138,58,8829.2822265625,25.297578811645508,1,40.97186183003927,1,1,0,4950,6188,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
150.0,17_c2_x10_HighHighCOV_150723,4,1,2,30.291010000248452,transfer_warning_roi_candidate,transfer_warning,150.0,824.7317073170732,396.6829268292683,206.1829268292683,99.17073170731707,82,7190.4619140625,20.693876266479492,1,40.97186183003927,1,1,0,4950,6188,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
150.0,17_c2_x10_HighHighCOV_150723,4,1,3,30.064514136526782,transfer_warning_roi_candidate,transfer_warning,150.0,1201.6,1103.1157894736841,300.4,275.77894736842103,95,6589.99365234375,19.133668899536133,1,40.97186183003927,1,1,0,4950,6188,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
146.0,17_c2_x10_HighHighCOV_150723,0,2,4,25.08453257672064,transfer_warning_roi_candidate,transfer_warning,146.0,1350.4700460829492,186.69124423963135,337.6175115207373,46.672811059907836,217,3634.32275390625,13.690568923950195,2,3.21719464829548,0,1,0,0,1237,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_146_17_c2_x10_HighHighCOV_150723_local0.png
146.0,17_c2_x10_HighHighCOV_150723,0,2,3,24.25844097336723,transfer_warning_roi_candidate,transfer_warning,146.0,848.2352941176471,84.3529411764706,212.05882352941177,21.08823529411765,68,7995.30517578125,20.72759437561035,2,3.21719464829548,0,1,0,0,1237,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_146_17_c2_x10_HighHighCOV_150723_local0.png
146.0,17_c2_x10_HighHighCOV_150723,0,2,2,24.00590728570276,transfer_warning_roi_candidate,transfer_warning,146.0,829.170731707317,395.0243902439024,207.29268292682926,98.7560975609756,82,7332.19677734375,18.921016693115234,2,3.21719464829548,0,1,0,0,1237,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_146_17_c2_x10_HighHighCOV_150723_local0.png
146.0,17_c2_x10_HighHighCOV_150723,0,2,1,23.996348529153266,transfer_warning_roi_candidate,transfer_warning,146.0,1202.8387096774193,1101.247311827957,300.7096774193548,275.31182795698925,93,6981.751953125,18.055540084838867,2,3.21719464829548,0,1,0,0,1237,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_146_17_c2_x10_HighHighCOV_150723_local0.png
156.0,18_c2_xN_HighHighCOV_170723,0,3,1,24.80549395038122,transfer_warning_roi_candidate,transfer_warning,156.0,1345.7414965986395,132.6530612244898,336.4353741496599,33.16326530612245,147,6680.10888671875,16.869712829589844,3,1.611586757942234,0,0,1,0,1939,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_156_18_c2_xN_HighHighCOV_170723_local0.png
156.0,18_c2_xN_HighHighCOV_170723,0,3,2,24.48233143141416,transfer_warning_roi_candidate,transfer_warning,156.0,1200.64,1053.8666666666666,300.16,263.46666666666664,75,9714.015625,20.877092361450195,3,1.611586757942234,0,0,1,0,1939,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_156_18_c2_xN_HighHighCOV_170723_local0.png
156.0,18_c2_xN_HighHighCOV_170723,0,3,3,23.783383251019146,transfer_warning_roi_candidate,transfer_warning,156.0,1670.2857142857142,144.71428571428572,417.57142857142856,36.17857142857143,112,6531.46533203125,16.792715072631836,3,1.611586757942234,0,0,1,0,1939,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_156_18_c2_xN_HighHighCOV_170723_local0.png
156.0,18_c2_xN_HighHighCOV_170723,0,3,4,23.174091040856943,transfer_warning_roi_candidate,transfer_warning,156.0,816.9545454545455,334.1818181818182,204.23863636363637,83.54545454545455,88,7757.61279296875,16.62549591064453,3,1.611586757942234,0,0,1,0,1939,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_156_18_c2_xN_HighHighCOV_170723_local0.png
