cycleNo,transfer_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,cycle_table_n_frames,downsample,n_candidates,overlay_png
150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
146.0,2,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_146_17_c2_x10_HighHighCOV_150723_local0.png
156.0,3,1.611586757942234,0,0,1,18_c2_xN_HighHighCOV_170723,0,3,5818,0,1939,0,1938,16,1246.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_156_18_c2_xN_HighHighCOV_170723_local0.png
151.0,4,1.4388691546947752,1,1,0,17_c2_x10_HighHighCOV_150723,5,10,12377,6188,7426,6188,7425,16,1236.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_151_17_c2_x10_HighHighCOV_150723_local5.png
152.0,5,1.1876601241161993,1,1,0,17_c2_x10_HighHighCOV_150723,6,10,12377,7426,8663,7426,8662,16,1235.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_152_17_c2_x10_HighHighCOV_150723_local6.png
154.0,6,1.0097002411185476,1,1,0,17_c2_x10_HighHighCOV_150723,8,10,12377,9901,11139,9901,11138,16,1228.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_154_17_c2_x10_HighHighCOV_150723_local8.png
153.0,7,0.8710369083836372,1,1,0,17_c2_x10_HighHighCOV_150723,7,10,12377,8663,9901,8663,9900,16,1231.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_153_17_c2_x10_HighHighCOV_150723_local7.png
40.0,8,0.7842017555889671,0,0,0,5_c2_x10_260623,5,10,9279,4639,5567,4639,5566,16,927.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_40_5_c2_x10_260623_local5.png
148.0,9,0.7480825471472065,1,1,0,17_c2_x10_HighHighCOV_150723,2,10,12377,2475,3713,2475,3712,16,1240.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_148_17_c2_x10_HighHighCOV_150723_local2.png
155.0,10,0.7426923860413742,1,1,0,17_c2_x10_HighHighCOV_150723,9,10,12377,11139,12377,11139,12376,16,1228.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_155_17_c2_x10_HighHighCOV_150723_local9.png
147.0,11,0.6943342227566772,0,1,0,17_c2_x10_HighHighCOV_150723,1,10,12377,1237,2475,1237,2474,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_147_17_c2_x10_HighHighCOV_150723_local1.png
116.0,12,0.6939075621668416,0,0,1,13_c2_x6_100723,1,6,5458,909,1819,909,1818,16,892.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_116_13_c2_x6_100723_local1.png
