candidate_id,x_ds,y_ds,x_full_approx,y_full_approx,area_ds_px,area_full_approx_px,bbox_x0_ds,bbox_y0_ds,bbox_x1_ds,bbox_y1_ds,mean_residual,mean_abs_z,mean_temporal_std,polarity,rank_score,candidate_rank,cycleNo,transfer_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,cycle_table_n_frames,downsample,n_candidates,overlay_png
17,211.55172413793105,21.06896551724138,846.2068965517242,84.27586206896552,58,928,207,17,217,26,8829.2822265625,25.297578811645508,3494.285400390625,bright,12954848.852650095,1,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
70,206.1829268292683,99.17073170731707,824.7317073170732,396.6829268292683,82,1312,200,94,212,106,7190.4619140625,20.693876266479492,3222.958740234375,bright,12201479.390172299,2,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
175,300.4,275.77894736842103,1201.6,1103.1157894736841,95,1520,293,269,306,283,6589.99365234375,19.133668899536133,3199.211181640625,bright,11978621.876429062,3,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
25,411.10526315789474,32.0,1644.421052631579,128.0,38,608,408,29,416,36,10379.9345703125,29.676673889160156,3533.05419921875,bright,11705593.462891385,4,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
115,301.8888888888889,167.0888888888889,1207.5555555555557,668.3555555555556,45,720,298,163,306,172,9108.9091796875,26.087261199951172,3155.72314453125,bright,10693192.185771335,5,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
43,146.18666666666667,59.77333333333333,584.7466666666667,239.09333333333333,75,1200,139,55,152,66,6843.39599609375,19.838245391845703,2831.031494140625,bright,10182072.681306163,6,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
37,418.96521739130435,51.495652173913044,1675.8608695652174,205.98260869565217,115,1840,411,44,428,58,5040.27099609375,15.909900665283203,2545.68603515625,bright,9221874.250505352,7,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
28,338.2016129032258,47.399193548387096,1352.8064516129032,189.59677419354838,248,3968,328,34,349,59,2759.67431640625,13.32405948638916,1591.1865234375,bright,9118976.05920459,8,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
31,254.06896551724137,45.55172413793103,1016.2758620689655,182.20689655172413,58,928,249,40,261,51,6729.826171875,21.33087158203125,2972.588623046875,bright,8326077.354816198,9,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
15,16.157894736842106,18.57894736842105,64.63157894736842,74.3157894736842,38,608,13,16,20,23,8230.2900390625,23.606002807617188,3130.176025390625,bright,7382801.4912453,10,150.0,1,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_150_17_c2_x10_HighHighCOV_150723_local4.png
