target,comparison,delta_roc_auc,delta_average_precision,delta_spearman_rho,comparison_metric,base_metric,comparison_spearman_rho,base_spearman_rho
future_any_drop_within_16cycles,video_plus_echem_source_rank_weighted_minus_video_all_raw_unweighted,0.16023391812865495,0.07476208424629549,0.22544340146227465,0.6140350877192983,0.4538011695906433,0.16044329666110788,-0.06500010480116677
future_any_drop_within_16cycles,video_plus_echem_source_rank_weighted_minus_video_plus_echem_raw_unweighted,0.019883040935672502,0.018617915374496752,0.027974728648603425,0.6140350877192983,0.5941520467836258,0.16044329666110788,0.13246856801250445
future_any_drop_within_16cycles,video_plus_echem_source_rank_unweighted_minus_video_plus_echem_raw_unweighted,0.019883040935672502,0.018617915374496752,0.027974728648603425,0.6140350877192983,0.5941520467836258,0.16044329666110788,0.13246856801250445
future_any_drop_within_16cycles,video_plus_echem_raw_weighted_minus_video_plus_echem_raw_unweighted,0.0,0.0,0.0,0.5941520467836258,0.5941520467836258,0.13246856801250445,0.13246856801250445
future_any_drop_within_16cycles,video_plus_echem_source_rank_weighted_minus_echem_regime_raw_unweighted,-0.01754385964912275,0.002859911361538181,-0.024826622083846533,0.6140350877192983,0.631578947368421,0.16044329666110788,0.1852699187449544
future_any_drop_within_16cycles,video_plus_echem_source_rank_weighted_minus_acquisition_context_raw_unweighted,-0.09005847953216362,-0.04605198167993607,-0.12670906505543902,0.6140350877192983,0.7040935672514619,0.16044329666110788,0.2871523617165469
future_any_drop_within_8cycles,video_plus_echem_raw_weighted_minus_video_plus_echem_raw_unweighted,0.0,0.0,0.0,0.7615740740740741,0.7615740740740741,0.4531032904388878,0.4531032904388878
future_any_drop_within_8cycles,video_plus_echem_source_rank_weighted_minus_echem_regime_raw_unweighted,-0.1049382716049383,-0.10585497721033676,-0.182026900449686,0.5825617283950617,0.6875,0.14301490288189084,0.32504180333157684
future_any_drop_within_8cycles,video_plus_echem_source_rank_weighted_minus_video_all_raw_unweighted,-0.14197530864197527,-0.2258783921735218,-0.24593216944175622,0.5825617283950617,0.724537037037037,0.14301490288189084,0.38894707232364706
future_any_drop_within_8cycles,video_plus_echem_source_rank_weighted_minus_video_plus_echem_raw_unweighted,-0.17901234567901236,-0.24584358459022138,-0.31008838755699697,0.5825617283950617,0.7615740740740741,0.14301490288189084,0.4531032904388878
future_any_drop_within_8cycles,video_plus_echem_source_rank_unweighted_minus_video_plus_echem_raw_unweighted,-0.17901234567901236,-0.24584358459022138,-0.31008838755699697,0.5825617283950617,0.7615740740740741,0.14301490288189084,0.4531032904388878
future_any_drop_within_8cycles,video_plus_echem_source_rank_weighted_minus_acquisition_context_raw_unweighted,-0.4174382716049383,-0.43259718924666646,-0.7230940416738594,0.5825617283950617,1.0,0.14301490288189084,0.8661089445557502
