n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95,target,feature_set,mode,observed_roc_auc
500,0.003992015968063872,0.5031883040935672,0.6432748538011696,future_any_drop_within_16cycles,acquisition_context,raw_unweighted,0.7040935672514619
500,0.003992015968063872,0.5031883040935672,0.6432748538011696,future_any_drop_within_16cycles,acquisition_context,raw_weighted,0.7040935672514619
500,0.9421157684630739,0.49612397660818713,0.6304093567251461,future_any_drop_within_16cycles,acquisition_context,source_rank_unweighted,0.3684210526315789
500,0.9421157684630739,0.49612397660818713,0.6304093567251461,future_any_drop_within_16cycles,acquisition_context,source_rank_weighted,0.3684210526315789
500,0.06786427145708583,0.5085684210526316,0.6352631578947368,future_any_drop_within_16cycles,echem_regime,raw_unweighted,0.631578947368421
500,0.06786427145708583,0.5085684210526316,0.6352631578947368,future_any_drop_within_16cycles,echem_regime,raw_weighted,0.631578947368421
500,0.031936127744510975,0.49684912280701754,0.631578947368421,future_any_drop_within_16cycles,echem_regime,source_rank_unweighted,0.6421052631578946
500,0.031936127744510975,0.49684912280701754,0.631578947368421,future_any_drop_within_16cycles,echem_regime,source_rank_weighted,0.6421052631578946
500,0.7544910179640718,0.5003695906432749,0.6339766081871344,future_any_drop_within_16cycles,video_all,raw_unweighted,0.4538011695906433
500,0.7544910179640718,0.5003695906432749,0.6339766081871344,future_any_drop_within_16cycles,video_all,raw_weighted,0.4538011695906433
500,0.7065868263473054,0.4993684210526316,0.6387134502923976,future_any_drop_within_16cycles,video_all,source_rank_unweighted,0.45380116959064326
500,0.7065868263473054,0.4993684210526316,0.6387134502923976,future_any_drop_within_16cycles,video_all,source_rank_weighted,0.45380116959064326
500,0.16766467065868262,0.5071485380116959,0.6399999999999998,future_any_drop_within_16cycles,video_plus_echem,raw_unweighted,0.5941520467836258
500,0.16766467065868262,0.5071485380116959,0.6399999999999998,future_any_drop_within_16cycles,video_plus_echem,raw_weighted,0.5941520467836258
500,0.06786427145708583,0.4974923976608187,0.6234502923976607,future_any_drop_within_16cycles,video_plus_echem,source_rank_unweighted,0.6140350877192983
500,0.06786427145708583,0.4974923976608187,0.6234502923976607,future_any_drop_within_16cycles,video_plus_echem,source_rank_weighted,0.6140350877192983
