cycleNo,n_candidates,n_review_for_accept,n_artifact_first,max_decision_score,median_decision_score,max_artifact_score
156.0,6,3,1,0.947659574468085,0.8675531914893617,0.9202127659574467
60.0,6,0,1,0.7757446808510639,0.5859574468085106,0.6792553191489362
62.0,4,0,1,0.7329787234042553,0.4482978723404256,0.6728723404255319
157.0,4,0,1,0.7095744680851063,0.46468085106382984,0.7941489361702128
116.0,5,0,0,0.6451063829787235,0.3523404255319149,0.5563829787234043
86.0,6,0,0,0.6140425531914894,0.4687234042553192,0.8654255319148936
58.0,3,0,0,0.5651063829787234,0.5248936170212767,0.49361702127659574
158.0,4,0,0,0.5436170212765957,0.5036170212765958,0.7867021276595745
88.0,4,0,0,0.48999999999999994,0.3997872340425532,0.5781914893617022
90.0,3,0,0,0.42510638297872333,0.36914893617021277,0.4856382978723404
118.0,2,0,0,0.37659574468085105,0.28829787234042553,0.38404255319148933
