degradation_mode,n_rows,event_rate,mean_cycle,norm_intensity_mean,delta_norm_mean,trailing_mean_norm_mean,trailing_std_norm_mean,trailing_min_delta_mean,trailing_slope_norm_mean,n_frames_percentile_mean,V_mean_mean,V_range_mean,I_mean_mA_mean,I_abs_mean_mA_mean,V_mean_delta_mean,I_mean_delta_mean
0,53,0.1509433962264151,88.9622641509434,0.954034175150916,-0.05111375888419838,1.0321217964325575,0.08013354670482178,-0.1757257536351213,-0.03617528209432554,0.34608861564553745,3.850422361906525,1.2772708571428568,0.014609048970748918,0.500889,0.0019451213374360688,0.005635795465905131
1,103,0.0,136.5631067961165,1.1734095929672863,0.009100132832291814,1.161693580586211,0.042731214872925555,-0.06248401865380834,0.0052615149755768365,0.7861895931057054,3.927775597007168,1.5962487857142857,0.014327343511318568,0.5008889999999999,-0.00016411271501138455,-0.0014953657616900015
2,8,0.0,143.0,1.1949940993868493,0.008294530388157698,1.1629346891916161,0.034576097010169726,-0.06584491007978654,0.01833729379922519,0.7331460674157303,3.9822654520889698,1.5450589999999995,0.09287389338777705,0.500889,0.145289496951926,0.1918961498423295
3,192,0.0,70.453125,1.0612187812668359,0.01252008719370441,1.0409221441753893,0.04108393540794016,-0.05586204901384431,0.0094437375717312,0.38965941011235955,3.826456923984591,1.2165815798816566,0.0067704981648933635,0.5008889999999999,-0.0029862200519687283,-0.007789936893208065
