holdout_event_reference_cycle,n_train,n_test,roc_auc,balanced_accuracy
60.0,38,14,0.8333333333333334,0.6666666666666667
86.0,38,14,0.3541666666666667,0.1875
116.0,42,10,0.0,0.0
156.0,38,14,0.625,0.3958333333333333
