roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png
source_balanced_cycle98_rank6_obj1_11_c2_x10_050723,98.0,11_c2_x10_050723,3,6,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,18.0,12.0,1.0,1.0,True,23.327083525321505,source_balanced_pre_event_candidate,1343.0679611650485,204.50485436893203,103.0,8562.1708984375,21.21138000488281,1247,109,1439,301,192,96,96,2706,3607,8874.2353515625,8886.8251953125,12.58984375,0.07134261727333069,0.07216120511293411,0.0008185878396034241,0.22360679774992814,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj1_11_c2_x10_050723.npz,
source_balanced_cycle98_rank6_obj2_11_c2_x10_050723,98.0,11_c2_x10_050723,3,6,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,18.0,12.0,1.0,1.0,True,24.558909812946133,source_balanced_pre_event_candidate,835.7142857142857,94.66666666666669,42.0,13457.7646484375,29.523515701293945,740,0,932,192,192,96,96,2706,3607,8964.4775390625,8968.39453125,3.9169921875,0.08117502182722092,0.08182970434427261,0.0006546825170516968,0.22360679774992814,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj2_11_c2_x10_050723.npz,
source_balanced_cycle100_rank7_obj1_11_c2_x10_050723,100.0,11_c2_x10_050723,5,7,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,16.0,14.0,1.0,1.0,True,23.335890706615764,source_balanced_pre_event_candidate,1342.2222222222222,204.22222222222223,108.0,8197.46484375,20.41080665588379,1246,108,1438,300,192,96,96,4510,5411,8880.9482421875,8886.0986328125,5.150390625,0.07151804119348526,0.07171154767274857,0.00019350647926330566,0.29154759474225334,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj1_11_c2_x10_050723.npz,
source_balanced_cycle100_rank7_obj2_11_c2_x10_050723,100.0,11_c2_x10_050723,5,7,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,16.0,14.0,1.0,1.0,True,24.28248417017058,source_balanced_pre_event_candidate,834.3111111111111,94.22222222222224,45.0,12717.9267578125,27.73917961120605,738,0,930,192,192,96,96,4510,5411,8958.8818359375,8964.2412109375,5.359375,0.08066722750663757,0.08088615536689758,0.00021892786026000977,0.29154759474225334,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj2_11_c2_x10_050723.npz,
source_balanced_cycle102_rank8_obj1_11_c2_x10_050723,102.0,11_c2_x10_050723,7,8,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,14.0,16.0,1.0,1.0,True,24.32786903333057,source_balanced_pre_event_candidate,834.3111111111111,93.77777777777776,45.0,12752.44140625,27.896915435791016,738,0,930,192,192,96,96,6314,7215,8966.798828125,8960.958984375,-5.83984375,0.0812777653336525,0.08105248957872391,-0.00022527575492858887,0.22360679774997896,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj1_11_c2_x10_050723.npz,
source_balanced_cycle102_rank8_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,7,8,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,14.0,16.0,1.0,1.0,True,22.59967126305032,source_balanced_pre_event_candidate,1337.7518248175184,199.94160583941607,137.0,6112.04638671875,17.030691146850586,1242,104,1434,296,192,96,96,6314,7215,8884.5400390625,8882.544921875,-1.9951171875,0.07142522931098938,0.07140012830495834,-2.5101006031036377e-05,0.22360679774997896,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj2_11_c2_x10_050723.npz,
source_balanced_cycle104_rank9_obj1_11_c2_x10_050723,104.0,11_c2_x10_050723,9,9,1,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,12.0,18.0,1.0,0.0,True,23.914457040802272,source_balanced_pre_event_candidate,1342.125,203.375,96.0,9298.2919921875,22.527719497680664,1246,107,1438,299,192,96,96,8118,9019,8889.599609375,8880.17578125,-9.423828125,0.07188384979963303,0.07147625088691711,-0.00040759891271591187,0.2500000000000227,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj1_11_c2_x10_050723.npz,
source_balanced_cycle104_rank9_obj2_11_c2_x10_050723,104.0,11_c2_x10_050723,9,9,2,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,12.0,18.0,1.0,0.0,True,24.37434705398142,source_balanced_pre_event_candidate,834.3111111111111,93.77777777777776,45.0,12765.328125,27.745155334472656,738,0,930,192,192,96,96,8118,9019,8966.6513671875,8957.9599609375,-8.69140625,0.08209259063005447,0.08165984600782394,-0.0004327446222305298,0.2500000000000227,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj2_11_c2_x10_050723.npz,
source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,106.0,12_c2_x10_070723,1,10,1,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,10.0,20.0,1.0,0.0,False,23.629607198020047,source_balanced_pre_event_candidate,1341.0181818181818,198.21818181818185,110.0,8347.205078125,19.803709030151367,1245,102,1437,294,192,96,96,904,1807,8853.5986328125,8840.9873046875,-12.611328125,0.07480251044034958,0.07426752150058746,-0.0005349889397621155,0.2121320343559321,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj1_12_c2_x10_070723.npz,
source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,106.0,12_c2_x10_070723,1,10,2,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,10.0,20.0,1.0,0.0,False,23.87471907906338,source_balanced_pre_event_candidate,1664.225352112676,223.2112676056338,71.0,10313.61328125,22.96823501586914,1568,127,1760,319,192,96,96,904,1807,8251.080078125,8235.2099609375,-15.8701171875,0.07885780930519104,0.07806313037872314,-0.0007946789264678955,0.2121320343559321,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj2_12_c2_x10_070723.npz,
