comparison,match_scheme,treated_source,control_source,same_source,same_source_class,n_pairs,median_match_distance
near_vs_far_pre,source_penalized_echem_context,9_c2_x10_010723,5_c2_x10_260623,False,True,8,1.6860654643155228
near_vs_far_pre,source_penalized_echem_context,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,False,False,7,1.682679420172329
near_vs_far_pre,source_penalized_echem_context,12_c2_x10_070723,5_c2_x10_260623,False,True,4,1.9299729589479702
near_vs_far_pre,source_penalized_echem_context,7_c2_x10_290623,5_c2_x10_260623,False,True,3,1.1638787778094934
near_vs_far_pre,source_penalized_echem_context,6_c2_x10_270623_2,5_c2_x10_260623,False,True,3,1.5213137911839936
near_vs_far_pre,source_penalized_echem_context,12_c2_x10_070723,15_c2_x5_HighCOV_120723,False,False,2,1.7255242607543408
near_vs_far_pre,source_penalized_echem_context,12_c2_x10_070723,16_c2_x10_HighHighCOV_130723,False,False,2,3.0099070889506
near_vs_far_pre,source_penalized_echem_context,17_c2_x10_HighHighCOV_150723,4_c2_x10_240623,False,False,1,1.489035421985841
near_vs_far_pre,source_penalized_echem_context,6_c2_x10_270623_2,4_c2_x10_240623,False,True,1,1.5613657865385098
near_vs_far_pre,source_penalized_echem_context,7_c2_x10_290623,4_c2_x10_240623,False,True,1,1.7239718560062793
near_vs_far_pre,source_class_penalized_echem_context,9_c2_x10_010723,5_c2_x10_260623,False,True,8,0.9360654643155228
near_vs_far_pre,source_class_penalized_echem_context,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,False,False,7,1.432679420172329
near_vs_far_pre,source_class_penalized_echem_context,12_c2_x10_070723,5_c2_x10_260623,False,True,4,1.1799729589479702
near_vs_far_pre,source_class_penalized_echem_context,7_c2_x10_290623,5_c2_x10_260623,False,True,3,0.4138787778094935
near_vs_far_pre,source_class_penalized_echem_context,6_c2_x10_270623_2,5_c2_x10_260623,False,True,3,0.7713137911839937
near_vs_far_pre,source_class_penalized_echem_context,12_c2_x10_070723,15_c2_x5_HighCOV_120723,False,False,2,1.4755242607543408
near_vs_far_pre,source_class_penalized_echem_context,12_c2_x10_070723,16_c2_x10_HighHighCOV_130723,False,False,2,2.7599070889506
near_vs_far_pre,source_class_penalized_echem_context,6_c2_x10_270623_2,4_c2_x10_240623,False,True,1,0.8113657865385098
near_vs_far_pre,source_class_penalized_echem_context,7_c2_x10_290623,4_c2_x10_240623,False,True,1,0.9739718560062793
near_vs_far_pre,source_class_penalized_echem_context,17_c2_x10_HighHighCOV_150723,4_c2_x10_240623,False,False,1,1.239035421985841
near_vs_mid_pre,same_source,12_c2_x10_070723,12_c2_x10_070723,True,True,8,3.0454655154781363
near_vs_mid_pre,same_source,17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,True,True,8,4.94548074526187
near_vs_mid_pre,same_source,6_c2_x10_270623_2,6_c2_x10_270623_2,True,True,4,0.38423582012808727
near_vs_mid_pre,source_penalized_echem_context,9_c2_x10_010723,6_c2_x10_270623_2,False,True,6,1.4597576367771443
near_vs_mid_pre,source_penalized_echem_context,6_c2_x10_270623_2,6_c2_x10_270623_2,True,True,4,0.38423582012808727
near_vs_mid_pre,source_penalized_echem_context,12_c2_x10_070723,12_c2_x10_070723,True,True,4,1.1626080205818279
near_vs_mid_pre,source_penalized_echem_context,7_c2_x10_290623,6_c2_x10_270623_2,False,True,4,1.4168894853765832
near_vs_mid_pre,source_penalized_echem_context,12_c2_x10_070723,16_c2_x10_HighHighCOV_130723,False,False,4,2.0259030070694584
near_vs_mid_pre,source_penalized_echem_context,17_c2_x10_HighHighCOV_150723,11_c2_x10_050723,False,False,3,1.3659843028119685
near_vs_mid_pre,source_penalized_echem_context,17_c2_x10_HighHighCOV_150723,6_c2_x10_270623_2,False,False,3,1.5861220157281184
near_vs_mid_pre,source_penalized_echem_context,9_c2_x10_010723,11_c2_x10_050723,False,True,2,1.4220841676876277
near_vs_mid_pre,source_penalized_echem_context,17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,True,True,2,6.020087651061134
near_vs_mid_pre,source_class_penalized_echem_context,9_c2_x10_010723,6_c2_x10_270623_2,False,True,6,0.7097576367771444
near_vs_mid_pre,source_class_penalized_echem_context,6_c2_x10_270623_2,6_c2_x10_270623_2,True,True,4,0.38423582012808727
near_vs_mid_pre,source_class_penalized_echem_context,7_c2_x10_290623,6_c2_x10_270623_2,False,True,4,0.666889485376583
near_vs_mid_pre,source_class_penalized_echem_context,12_c2_x10_070723,16_c2_x10_HighHighCOV_130723,False,False,4,1.7759030070694586
near_vs_mid_pre,source_class_penalized_echem_context,17_c2_x10_HighHighCOV_150723,11_c2_x10_050723,False,False,3,1.1159843028119685
near_vs_mid_pre,source_class_penalized_echem_context,17_c2_x10_HighHighCOV_150723,6_c2_x10_270623_2,False,False,3,1.3361220157281184
near_vs_mid_pre,source_class_penalized_echem_context,12_c2_x10_070723,11_c2_x10_050723,False,True,3,1.4603995103744338
near_vs_mid_pre,source_class_penalized_echem_context,9_c2_x10_010723,11_c2_x10_050723,False,True,2,0.6720841676876277
near_vs_mid_pre,source_class_penalized_echem_context,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,False,True,2,5.705346213709121
near_vs_mid_pre,source_class_penalized_echem_context,12_c2_x10_070723,12_c2_x10_070723,True,True,1,0.5781855342743182
near_vs_post_control,same_source,9_c2_x10_010723,9_c2_x10_010723,True,True,8,1.2822424175519953
near_vs_post_control,same_source,7_c2_x10_290623,7_c2_x10_290623,True,True,4,1.0046732670698224
near_vs_post_control,source_penalized_echem_context,9_c2_x10_010723,9_c2_x10_010723,True,True,8,1.2822424175519953
near_vs_post_control,source_penalized_echem_context,17_c2_x10_HighHighCOV_150723,11_c2_x10_050723,False,False,5,1.3861438827450194
near_vs_post_control,source_penalized_echem_context,12_c2_x10_070723,14_c2_x10_HighCOV_110723,False,False,4,1.6648287872335863
near_vs_post_control,source_penalized_echem_context,17_c2_x10_HighHighCOV_150723,7_c2_x10_290623,False,False,3,1.4851803574139586
near_vs_post_control,source_penalized_echem_context,6_c2_x10_270623_2,8_c2_x10_300623,False,True,3,1.5350917337476526
near_vs_post_control,source_penalized_echem_context,7_c2_x10_290623,7_c2_x10_290623,True,True,2,0.7460842274903219
near_vs_post_control,source_penalized_echem_context,7_c2_x10_290623,8_c2_x10_300623,False,True,2,1.062499057722183
near_vs_post_control,source_penalized_echem_context,12_c2_x10_070723,11_c2_x10_050723,False,True,2,1.3332959764573291
near_vs_post_control,source_penalized_echem_context,12_c2_x10_070723,10_c2_x10_030723,False,True,2,1.8315109989907834
near_vs_post_control,source_penalized_echem_context,6_c2_x10_270623_2,2_c2_x14_200623,False,True,1,1.7823471121126273
near_vs_post_control,source_class_penalized_echem_context,9_c2_x10_010723,7_c2_x10_290623,False,True,5,0.7651148957006705
near_vs_post_control,source_class_penalized_echem_context,17_c2_x10_HighHighCOV_150723,11_c2_x10_050723,False,False,5,1.1361438827450194
near_vs_post_control,source_class_penalized_echem_context,7_c2_x10_290623,8_c2_x10_300623,False,True,4,0.41668874959818714
near_vs_post_control,source_class_penalized_echem_context,12_c2_x10_070723,14_c2_x10_HighCOV_110723,False,False,4,1.4148287872335863
near_vs_post_control,source_class_penalized_echem_context,6_c2_x10_270623_2,8_c2_x10_300623,False,True,3,0.7850917337476526
near_vs_post_control,source_class_penalized_echem_context,17_c2_x10_HighHighCOV_150723,7_c2_x10_290623,False,False,3,1.2351803574139586
near_vs_post_control,source_class_penalized_echem_context,12_c2_x10_070723,11_c2_x10_050723,False,True,2,0.5832959764573292
near_vs_post_control,source_class_penalized_echem_context,9_c2_x10_010723,11_c2_x10_050723,False,True,2,0.6299945794302974
