x,y,n,spearman_rho,abs_rho,p_value
h5_dt_max_to_median_ratio,transferred_masked_residual_signature,504,0.7278010183083281,0.7278010183083281,2.8578088145962427e-84
apparent_D_h5median_px0p096_um2_per_s,transferred_masked_residual_signature,504,-0.2571604031635942,0.2571604031635942,4.693216419683414e-09
roi_elapsed_to_h5_median_ratio,validation_score_recon,504,0.22156793633056313,0.22156793633056313,5.04957740550516e-07
apparent_D_h5median_abs_um2_per_s,transferred_masked_residual_signature,504,-0.1528103964651134,0.1528103964651134,0.0005767815478822495
roi_elapsed_to_h5_median_ratio,transferred_masked_residual_signature,504,0.1408695652173913,0.1408695652173913,0.0015218469032193768
apparent_D_h5median_px0p096_um2_per_s,validation_score_recon,504,0.011347514988852347,0.011347514988852347,0.7993976638301427
