threshold_quantile,n_rows,n_roi,median_D_um2_per_s,median_abs_D_um2_per_s,positive_D_fraction,median_timing_envelope_abs_min,median_timing_envelope_abs_max
0.55,72,72,3.8994035335351997e-07,1.4887310044825153e-06,0.5555555555555556,2.3712560876974803e-07,1.7095617524189474e-06
0.6,72,72,3.867893307760804e-07,1.6715327482610863e-06,0.5555555555555556,2.2687429805978353e-07,1.9729967917084676e-06
0.65,72,72,2.2592767561171205e-07,2.087074974755864e-06,0.5,3.663766182429965e-07,2.402042740767138e-06
0.7,72,72,4.322044595044053e-08,2.5974263989097762e-06,0.5138888888888888,3.40326892229173e-07,2.974059202758566e-06
0.75,72,72,1.0582493861846915e-07,2.9085445068233233e-06,0.5138888888888888,3.716130354035902e-07,3.3610064651288593e-06
0.8,72,72,6.78530917167509e-07,3.799255259073104e-06,0.5555555555555556,4.62415419736626e-07,4.327568864663116e-06
0.85,72,72,1.0323741601904023e-06,4.461364019117087e-06,0.5694444444444444,6.272124340648024e-07,5.122874212362072e-06
