roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,persistence_mse_mean,persistence_mse_p95,persistence_mse_late_mean,velocity_mse_mean,velocity_mse_p95,velocity_minus_persistence_mse,temporal_energy_mean,temporal_energy_p95,temporal_energy_late_minus_early,roi_norm_mean_late_minus_early,roi_norm_mean_positive_step_fraction,raw_roi_mean_delta_last_minus_first,stage_drift_xy_recomputed,n_loaded_frames,frame_height,frame_width,h5_dt_median_s,h5_dt_min_s,h5_dt_max_s,h5_dt_max_to_median_ratio,roi_elapsed_to_h5_median_ratio,roi_elapsed_to_h5_max_abs_error,strict_timebase_fraction,roi_h5_elapsed_aligned_fraction,source_strict_timebase,timebase_class
source_balanced_cycle108_rank6_obj1_12_c2_x10_070723,108.0,12_c2_x10_070723,3,6,1,source_fill,True,23.365257710020515,source_balanced_expansion_candidate,1344.7118644067796,206.2372881355932,118.0,7579.54248046875,18.480348587036133,1249,110,1441,302,192,96,96,2712,3615,8847.9951171875,8846.1474609375,-1.84765625,0.0744398459792137,0.074378527700901,-6.13182783126831e-05,0.2236067977498773,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle108_rank6_obj1_12_c2_x10_070723.npz,,5.696270454791375e-05,0.0001979876687983,5.703317583538592e-05,0.0001594552886672,0.0005592489731498,0.0001023380027618,0.007338429801166,0.0117458006367087,0.0010609603486955,0.0015261390556891,0.5263157894736842,-1.84765625,0.2236067994159794,96,96,96,10.06245882064104,8.813488401472569,11.499952841550112,1.1428571332843969,0.9997847825128698,0.0006276022991658,1.0,1.0,True,strict
source_balanced_cycle108_rank6_obj2_12_c2_x10_070723,108.0,12_c2_x10_070723,3,6,2,source_fill,True,23.516560988539883,source_balanced_expansion_candidate,1665.6533333333334,226.02666666666667,75.0,9762.6484375,21.80430603027344,1570,130,1762,322,192,96,96,2712,3615,8227.8125,8228.380859375,0.568359375,0.0769208893179893,0.0768555477261543,-6.534159183502197e-05,0.2236067977498773,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle108_rank6_obj2_12_c2_x10_070723.npz,,5.770324787590653e-05,0.0001933907646161,5.820326623506844e-05,0.0001589314924785,0.0005387751210946,0.0001010406413115,0.0073018907569348,0.0124930378980934,0.0012577096931636,0.0022623987557987,0.5263157894736842,0.568359375,0.2236067994159794,96,96,96,10.06245882064104,8.813488401472569,11.499952841550112,1.1428571332843969,0.9997847825128698,0.0006276022991658,1.0,1.0,True,strict
source_balanced_cycle110_rank7_obj1_12_c2_x10_070723,110.0,12_c2_x10_070723,5,7,1,source_fill,True,23.136898638745315,source_balanced_expansion_candidate,1346.7768595041323,202.54545454545453,121.0,6796.548828125,17.81061363220215,1251,107,1443,299,192,96,96,4521,5424,8822.193359375,8827.9375,5.744140625,0.0756309404969215,0.0757838860154151,0.0001529455184936,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle110_rank7_obj1_12_c2_x10_070723.npz,,7.967016426846385e-05,0.0002363713108934,5.389114812714979e-05,0.0002210096135968,0.0006613905978156,0.0001418118190485,0.0082283737137913,0.0116092327982187,-0.0018472801893949,0.0008931274836262,0.5157894736842106,5.744140625,0.2121665610542643,96,96,96,10.06245882064104,8.813488401472569,11.499952841550112,1.1428571332843969,0.9997847825128698,0.0006276022991658,1.0,1.0,True,strict
source_balanced_cycle110_rank7_obj2_12_c2_x10_070723,110.0,12_c2_x10_070723,5,7,2,source_fill,True,23.874389180648,source_balanced_expansion_candidate,839.8367346938776,97.3877551020408,49.0,11246.7548828125,25.28079605102539,744,1,936,193,192,96,96,4521,5424,8950.5302734375,8944.8525390625,-5.677734375,0.0902780815958976,0.0898862034082412,-0.0003918781876564,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle110_rank7_obj2_12_c2_x10_070723.npz,,0.0001226124295499,0.0004094739677384,9.030968794832006e-05,0.0003441145818214,0.0011743554496206,0.0002222407056251,0.0104225482791662,0.0141497799195349,-0.0019650096073746,0.0007177229660252,0.5157894736842106,-5.677734375,0.2121665610542643,96,96,96,10.06245882064104,8.813488401472569,11.499952841550112,1.1428571332843969,0.9997847825128698,0.0006276022991658,1.0,1.0,True,strict
source_balanced_cycle112_rank8_obj1_12_c2_x10_070723,112.0,12_c2_x10_070723,7,8,1,future16_positive,False,24.4333329882082,source_balanced_expansion_candidate,840.25,97.91666666666669,48.0,11418.2138671875,26.13363075256348,744,2,936,194,192,96,96,6329,7232,8936.3203125,8931.7939453125,-4.5263671875,0.0892989188432693,0.0890530347824096,-0.0002458840608596,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle112_rank8_obj1_12_c2_x10_070723.npz,,0.0001109800505219,0.0003652345912996,0.0001041275827446,0.0002980294812005,0.0010491410794202,0.0001866551028797,0.0098066292703151,0.0128170566633343,-0.0019207037985324,0.0003836591107149,0.5157894736842106,-4.5263671875,0.2121665610542643,96,96,96,10.06245882064104,8.813488401472569,11.499952841550112,1.1428571332843969,0.9997847825128698,0.0006276022991658,1.0,1.0,True,strict
source_balanced_cycle112_rank8_obj2_12_c2_x10_070723,112.0,12_c2_x10_070723,7,8,2,future16_positive,False,23.38806596464201,source_balanced_expansion_candidate,1199.6571428571428,1123.0285714285717,70.0,9125.0146484375,20.91178703308105,1104,1008,1296,1200,192,96,96,6329,7232,8304.390625,8298.8212890625,-5.5693359375,0.073902353644371,0.0733919516205787,-0.0005104020237922,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle112_rank8_obj2_12_c2_x10_070723.npz,,0.0001253833615919,0.0003491912633762,0.0001272894733119,0.0003198879421688,0.000973139272537,0.0001939698850037,0.0100427297875285,0.0139710855670273,-0.0021347794681787,0.0005129359972973,0.4842105263157895,-5.5693359375,0.2121665610542643,96,96,96,10.06245882064104,8.813488401472569,11.499952841550112,1.1428571332843969,0.9997847825128698,0.0006276022991658,1.0,1.0,True,strict
source_balanced_cycle114_rank9_obj1_12_c2_x10_070723,114.0,12_c2_x10_070723,9,9,1,source_representative,False,24.341180100195945,source_balanced_expansion_candidate,1343.728155339806,205.35922330097088,103.0,9044.693359375,21.196462631225582,1248,109,1440,301,192,96,96,8137,9041,8807.0703125,8800.0625,-7.0078125,0.0719261765480041,0.0715657845139503,-0.0003603920340538,0.2121320343560125,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle114_rank9_obj1_12_c2_x10_070723.npz,,4.977737262379378e-05,0.0001781803002813,5.614192559733056e-05,0.0001339259761152,0.0005028663756093,8.423090912401676e-05,0.0068106674589216,0.0072106163017451,-7.9356599599123e-05,0.0003352286294102,0.5263157894736842,-7.0078125,0.2121665610542643,96,96,96,10.06245882064104,8.813488401472569,11.499952841550112,1.1428571332843969,0.9997847825128698,0.0006276022991658,1.0,1.0,True,strict
source_balanced_cycle114_rank9_obj2_12_c2_x10_070723,114.0,12_c2_x10_070723,9,9,2,source_representative,False,24.046731379998924,source_balanced_expansion_candidate,1670.3333333333333,231.11111111111111,72.0,10013.48046875,22.64031219482422,1574,135,1766,327,192,96,96,8137,9041,8198.4326171875,8192.224609375,-6.2080078125,0.0765645802021026,0.0763106718659401,-0.0002539083361625,0.2121320343560125,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle114_rank9_obj2_12_c2_x10_070723.npz,,5.124806193634868e-05,0.0001720942382235,6.011170262354426e-05,0.0001330350787611,0.0004762556694913,8.185533806681633e-05,0.0067711980082094,0.0073845107574015,-0.0001422916539013,0.0003834632225334,0.5157894736842106,-6.2080078125,0.2121665610542643,96,96,96,10.06245882064104,8.813488401472569,11.499952841550112,1.1428571332843969,0.9997847825128698,0.0006276022991658,1.0,1.0,True,strict
source_balanced_cycle123_rank10_obj1_14_c2_x10_HighCOV_110723,123.0,14_c2_x10_HighCOV_110723,2,10,1,source_fill,False,23.408876847510307,source_balanced_expansion_candidate,1348.8055555555557,180.97222222222223,144.0,6378.58935546875,17.22971534729004,1253,85,1445,277,192,96,96,2380,3569,8792.3349609375,8776.7216796875,-15.61328125,0.0713236629962921,0.0706147700548172,-0.0007088929414749,0.2121320343559321,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle123_rank10_obj1_14_c2_x10_HighCOV_110723.npz,,0.0001043347001541,0.0002183684002375,7.778388680890203e-05,0.0002097991236951,0.000567573486478,0.0001048190533765,0.0081880502402782,0.0133727462030947,-0.0013944571837782,0.0018576667644083,0.5052631578947369,-15.61328125,0.2121665610542643,96,96,96,10.062458008527756,8.412876304239035,11.924132607877254,1.1850119123748653,1.0006343138431424,0.0006343138431423,1.0,1.0,True,strict
source_balanced_cycle123_rank10_obj2_14_c2_x10_HighCOV_110723,123.0,14_c2_x10_HighCOV_110723,2,10,2,source_fill,False,24.18449265574761,source_balanced_expansion_candidate,843.3076923076923,78.38461538461539,52.0,11407.560546875,25.961259841918945,747,0,939,192,192,96,96,2380,3569,8893.033203125,8888.333984375,-4.69921875,0.0820156633853912,0.0815263167023658,-0.0004893466830253,0.2121320343559321,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle123_rank10_obj2_14_c2_x10_HighCOV_110723.npz,,0.0001599882089067,0.0003945605654735,0.0001314930268563,0.0003438064595684,0.0010355194914154,0.0001829136745072,0.0105311144143342,0.0163993390277027,-0.0014557931572198,0.0015923008322715,0.4947368421052631,-4.69921875,0.2121665610542643,96,96,96,10.062458008527756,8.412876304239035,11.924132607877254,1.1850119123748653,1.0006343138431424,0.0006343138431423,1.0,1.0,True,strict
