event_cycle,lookback_horizon_cycles,n_prior_predictions,max_prior_probability,mean_prior_probability,warning_threshold,hit,best_warning_cycle,lead_cycles
60.0,4,0,,,0.9677836997458311,False,,
60.0,8,0,,,0.9677836997458311,False,,
60.0,16,0,,,0.9677836997458311,False,,
86.0,4,2,0.9934612923728008,0.9831927049864824,0.9677836997458311,True,82.0,4.0
86.0,8,4,0.9952225902831047,0.9755982769367069,0.9677836997458311,True,80.0,6.0
86.0,16,8,0.9952225902831047,0.8031437326793298,0.9677836997458311,True,80.0,6.0
116.0,4,2,5.0212841042715764e-18,2.5106420521380454e-18,0.9677836997458311,False,114.0,2.0
116.0,8,4,0.9999224429545874,0.499780723408952,0.9677836997458311,True,108.0,8.0
116.0,16,8,0.9999835606444029,0.7171896953110783,0.9677836997458311,True,106.0,10.0
156.0,4,4,0.995758148934959,0.9898969346160252,0.9677836997458311,True,152.0,4.0
156.0,8,8,0.9999994341692893,0.9370700671422407,0.9677836997458311,True,150.0,6.0
156.0,16,16,0.9999994341692893,0.6663821777063631,0.9677836997458311,True,150.0,6.0
