feature_set,n_features,n_evaluated_cycles,n_positive,positive_rate,roc_auc,average_precision,brier_score,top_rate_threshold,balanced_accuracy_top_rate,removed_group,auc_drop_vs_best
remove_particle_trace,59,62,16,0.25806451612903225,0.49184782608695654,0.30228294221894964,0.3832064455496821,0.84958281416557,0.4945652173913043,particle_trace,0.2907608695652174
remove_echem_shape,50,62,16,0.25806451612903225,0.7119565217391306,0.47520400700792736,0.21792295680851578,0.7181672208530958,0.6630434782608696,echem_shape,0.07065217391304335
remove_acquisition_context,91,62,16,0.25806451612903225,0.7418478260869567,0.49046065832167135,0.393378472834479,0.9860517225483604,0.7051630434782609,acquisition_context,0.040760869565217295
remove_cycle_echem,91,62,16,0.25806451612903225,0.779891304347826,0.5662253129043878,0.30414079038694114,0.9556754196945881,0.7894021739130435,cycle_echem,0.0027173913043478937
