feature_set,n_features,n_evaluated_cycles,n_positive,positive_rate,roc_auc,average_precision,brier_score,top_rate_threshold,balanced_accuracy_top_rate
particle_trace_echem_with_acquisition,97,62,16,0.25806451612903225,0.782608695652174,0.5733506541791495,0.31349864341976785,0.9677836997458311,0.7894021739130435
particle_trace_echem_no_acquisition,91,62,16,0.25806451612903225,0.7418478260869567,0.49046065832167135,0.393378472834479,0.9860517225483604,0.7051630434782609
combined_with_cycle_state,102,62,16,0.25806451612903225,0.7391304347826088,0.48538154761756064,0.38213895220105204,0.9894579729787059,0.7051630434782609
particle_trace,38,62,16,0.25806451612903225,0.6372282608695652,0.40238196933398385,0.29048573851028986,0.8243014921869741,0.5788043478260869
echem_shape_cycle,53,62,16,0.25806451612903225,0.30570652173913043,0.19246722502201039,0.4841392789108674,0.9062170434393498,0.32608695652173914
