feature,n,spearman_rho,p_value
cycle_state_pc2,62,0.4559693787615522,0.00019580877956764685
mean_abs_delta_prev,62,-0.25822211038154996,0.042726674220356524
shape_V_q95,54,-0.11345571162555121,0.41400844829755024
capacity_mAh,54,-0.1075281113016962,0.4389746376376199
cycle_state_pc1,62,-0.08085920777618293,0.53213309103371
degradation_state_axis,62,0.08085920777618293,0.53213309103371
particle_norm_range,62,-0.06622933481594226,0.609043296470749
frames_percentile,62,0.04315949205782244,0.7390758626736914
coulombic_efficiency_pct,54,0.013302839717934056,0.923939679655036
