target,axis,transform,n,n_positive,n_sources,direction,oriented_auc,average_precision,spearman_rho,spearman_p,source_eta2,source_macro_auc_mean,source_macro_auc_n,source_macro_auc_min
future_any_drop_within_16cycles,combined_loss_mechanism_axis,raw,72,57,9,higher_in_positive,0.9894736842105264,0.9973646379086096,0.6886719964376784,2.2913747922410578e-11,0.5562903793484213,1.0,2,1.0
future_any_drop_within_16cycles,combined_loss_mechanism_axis,source_mean_only,72,57,9,higher_in_positive,0.9421052631578948,0.9800982719957789,0.6476325067328613,7.825031117883879e-10,1.0,,0,
future_any_drop_within_16cycles,combined_loss_mechanism_axis,source_residual,72,57,9,higher_in_positive,0.5578947368421052,0.8320253008552891,0.08145582753563939,0.49637107841039463,0.10352034344797038,1.0,2,1.0
future_any_drop_within_16cycles,combined_loss_mechanism_axis,within_source_centered_z,72,57,9,higher_in_positive,0.631578947368421,0.8655107321735929,0.18512688076281678,0.1195056265049961,0.018612050148063268,1.0,2,1.0
future_any_drop_within_16cycles,combined_loss_mechanism_axis,within_source_rank,72,57,9,higher_in_positive,0.5514619883040935,0.8125622872316436,0.07248213613633765,0.545136437803679,0.053113141991120674,1.0,2,1.0
future_any_drop_within_16cycles,echem_degraded_state_axis,raw,72,57,9,higher_in_positive,0.8210526315789474,0.9387781132831646,0.4520586017376888,6.711082279245319e-05,0.055399615634053975,1.0,2,1.0
future_any_drop_within_16cycles,echem_degraded_state_axis,source_mean_only,72,57,9,lower_in_positive,0.3842105263157895,0.8074019768090301,-0.16961803747765417,0.15432721436709626,1.0000000000000002,,0,
future_any_drop_within_16cycles,echem_degraded_state_axis,source_residual,72,57,9,higher_in_positive,0.7157894736842105,0.9152388519405046,0.30410722287956066,0.0094015187420599,0.007238318570750733,1.0,2,1.0
future_any_drop_within_16cycles,echem_degraded_state_axis,within_source_centered_z,72,57,9,higher_in_positive,0.6736842105263158,0.8815848057578544,0.24476922817135374,0.038244771030599284,0.05909247771248018,1.0,2,1.0
future_any_drop_within_16cycles,echem_degraded_state_axis,within_source_rank,72,57,9,lower_in_positive,0.4894736842105263,0.8175137754310058,-0.014844199712645768,0.9015056501849819,0.10220965285346074,0.0,2,0.0
future_any_drop_within_16cycles,front_contraction_axis,raw,72,57,9,higher_in_positive,0.5578947368421052,0.8621653417644944,0.08151876424777996,0.4960372938989561,0.29151675464674714,1.0,2,1.0
future_any_drop_within_16cycles,front_contraction_axis,source_mean_only,72,57,9,lower_in_positive,0.531578947368421,0.8262515416255027,0.04625946476663295,0.6995992429098153,0.9999999999999998,,0,
future_any_drop_within_16cycles,front_contraction_axis,source_residual,72,57,9,lower_in_positive,0.4421052631578947,0.827807653650988,-0.08158974272378458,0.4956610005679492,0.016192351973911924,0.0,2,0.0
future_any_drop_within_16cycles,front_contraction_axis,within_source_centered_z,72,57,9,lower_in_positive,0.4052631578947368,0.800259616892425,-0.13368527824655005,0.2629105563083266,0.018187626699706392,0.0,2,0.0
future_any_drop_within_16cycles,front_contraction_axis,within_source_rank,72,57,9,lower_in_positive,0.43684210526315786,0.8057022006244823,-0.0890651982758746,0.4568782435026351,0.0490651227652152,0.0,2,0.0
future_any_drop_within_16cycles,rollout_difficulty_axis,raw,72,57,9,higher_in_positive,0.631578947368421,0.9040966969271587,0.1852699187449544,0.11921519140430123,0.1474542650145742,0.75,2,0.5
future_any_drop_within_16cycles,rollout_difficulty_axis,source_mean_only,72,57,9,higher_in_positive,0.6894736842105263,0.9177427263811703,0.27755678859979777,0.018249736097892162,1.0000000000000007,,0,
future_any_drop_within_16cycles,rollout_difficulty_axis,source_residual,72,57,9,lower_in_positive,0.6421052631578947,0.9137081781351035,0.2002657321401985,0.09166014865450885,0.0004254383434270828,0.25,2,0.0
future_any_drop_within_16cycles,rollout_difficulty_axis,within_source_centered_z,72,57,9,lower_in_positive,0.5631578947368421,0.8559818401456081,0.08912351883103335,0.456582386170578,0.018337741254311885,0.25,2,0.0
future_any_drop_within_16cycles,rollout_difficulty_axis,within_source_rank,72,57,9,lower_in_positive,0.5210526315789473,0.8654006892703394,0.029688399425291535,0.8044747842020544,0.06311656593406634,0.25,2,0.0
