target,axis,dropped_source,full_oriented_auc,drop_source_oriented_auc,delta_auc_minus_full,n_after_drop,n_positive_after_drop
future_any_drop_within_16cycles,rollout_difficulty_axis,13_c2_x6_100723,0.631578947368421,0.631578947368421,0.0,72,57
future_any_drop_within_16cycles,rollout_difficulty_axis,7_c2_x10_290623,0.631578947368421,0.631578947368421,0.0,72,57
future_any_drop_within_16cycles,rollout_difficulty_axis,12_c2_x10_070723,0.631578947368421,0.6352941176470589,0.0037151702786378804,66,51
future_any_drop_within_16cycles,rollout_difficulty_axis,5_c2_x10_260623,0.631578947368421,0.6388888888888888,0.007309941520467822,66,54
future_any_drop_within_16cycles,rollout_difficulty_axis,16_c2_x10_HighHighCOV_130723,0.631578947368421,0.6617647058823529,0.030185758513931904,63,51
future_any_drop_within_16cycles,rollout_difficulty_axis,11_c2_x10_050723,0.631578947368421,0.6666666666666666,0.03508771929824561,69,54
future_any_drop_within_16cycles,rollout_difficulty_axis,15_c2_x5_HighCOV_120723,0.631578947368421,0.6710526315789473,0.03947368421052633,69,57
future_any_drop_within_16cycles,rollout_difficulty_axis,17_c2_x10_HighHighCOV_150723,0.631578947368421,0.6888888888888889,0.057309941520467866,42,27
future_any_drop_within_16cycles,rollout_difficulty_axis,9_c2_x10_010723,0.631578947368421,0.75,0.11842105263157898,63,48
future_any_drop_within_16cycles,signed_optical_loss_axis,15_c2_x5_HighCOV_120723,0.815204678362573,0.7690058479532164,-0.046198830409356684,69,57
future_any_drop_within_16cycles,signed_optical_loss_axis,18_c2_xN_HighHighCOV_170723,0.815204678362573,0.7690058479532164,-0.046198830409356684,69,57
future_any_drop_within_16cycles,signed_optical_loss_axis,16_c2_x10_HighHighCOV_130723,0.815204678362573,0.7745098039215687,-0.04069487444100439,63,51
future_any_drop_within_16cycles,signed_optical_loss_axis,11_c2_x10_050723,0.815204678362573,0.8049382716049382,-0.010266406757634794,69,54
future_any_drop_within_16cycles,signed_optical_loss_axis,12_c2_x10_070723,0.815204678362573,0.8143790849673203,-0.0008255933952527883,66,51
future_any_drop_within_16cycles,signed_optical_loss_axis,10_c2_x10_030723,0.815204678362573,0.815204678362573,0.0,72,57
future_any_drop_within_16cycles,signed_optical_loss_axis,13_c2_x6_100723,0.815204678362573,0.815204678362573,0.0,72,57
future_any_drop_within_16cycles,signed_optical_loss_axis,7_c2_x10_290623,0.815204678362573,0.815204678362573,0.0,72,57
future_any_drop_within_16cycles,signed_optical_loss_axis,9_c2_x10_010723,0.815204678362573,0.825,0.009795321637426913,63,48
future_any_drop_within_16cycles,signed_optical_loss_axis,17_c2_x10_HighHighCOV_150723,0.815204678362573,0.8345679012345679,0.01936322287199488,42,27
future_any_drop_within_16cycles,signed_optical_loss_axis,14_c2_x10_HighCOV_110723,0.815204678362573,0.8625730994152048,0.047368421052631726,69,57
future_any_drop_within_16cycles,signed_optical_loss_axis,5_c2_x10_260623,0.815204678362573,0.8935185185185186,0.07831384015594556,66,54
future_any_drop_within_8cycles,combined_loss_mechanism_axis,17_c2_x10_HighHighCOV_150723,0.6813271604938271,0.6111111111111112,-0.07021604938271597,42,12
