target,axis,transform,null_type,n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95
future_any_drop_within_16cycles,echem_degraded_state_axis,source_mean_only,within_source_label_shuffle,1000,1.0,0.38421052631578956,0.3842105263157895
future_any_drop_within_16cycles,combined_loss_mechanism_axis,raw,global_label_shuffle,1000,0.000999000999000999,0.49877076023391814,0.6385964912280702
future_any_drop_within_16cycles,combined_loss_mechanism_axis,raw,within_source_label_shuffle,1000,0.002997002997002997,0.8515204678362572,0.9170760233918128
future_any_drop_within_16cycles,combined_loss_mechanism_axis,within_source_rank,global_label_shuffle,1000,0.3176823176823177,0.5066005847953217,0.652046783625731
future_any_drop_within_16cycles,combined_loss_mechanism_axis,within_source_rank,within_source_label_shuffle,1000,0.002997002997002997,0.40397777777777777,0.4812865497076023
future_any_drop_within_16cycles,combined_loss_mechanism_axis,within_source_centered_z,global_label_shuffle,1000,0.07792207792207792,0.5055204678362573,0.6480116959064327
future_any_drop_within_16cycles,combined_loss_mechanism_axis,within_source_centered_z,within_source_label_shuffle,1000,0.002997002997002997,0.44331929824561406,0.5321637426900584
future_any_drop_within_16cycles,combined_loss_mechanism_axis,source_residual,global_label_shuffle,1000,0.2807192807192807,0.5056865497076024,0.6550292397660816
future_any_drop_within_16cycles,combined_loss_mechanism_axis,source_residual,within_source_label_shuffle,1000,0.002997002997002997,0.35999532163742687,0.45152046783625727
future_any_drop_within_16cycles,combined_loss_mechanism_axis,source_mean_only,global_label_shuffle,1000,0.000999000999000999,0.4951333333333333,0.6245614035087719
future_any_drop_within_16cycles,combined_loss_mechanism_axis,source_mean_only,within_source_label_shuffle,1000,1.0,0.9421052631578951,0.9421052631578948
