feature,target,n,spearman_rho,spearman_p
q75_phase_fraction_first,capacity_fraction_of_first,122,-0.2351365878746024,0.009131477803605067
q65_time_of_max_abs_rate_frac,visual_sanity_score,24,0.5144010392174065,0.010119249722773763
q65_time_of_max_abs_rate_frac,capacity_fraction_of_first,122,-0.23103630813472864,0.010456766997273286
q75_phase_fraction_total_variation,visual_sanity_score,24,-0.5052173913043477,0.011795445350401597
q55_max_abs_rate,cycles_to_next_event,128,-0.21887666249256382,0.013057781384951693
particle_centroid_max_step_px,cycles_to_next_event,128,-0.2167863877657406,0.013975153446108201
q65_max_abs_rate,cycles_to_next_event,128,-0.2129739046614308,0.01579377257289441
masked_mean_delta,echem_regime_pc1,128,0.21248054296566904,0.016043525264909073
q55_logistic_k,cycles_to_next_event,124,-0.21564790098702985,0.016154474313190892
q55_time_of_max_abs_rate_frac,capacity_fraction_of_first,122,-0.21634133381348777,0.01669370608703559
q75_phase_fraction_total_variation,visual_review_score,24,0.48086956521739127,0.01737324158260249
q75_avrami_r2,capacity_fraction_of_first,122,-0.21486464489228108,0.017470438325978024
q75_logistic_k,cycles_to_next_event,127,-0.210111080648509,0.017742428595094773
q65_avrami_n,visual_sanity_score,24,-0.4721739130434783,0.019822625417352618
q65_phase_fraction_first,capacity_fraction_of_first,122,-0.20607808127668625,0.022769771560212208
q65_logistic_k,visual_sanity_score,22,-0.4805194805194805,0.02359801425963251
q55_max_abs_rate,visual_review_score,24,0.4556521739130434,0.025246055642045417
q75_time_of_max_abs_rate_frac,visual_sanity_score,24,0.4543292717464319,0.025727326767402536
q65_avrami_logk,visual_sanity_score,24,-0.44869565217391305,0.027860041901524753
q65_phase_fraction_total_variation,visual_sanity_score,24,-0.4452173913043478,0.02924598936228811
q55_phase_fraction_last,echem_regime_pc1,128,0.19265489271764058,0.02935303827173655
q65_phase_fraction_total_variation,cycles_to_next_event,128,-0.18694151914846802,0.034607766173003124
q75_avrami_r2,visual_sanity_score,24,0.4313043478260869,0.035350455924713704
q75_phase_fraction_slope,visual_review_score,24,0.4278260869565217,0.03702422793856044
q65_avrami_r2,capacity_fraction_of_first,122,-0.1887699722567844,0.037312519811845746
q55_phase_fraction_slope,cycles_to_next_event,128,-0.18360696097314597,0.038026508471311005
q55_phase_fraction_total_variation,visual_sanity_score,24,-0.4243478260869564,0.038760097639367164
particle_centroid_max_step_px,visual_review_score,24,0.4234782608695652,0.03920394759394158
q65_max_abs_rate,visual_review_score,24,0.42260869565217385,0.039651798676195484
q65_phase_fraction_first,cycles_to_next_event,128,0.18198446649516023,0.03978998614837039
q55_phase_fraction_total_variation,cycles_to_next_event,128,-0.18047866412825617,0.041487481275547106
phase_fraction_slope_r2_source_echem_context_residual,visual_sanity_score,24,0.41826086956521735,0.04195191618177622
q65_logistic_t0,capacity_fraction_of_first,119,0.18553081272775068,0.043371624859670596
q55_avrami_r2,echem_regime_pc1,128,0.17758218186341068,0.044923237107325716
q65_logistic_r2,cycles_to_next_event,124,0.18029921281858852,0.04508647152983615
q55_logistic_k,visual_sanity_score,22,-0.42970073404856013,0.045946566581951453
q75_avrami_logk,cycles_to_next_event,128,-0.17250895549960843,0.051511447775052135
masked_minus_background_mean_median_source_echem_context_residual,visual_sanity_score,24,0.39826086956521733,0.05391472845659882
q75_logistic_r2,capacity_fraction_of_first,121,0.1745333839166965,0.05553563260032943
q65_avrami_logk,shape_V_mean,122,0.172708661592079,0.05713033908848746
q75_max_abs_rate,cycles_to_next_event,128,-0.1643768972832888,0.06372461505469205
masked_minus_bg_slope_r2,capacity_fraction_of_first,122,0.16744742567063642,0.06525370621023115
q65_phase_fraction_first,echem_regime_pc1,128,0.16135860880422778,0.06882010488290895
q55_logistic_t0,capacity_fraction_of_first,119,0.1673797819503203,0.06883772356191045
q65_logistic_t0,echem_regime_pc1,124,0.1630589253687919,0.07037513737080864
q75_avrami_logk,capacity_fraction_of_first,122,-0.16180283336295806,0.0749901583116205
q55_phase_fraction_last,cycles_to_next_event,128,0.15637029903057612,0.07796240855456801
q65_time_of_max_abs_rate_frac,cycles_to_next_event,128,-0.155910238895638,0.0788526099895921
q75_logistic_k,visual_sanity_score,24,-0.3652173913043478,0.07927989061008903
q55_phase_fraction_delta,visual_sanity_score,24,-0.3643478260869565,0.08005146755932817
q55_avrami_logk,visual_sanity_score,24,-0.36347826086956525,0.08082870259888665
q55_avrami_n,visual_sanity_score,24,-0.36347826086956525,0.08082870259888665
q65_avrami_n,visual_review_score,24,0.36173913043478256,0.0824002416094226
q65_phase_fraction_delta,visual_sanity_score,24,-0.36173913043478256,0.0824002416094226
