roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,capacity_fraction_of_first,coulombic_inefficiency_pct,echem_regime_pc1,echem_regime_pc2,shape_V_mean,shape_I_abs_mean_mA,all_dq_abs_entropy,front_radius_q60_slope_px_per_norm_time_source_echem_context_residual,front_radius_q70_slope_px_per_norm_time_source_echem_context_residual,front_radius_q80_slope_px_per_norm_time_source_echem_context_residual,masked_minus_background_mean_slope_source_echem_context_residual,masked_minus_background_mean_median_source_echem_context_residual,mask_area_fraction_slope_source_echem_context_residual,mask_centroid_path_px_source_echem_context_residual,front_gradient_peak_radius_slope_px_per_norm_time_source_echem_context_residual,apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual,front_radius_slope_px_per_norm_time_source_echem_context_residual,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,front_radius_slope_r2_source_echem_context_residual,front_radius2_slope_r2_source_echem_context_residual,front_radius_monotonic_fraction_source_echem_context_residual,front_gradient_strength_median_source_echem_context_residual,front_gradient_coherence_source_echem_context_residual,phase_fraction_slope_per_norm_time_source_echem_context_residual,phase_fraction_slope_r2_source_echem_context_residual,kymograph_temporal_energy_source_echem_context_residual,radial_profile_last_minus_first_l1_source_echem_context_residual,consensus_review_rank,consensus_review_score,matched_positive_support_count,visual_sanity_score,visual_sanity_flag,visual_review_score,visual_front_plausibility_score,visual_qc_tier,visual_mode_name,visual_mode_cluster,kinetics_status,stable_particle_mask_fraction,frame_mask_fraction_median,frame_mask_fraction_iqr,particle_centroid_path_px,particle_centroid_max_step_px,masked_mean_delta,masked_mean_total_variation,masked_minus_bg_delta,masked_minus_bg_slope,masked_minus_bg_slope_r2,q55_phase_fraction_first,q55_phase_fraction_last,q55_phase_fraction_delta,q55_phase_fraction_slope,q55_phase_fraction_slope_r2,q55_phase_fraction_total_variation,q55_phase_variation_to_net,q55_max_abs_rate,q55_signed_rate_at_max_abs,q55_time_of_max_abs_rate_frac,q55_positive_rate_fraction,q55_negative_rate_fraction,q55_logistic_amp,q55_logistic_k,q55_logistic_t0,q55_logistic_r2,q55_avrami_n,q55_avrami_logk,q55_avrami_r2,q55_avrami_direction,q65_phase_fraction_first,q65_phase_fraction_last,q65_phase_fraction_delta,q65_phase_fraction_slope,q65_phase_fraction_slope_r2,q65_phase_fraction_total_variation,q65_phase_variation_to_net,q65_max_abs_rate,q65_signed_rate_at_max_abs,q65_time_of_max_abs_rate_frac,q65_positive_rate_fraction,q65_negative_rate_fraction,q65_logistic_amp,q65_logistic_k,q65_logistic_t0,q65_logistic_r2,q65_avrami_n,q65_avrami_logk,q65_avrami_r2,q65_avrami_direction,q75_phase_fraction_first,q75_phase_fraction_last,q75_phase_fraction_delta,q75_phase_fraction_slope,q75_phase_fraction_slope_r2,q75_phase_fraction_total_variation,q75_phase_variation_to_net,q75_max_abs_rate,q75_signed_rate_at_max_abs,q75_time_of_max_abs_rate_frac,q75_positive_rate_fraction,q75_negative_rate_fraction,q75_logistic_amp,q75_logistic_k,q75_logistic_t0,q75_logistic_r2,q75_avrami_n,q75_avrami_logk,q75_avrami_r2,q75_avrami_direction
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.329266672272,source_balanced_pre_event_candidate,574.5365853658536,231.1219512195122,41.0,11764.1923828125,29.37434196472168,479,135,671,327,192,96,96,2720,3626,8546.6884765625,8550.58984375,3.9013671875,0.0886805951595306,0.0889895185828208,0.0003089234232902,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj1_10_c2_x10_030723.npz,,0.9454395016823436,0.9038429024363666,1.4069330983471475,-3.228789713180218,3.831200505021645,0.500889,2.723038112996046,,,,-0.0043334372824701,0.0036892215196614,0.0081199742851721,1.7826870596351734,1.48927824358003,,0.3377086944751042,4.371042956390246,-0.1177215878225816,-0.1217113056298289,-0.003401009238366,-0.0096567299644242,0.0257179338309756,-0.0168485087591956,-0.0771617403154165,-2.5746387839233813e-05,-0.0002570367573816,47,0.4210014412436637,0.0,,,,,,,,ok,0.3000217013888889,0.3000217013888889,0.0,25.37354013869787,0.6799447883650976,-0.0006075866399147534,0.05451316169441511,-0.00144795139586551,-0.010830993815580874,0.6343944091936846,0.4560578661844485,0.4470162748643761,-0.02206148282097653,-0.04345864171063202,0.5690728626355641,0.25005424954792055,11.334426229508182,1.3262206148282125,-1.3262206148282125,0.34736842105263155,0.46875,0.53125,0.041266303521609586,-8.646345652716374,0.6888405221335304,0.6658033976684723,0.3274939000391519,0.14011536205359493,0.24864037767420877,decay,0.3631103074141049,0.35551537070524414,-0.013526220614828222,-0.028832096717063313,0.3429826571338782,0.2298010849909582,16.989304812834195,0.8967450271247763,-0.8967450271247763,0.34736842105263155,0.4479166666666667,0.5520833333333334,0.030473309750637077,-17.725371049833978,0.7287238503864345,0.6463420160001849,0.18668373813891134,-0.12781605200071294,0.06296997961532624,decay,0.2560578661844485,0.2593128390596745,-0.002097649186256767,-0.004412949050166824,0.011002545236563188,0.1616636528028934,77.06896551724195,0.5669077757685397,-0.5669077757685397,0.34736842105263155,0.5104166666666666,0.4895833333333333,-0.017930935155665212,-34.54917383826779,0.15284284653730332,0.221046155528969,-0.17565904910682764,-0.6274415117205051,0.03571998904455509,decay
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.56405304864168,source_balanced_pre_event_candidate,1190.9411764705883,652.0,34.0,12524.58203125,30.94007873535156,1095,556,1287,748,192,96,96,2720,3626,8040.17626953125,8034.916015625,-5.26025390625,0.0692231953144073,0.0689038857817649,-0.0003193095326423,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj2_10_c2_x10_030723.npz,,0.9454395016823436,0.9038429024363666,1.4069330983471475,-3.228789713180218,3.831200505021645,0.500889,2.723038112996046,,,,0.0012806055159987,-0.0008526906555394,0.0031587832962988,-1.2610115170235083,1.093501026993573,,,,,,0.0146751258199026,0.0128709621350903,0.0870038227205252,0.0364024799804579,0.0332531873866931,-8.587332307772069e-05,-0.0001896926398057,125,0.1233339803312629,0.0,,,,,,,,ok,0.3001302083333333,0.3000217013888889,0.0,27.71675719958341,1.0281901740874129,-0.000488373778666118,0.06114349280268408,-0.0003352707338321048,-0.0026311491126504542,0.055908135537862336,0.4642082429501085,0.44721619667389734,-0.01359363702096883,-0.011396765585049309,0.015976664884268743,0.28286334056399143,20.808510638298,0.9101590744757821,-0.9101590744757821,0.34736842105263155,0.4791666666666667,0.5208333333333334,-0.03918923313116019,-29.303976306995317,0.14538406784109476,0.20818746275026423,-0.2238013631357111,-0.729097823049411,0.052335523346113244,decay,0.3571945046999277,0.3571945046999277,-0.005856832971800396,-0.006900805808379938,0.006376977570157649,0.251988430947216,43.02469135802494,0.5667028199566175,0.5667028199566175,0.2736842105263158,0.4791666666666667,0.5208333333333334,-0.03580894147428063,-29.743978214093303,0.17154957773021423,0.22474829752020742,-0.2165999990676827,-0.6050450162191388,0.05728289848525203,decay,0.2545191612436732,0.24873463485177152,-0.007809110629067251,-0.0020772767254809634,0.0011245903941223823,0.1599421547360811,20.48148148148148,0.4052783803326072,0.4052783803326072,0.29473684210526313,0.4375,0.5625,-0.023961393142326322,-42.79024487642734,0.211290042915778,0.25543616331836705,-0.24810286827497477,-0.5337213933581543,0.0651158351189226,decay
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.307087736570715,source_balanced_pre_event_candidate,831.709090909091,65.81818181818181,55.0,9689.1435546875,24.847431182861328,736,0,928,192,192,96,96,4534,5439,8959.5205078125,8950.794921875,-8.7255859375,0.0919018611311912,0.091493934392929,-0.0004079267382621,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj1_10_c2_x10_030723.npz,,0.9462148129615064,1.1368006521100966,0.3984787660234314,-2.953879511134365,3.827082278554738,0.5008889999999999,2.7237585116585503,,-0.2655713394475489,-0.2655844310866001,-0.0001128040999037,-0.0032473288086694,0.0002686103363371,-0.5482449717089768,1.7254662645013727,-0.5012854908289321,-0.7284946985997508,-6.758811078400764,0.0858385330262254,0.0864277922247958,-0.0008153317242119,0.0072682506513741,-0.0355703693522722,0.0070791035360223,0.0053961098560179,6.869474631949133e-05,-0.0028404820762638,109,0.1690126909005256,0.0,,,,,,,,ok,0.3001302083333333,0.3000217013888889,0.0,31.1710416189225,0.7453705869616499,-0.002153936467701012,0.046427551704655956,-0.0028099942860127652,-0.0004116812789921447,0.002059439718420264,0.45300072306579897,0.4229934924078091,-0.020535068691250935,-0.01728159872084414,0.020840018681796413,0.25191612436731764,12.267605633802809,0.611352133044111,-0.611352133044111,0.5473684210526316,0.4895833333333333,0.5104166666666666,-0.06327278372363528,20.172918509075117,0.8010671250939313,0.3724305753142949,-0.16244914668688035,-0.46235349074619964,0.028840897892784545,decay,0.34490238611713664,0.3347794649313087,-0.010845986984815592,-0.010688934484275181,0.011758748237650218,0.20014461315979765,18.453333333333386,0.4499276934201042,-0.4499276934201042,0.5473684210526316,0.5104166666666666,0.4895833333333333,-0.050206959364858285,19.98969233989464,0.8042030771329959,0.3392745710181907,-0.2168059087442384,-0.4978809477423588,0.043371245005472625,decay,0.24837310195227766,0.23535791757049893,-0.010339840925524202,0.0010920063957778946,0.0001981202607743704,0.15697758496023145,15.181818181818219,0.2988069414316712,-0.2988069414316712,0.6,0.4791666666666667,0.5208333333333334,-0.03434384255723921,-29.16499242746713,0.20227915086908285,0.29800685391404036,-0.30695335362495274,-0.6984299869246933,0.0892672501166637,decay
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.842986199481786,source_balanced_pre_event_candidate,574.2222222222222,232.0,45.0,10566.20703125,27.51865005493164,478,136,670,328,192,96,96,4534,5439,8528.22265625,8518.755859375,-9.466796875,0.087337926030159,0.0866547003388404,-0.0006832256913185,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj2_10_c2_x10_030723.npz,,0.9462148129615064,1.1368006521100966,0.3984787660234314,-2.953879511134365,3.827082278554738,0.5008889999999999,2.7237585116585503,,,,-0.0016485802082857,-0.0010443202420457,0.0004388902860072,-0.1051360133717711,,,,,,,0.0143638793991204,0.0177574433710335,0.0443836686837846,0.0072070824495936,-0.0118354071222911,-0.0001004351548773,-0.0044279587913884,123,0.1292216614906832,0.0,,,,,,,,ok,0.3000217013888889,0.3000217013888889,0.0,28.177376014026436,0.7537349923495229,-0.0026051842956172355,0.060940249989627715,-0.0030234991492105734,-0.0008365564540472268,0.003951643277624317,0.4481012658227848,0.4314647377938517,-0.01048824593128389,0.00197665964467506,0.00017239525586454363,0.31226039783001797,29.772413793103482,0.8177215189873444,-0.8177215189873444,0.5578947368421052,0.5104166666666666,0.4895833333333333,-0.06936985634651723,-25.33323515174137,0.18998066498735233,0.2926117622493226,-0.30320966006735495,-0.5762718029325362,0.1011402286175821,decay,0.34900542495479203,0.3377938517179023,-0.007884267631103059,0.006473173505340948,0.0025982792181229453,0.2548282097649186,32.32110091743125,0.652802893309218,-0.652802893309218,0.5578947368421052,0.4895833333333333,0.5104166666666666,-0.05547296010801149,-29.290081718404785,0.2211900760964591,0.3143175076375123,-0.3548370746347692,-0.5720636190220962,0.11233167485687923,decay,0.25099457504520795,0.237251356238698,-0.008896925858951216,0.008181335172722433,0.007739287452421806,0.19334538878842664,21.73170731707306,0.4122965641952945,0.4122965641952945,0.4526315789473684,0.4895833333333333,0.5104166666666666,-0.040672283629886535,-29.561449163239153,0.23408105935760598,0.33116547689561016,-0.35307015175578715,-0.6166237500483617,0.13467793196418987,decay
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,25.488656580292165,source_balanced_pre_event_candidate,1191.7333333333331,652.4,30.0,13611.0244140625,34.50833511352539,1096,556,1288,748,192,96,96,6347,7253,7984.6640625,7979.201171875,-5.462890625,0.0658547729253768,0.0655813217163086,-0.0002734512090682,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj1_10_c2_x10_030723.npz,,0.9449270784368828,1.0809076659430588,0.7622836531375498,-3.08533334003902,3.822322834236336,0.500889,2.7252001176543064,,,,0.0021303910122513,-0.0017153668535542,-0.0058236371022376,-0.7537485715997629,,,,,,,0.0110473232742103,-0.0043310151472277,0.0680694947610367,0.0016563682561455,0.0186737938116827,-9.66103296886885e-05,0.0013122047273086,118,0.1431774068322981,0.0,,,,,,,,ok,0.3000217013888889,0.3000217013888889,0.0,29.837156504588442,0.8594670193694803,-0.001061756092428534,0.07824233880983983,-0.0012423107843125142,0.0035474267387985148,0.01848359584314785,0.43037974683544306,0.43291139240506327,0.0018806509945749617,0.024172228332805083,0.009917293630814505,0.48636528028933096,258.6153846153961,0.831464737793862,0.831464737793862,0.2736842105263158,0.5104166666666666,0.4895833333333333,0.12645458959399197,23.567756059210794,0.1935528535679863,0.3721325546378119,0.5414001891882074,-0.04891757526007861,0.228352087132219,growth,0.33707052441229657,0.3367088607594937,0.001591320072332758,0.01713390876381869,0.008021532302355139,0.3874141048824592,243.45454545454118,0.6459312839059628,-0.6459312839059628,0.6,0.5104166666666666,0.4895833333333333,0.09610017868225175,24.489246099518166,0.19806364747644756,0.35812282311563215,0.537717517543209,-0.13262787507316337,0.2143999760781904,growth,0.24448462929475587,0.23580470162748643,-0.004122965641952997,0.009663596875524266,0.005397204154014568,0.26741410488245937,64.85964912280683,0.5531645569620203,-0.5531645569620203,0.5368421052631579,0.5104166666666666,0.4895833333333333,-0.0599062809484196,-28.248195019156494,0.21899915166510636,0.33575881062460455,-0.3616387573952261,-0.6154418023394588,0.1353474539439049,decay
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,24.29946436055132,source_balanced_pre_event_candidate,574.1904761904761,232.8571428571429,42.0,11196.3671875,29.26946449279785,478,137,670,329,192,96,96,6347,7253,8501.822265625,8492.5556640625,-9.2666015625,0.0885036066174507,0.0878025293350219,-0.0007010772824287,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj2_10_c2_x10_030723.npz,,0.9449270784368828,1.0809076659430588,0.7622836531375498,-3.08533334003902,3.822322834236336,0.500889,2.7252001176543064,,,,0.0003995106705524,0.0015111423257294,-0.004725945407441,2.145852513634831,,,,,,,0.0089515538541371,-0.002350709949063,0.0399690866899753,-0.030116436764428,-0.0066681882357501,-3.21207615320566e-05,-0.0007802815108368,122,0.1366427277432712,0.0,,,,,,,,ok,0.3000217013888889,0.3000217013888889,0.0,26.49428479116114,0.6504374751080368,-0.0020695031174268463,0.07373631646772896,-0.002025402777235591,0.0014260210907837986,0.005013619298004479,0.4376130198915009,0.4300180831826401,-0.00021699819168186085,0.01142824518558541,0.003217217292844521,0.4155515370705246,1914.999999998899,0.7971066907775786,-0.7971066907775786,0.5578947368421052,0.5104166666666666,0.4895833333333333,-0.10502650345410033,-23.378750151995202,0.17913945246210058,0.3441520155708624,-0.3577913137391466,-0.7262032918224443,0.11199086322788976,decay,0.345750452079566,0.33381555153707054,-0.004267631103074154,0.011850403609179607,0.004729081728639506,0.3527667269439422,82.6610169491523,0.7009041591320013,-0.7009041591320013,0.5368421052631579,0.5,0.5,-0.08468488432560366,-25.63997784118039,0.19687034480422436,0.34560442497824073,-0.3863050232652294,-0.69179565061882,0.1461204024900956,decay,0.24701627486437613,0.2376130198915009,-0.004556962025316469,0.011659831099345845,0.008451682321321319,0.25641952983725125,56.26984126984108,0.5084990958408699,-0.5084990958408699,0.9789473684210526,0.5,0.5,-0.059763927914189746,-26.51553923952444,0.21625066225512624,0.34967576679089807,-0.3884839289519788,-0.6798738076222889,0.14439453869974173,decay
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,25.14983171634987,source_balanced_pre_event_candidate,576.972972972973,232.97297297297297,37.0,12897.384765625,32.438777923583984,481,137,673,329,192,96,96,8161,9067,8492.6435546875,8486.44921875,-6.1943359375,0.0870167538523674,0.086605779826641,-0.0004109740257263,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj1_10_c2_x10_030723.npz,,0.947263951405458,1.1241086398821665,0.4992071544498905,-3.040352198052424,3.8234271201362175,0.5008889999999999,2.726149861607828,,,,0.0009594415922944,0.002899746014167,0.0007827463778608,-0.6809002737868664,1.7338856143771475,,,,,,0.0092119945694638,-0.0262920713729142,0.0162469004019892,-0.0013968664401233,-0.0278515763223425,-7.364021129269529e-05,0.00358859579108,121,0.1367397774327122,0.0,,,,,,,,ok,0.3000217013888889,0.3000217013888889,0.0,26.847652364903663,0.73555114229546,-0.0010372941926202472,0.07817625706793171,-0.002456834750624387,-0.00016777286654176058,5.0517187908161176e-05,0.4347197106690778,0.4224231464737794,-0.01461121157323697,-0.016028597528009936,0.006394496387408188,0.40593128390596767,27.78217821782164,0.7421338155515436,-0.7421338155515436,0.5473684210526316,0.4895833333333333,0.5104166666666666,-0.09761385305867701,-25.320758751648434,0.15206388489701997,0.2608122785918886,-0.2623881786727558,-0.7793500408481755,0.06185751169073184,decay,0.3367088607594937,0.33056057866184446,-0.004846292947558728,-0.007960468671352042,0.0022537673852488505,0.35160940325497275,72.55223880597076,0.6974683544303772,-0.6974683544303772,0.5368421052631579,0.4895833333333333,0.5104166666666666,-0.08701299553473672,-23.38949042961789,0.14786369746194872,0.27915908134845635,-0.28442413379482095,-0.6937692469612567,0.08027594313536424,decay,0.24195298372513563,0.23580470162748643,-0.006654611211573264,0.004578587274659423,0.001341773289431969,0.26198915009041596,39.369565217391155,0.5703435804701602,-0.5703435804701602,0.968421052631579,0.4895833333333333,0.5104166666666666,-0.06501508517561187,-25.06493449005888,0.17493259854806084,0.3425770806984987,-0.34473519904901,-0.8043659446191329,0.12129386669510811,decay
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,23.93425610271029,source_balanced_pre_event_candidate,833.6666666666666,68.83333333333333,48.0,10861.255859375,27.37371826171875,738,0,930,192,192,96,96,8161,9067,8934.533203125,8923.23828125,-11.294921875,0.0925137251615524,0.0917659774422645,-0.0007477477192878,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj2_10_c2_x10_030723.npz,,0.947263951405458,1.1241086398821665,0.4992071544498905,-3.040352198052424,3.8234271201362175,0.5008889999999999,2.726149861607828,-0.5508325441982548,-1.2744307623513478,,0.0013318365287119,-0.0011716116931809,-0.001443798400383,-0.8502972170577952,-0.2645314140494661,-1.673567193981369,-1.050644904341327,-7.572399537676106,0.3529723166061564,0.3511226488410591,-0.0002779498107713,0.0047977982271136,-0.0237441802894169,-0.0030667293895893,0.0664214192082108,7.419929470844912e-05,0.0035548381762418,115,0.1574066729839305,0.0,,,,,,,,ok,0.3000217013888889,0.3000217013888889,0.0,32.74521514582246,0.7712919615165763,-0.0016341897128503702,0.05625855783461897,-0.0026326960070749833,6.7942145251482e-05,1.6075560945627565e-05,0.43508137432188065,0.41121157323688967,-0.023146473779385168,-0.038704023042075805,0.05374585618630967,0.32752260397830035,14.15000000000001,0.5909584086799242,-0.5909584086799242,0.5578947368421052,0.4895833333333333,0.5104166666666666,-0.10742443497419503,16.955834891199373,0.8240297712396797,0.4529348651920827,-0.14351156050009162,-0.7277163303915176,0.02061412077452729,decay,0.3410488245931284,0.3193490054249548,-0.022350813743218734,-0.02424297645457764,0.03073268546440744,0.27855334538878856,12.462783171521082,0.5978300180831795,-0.5978300180831795,0.5368421052631579,0.4895833333333333,0.5104166666666666,0.09108755034548528,-16.28952435434372,0.8449352412020842,0.4069104737681689,-0.16241340519323727,-0.7189651157945487,0.02653228551113196,decay,0.2383363471971067,0.22097649186256782,-0.013598553345388759,-0.009361775507540837,0.008587603509819464,0.21424954792043402,15.755319148936206,0.5084990958408735,-0.5084990958408735,0.5578947368421052,0.5,0.5,0.06835368273132424,-17.068658024556782,0.8719468902926744,0.35553235109086045,-0.1983238800214959,-0.7510420242758026,0.04116851093443896,decay
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,23.445151520434056,source_balanced_pre_event_candidate,1339.6521739130435,203.96521739130435,115.0,8149.71435546875,19.829694747924805,1244,108,1436,300,192,96,96,902,1803,8879.798828125,8878.8388671875,-0.9599609375,0.0725918188691139,0.0725421607494354,-4.9658119678497314e-05,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj1_11_c2_x10_050723.npz,,0.9466646390988418,2.0095274448964062,-3.619924534184801,-1.7633450481008388,3.834086318542664,0.5008889999999999,2.7273542222025497,,-0.0265085660177388,2.4435217240756693,0.0022425114680642,0.0031274056635252,-0.0056109903505007,0.0879404898025777,0.4758919480630623,0.0978159107910587,,,,,0.0057290331955602,-0.0159583551526351,0.0281258093438601,-0.0132353513223212,0.0246357452043863,-9.922813480849272e-06,-0.0003343671378494,92,0.2283083008923103,0.0,,,,,,,,ok,0.3000217013888889,0.3000217013888889,0.0,26.532057852168908,1.0465172698929288,-0.00020932797174125217,0.048677730090363774,-0.0008009382058435377,0.004772429608206754,0.07022367138551344,0.4491862567811935,0.45895117540687164,0.01591320072332736,0.01940595812904345,0.0328067448496876,0.2627124773960221,16.50909090909088,0.5909584086799278,-0.5909584086799278,0.631578947368421,0.53125,0.46875,0.06680987004119146,23.209379262139162,0.17698208358464781,0.4852667238281113,0.5058224198589905,0.138396573777749,0.18309941802452379,growth,0.3500904159132007,0.3584086799276673,0.012151898734177158,0.014177261796014402,0.024407414858165,0.22625678119349008,18.61904761904771,0.49132007233273356,-0.49132007233273356,0.6842105263157895,0.5208333333333334,0.4791666666666667,0.05679899602663288,21.093876251903108,0.16729022889463058,0.4451344662657766,0.47907590316542814,0.05366295998057662,0.16031236200936494,growth,0.2528028933092224,0.25424954792043397,0.004629294755877034,0.009149065080814983,0.018031862180329483,0.19110307414104888,41.28125000000002,0.5153707052441217,0.5153707052441217,0.42105263157894735,0.5104166666666666,0.4895833333333333,0.03926364278708317,23.835942569012143,0.1790296588516056,0.42318800225347886,0.4511512589617193,-0.24062863448562952,0.13032935718729377,growth
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,24.90960755549438,source_balanced_pre_event_candidate,834.3809523809524,95.61904761904762,42.0,13544.525390625,29.58783912658692,738,0,930,192,192,96,96,902,1803,8969.9482421875,8967.5615234375,-2.38671875,0.0822904556989669,0.0821564421057701,-0.0001340135931968,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj2_11_c2_x10_050723.npz,,0.9466646390988418,2.0095274448964062,-3.619924534184801,-1.7633450481008388,3.834086318542664,0.5008889999999999,2.7273542222025497,,,,0.0002823847810485,-0.0047919219994879,-0.0074333880743686,0.3197001587484926,,,,,,,0.0055036749218273,0.0060750481579646,-0.0121304361628002,-0.0001301229552722,0.0134770459240412,4.2394951892096505e-05,-0.0017225656893491,104,0.1930221273291925,0.0,,,,,,,,ok,0.3000217013888889,0.3000217013888889,0.0,29.26452657679754,0.7385942189273399,-0.0006454990688327389,0.04111518602690259,-0.0016580882089292925,0.0018942375810455804,0.02953266208042349,0.45099457504520796,0.4423146473779385,-0.001446654611211573,0.004682658787121793,0.0017677420615163086,0.3178300180831826,219.70000000000002,0.718083182640143,0.718083182640143,0.7368421052631579,0.4895833333333333,0.4895833333333333,-0.06533446776867151,-24.70408101482607,0.15145242214230328,0.37352789859319735,-0.25635835081781183,-0.712476994083555,0.05006898163878015,decay,0.35406871609403257,0.3504520795660036,0.00332730560578659,0.009005052105665424,0.00838761913903241,0.25518987341772154,76.6956521739137,0.5084990958408646,-0.5084990958408646,0.6631578947368421,0.4895833333333333,0.5104166666666666,0.058833501481855156,23.86708672208011,0.16231034271914085,0.41283139215612996,0.3748407862483676,-0.06421733032648684,0.08691420536108507,growth,0.2513562386980108,0.2502712477396022,0.00332730560578659,0.009853330474823428,0.014750750165148374,0.1921157323688969,57.73913043478309,0.41916817359855685,0.41916817359855685,0.7578947368421053,0.5104166666666666,0.4895833333333333,0.04715778277178236,24.90916353128484,0.17695527714823375,0.4318942376810564,0.3981840952755623,-0.08278906864498985,0.0860800506102426,growth
