cycleNo,n_roi,n_event,median_consistency,max_consistency,median_support,top_tier
156.0,6,6,4.705194196124997,5.78997199136562,5.0,cross_modal_high_priority
158.0,4,0,3.4010104400224757,4.968375469005915,4.0,cross_modal_review_priority
60.0,6,6,1.3346146480117638,2.393667834709711,3.5,cross_modal_review_priority
62.0,4,0,-1.1955034534215025,1.9766618577361255,0.0,discordant_guardrail
86.0,6,6,0.016926972068279367,1.8286204821464014,0.5,routine_or_low_consistency
157.0,4,0,1.1497131229612756,1.5785528316705566,2.5,routine_or_low_consistency
116.0,6,6,-1.1915366712468383,0.3395694293580337,0.0,discordant_guardrail
90.0,4,0,-1.2568047518266892,0.15996178387757642,0.0,discordant_guardrail
88.0,4,0,-0.34106567122241477,-0.046378387100091234,0.0,routine_or_low_consistency
58.0,4,0,-0.9296709824008398,-0.19807724974301477,1.5,routine_or_low_consistency
118.0,4,0,-2.1651366768078786,-1.147485894751321,0.0,discordant_guardrail
