physics_consistency_rank,roi_id,cohort_role,cycleNo,event_reference_cycle,physics_consistency_tier,claim_readiness,physics_consistency_score,physics_pillar_support_count,physics_pillar_strong_support_count,physics_pillar_contradiction_count,front_direction_score,optical_change_score,rollout_residual_score,kinetic_transition_score,precursor_context_score,echem_shape_context_score,mode_taxonomy_score,mode_label,manual_qc_status,manual_qc_decision,review_sources,auto_review_flags,precursor_review_tier,physics_consistency_reason,recommended_claim_language
1,cycle156_rank7_obj27,event,156.0,156.0,cross_modal_high_priority,manual_qc_required_no_physics_claim,5.78997199136562,6,6,0,2.042283821636662,3.4689327034241857,2.111208842006203,3.798093077558319,4.200400069015146,,1.1189134345532115,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,none;already_in_primary_qc,high,multi-pillar support;multiple strong pillars;front/kinetic agreement;rollout/mode agreement;precursor context,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
2,cycle156_rank5_obj4,event,156.0,156.0,cross_modal_review_priority,manual_qc_required_no_physics_claim,5.502829257224278,6,6,0,2.269386542668091,2.74391413755317,1.0247657462625013,3.837134442959279,4.126670414172665,,1.0151042597299627,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero;already_in_primary_qc,high,multi-pillar support;multiple strong pillars;front/kinetic agreement;rollout/mode agreement;precursor context;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
3,cycle156_rank2_obj2,event,156.0,156.0,cross_modal_high_priority,manual_qc_required_no_physics_claim,5.485679648669831,6,6,0,2.3738341454642202,2.211072117573023,1.260920867565339,3.801280970338012,4.106706860829304,,1.160262930249086,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,none;already_in_primary_qc,high,multi-pillar support;multiple strong pillars;front/kinetic agreement;rollout/mode agreement;precursor context,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
4,cycle158_rank2_obj1,control,158.0,156.0,cross_modal_review_priority,manual_qc_required_no_physics_claim,4.968375469005915,6,5,0,1.6732579338034488,1.698718714399622,1.329434242540453,3.718475264170867,3.9186226898691485,,0.9717439692519503,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero,medium,multi-pillar support;multiple strong pillars;front/kinetic agreement;rollout/mode agreement;precursor context;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
5,cycle156_rank8_obj10,event,156.0,156.0,cross_modal_review_priority,manual_qc_required_no_physics_claim,3.9247087435801626,4,4,0,1.7331476546399596,1.1321067344091678,0.4930846370182831,3.7917626740918933,4.077866285417139,,0.32028447590453285,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,none;already_in_primary_qc,high,multi-pillar support;multiple strong pillars;front/kinetic agreement;precursor context,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
6,cycle158_rank4_obj8,control,158.0,156.0,cross_modal_review_priority,manual_qc_required_no_physics_claim,3.6558644034062655,5,4,1,1.2946788035397812,1.0342914755963855,0.8633579895986205,4.059666020115979,3.8732357533252277,,-0.5900436217383987,near_baseline_or_context_like,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask,medium,multi-pillar support;multiple strong pillars;front/kinetic agreement;precursor context;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
7,cycle158_rank6_obj3,control,158.0,156.0,front_kinetic_consistent,manual_qc_required_no_physics_claim,3.1461564766386863,3,3,0,1.2841921601453097,0.28536535385775624,0.4161212161081863,4.071671519071065,3.903318654552081,,-0.08373004390227877,near_baseline_or_context_like,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask,medium,multiple strong pillars;front/kinetic agreement;precursor context;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
8,cycle156_rank6_obj3,event,156.0,156.0,front_kinetic_consistent,manual_qc_required_no_physics_claim,2.6809295519867367,3,3,1,2.279955604427434,-1.3373050970902576,0.1929410843863264,3.782369711542838,4.131565249217794,,0.13605075943628586,optical_loss_rollout_hard,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,diffusion_ci_crosses_zero;already_in_primary_qc,high,multiple strong pillars;front/kinetic agreement;precursor context;discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
9,cycle60_rank3_obj9,event,60.0,60.0,cross_modal_review_priority,manual_qc_required_no_physics_claim,2.393667834709711,4,4,1,1.029175656383917,1.3716639042105845,1.5137193126284831,0.4359502036294556,-0.19504676096597595,-0.9731946398746771,2.0234071669561904,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;already_in_primary_qc,high,multi-pillar support;multiple strong pillars;rollout/mode agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
10,cycle62_rank3_obj9,control,62.0,60.0,rollout_mode_consistent,manual_qc_required_no_physics_claim,1.9766618577361255,3,2,0,0.2861181484280458,0.764860297618053,2.0789142865061154,0.47001434465662795,-0.4492419483924088,-0.29749484378042046,2.2334627191168646,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;active_control;already_in_primary_qc,medium,multiple strong pillars;rollout/mode agreement;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
11,cycle156_rank1_obj1,event,156.0,156.0,front_kinetic_consistent,manual_qc_required_no_physics_claim,1.8501263240295593,3,3,2,1.9827923464778194,-2.9851899226445835,-0.6815968665408005,3.7850578033860964,4.092389497583503,,0.10730508591532284,optical_loss_rollout_hard,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,none;already_in_primary_qc,high,multiple strong pillars;front/kinetic agreement;precursor context;discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
12,cycle86_rank4_obj9,event,86.0,86.0,cross_modal_review_priority,manual_qc_required_no_physics_claim,1.8286204821464014,4,1,0,0.7558451904602194,0.4212868018612782,0.9118410400496952,0.7255137273172761,0.008892083041864032,-0.00836266241849346,1.2353271947129698,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero,medium,multi-pillar support;front/kinetic agreement;rollout/mode agreement;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
13,cycle60_rank6_obj26,event,60.0,60.0,cross_modal_review_priority,manual_qc_required_no_physics_claim,1.6826509996516332,4,2,1,0.5524843338457568,2.323237840187726,1.4510001147726972,0.12801702982510313,-0.2822127019935106,-0.9731946398746771,0.529225020798338,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,diffusion_ci_crosses_zero;already_in_primary_qc,high,multi-pillar support;multiple strong pillars;rollout/mode agreement;discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
14,cycle157_rank4_obj8,control,157.0,156.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,1.5785528316705566,3,2,1,-2.2607272400558287,0.9383097062760349,-0.13345632132608665,1.7745399060361353,3.9246717636883326,,-0.17202082459524767,optical_loss_rollout_hard,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask,medium,multiple strong pillars;precursor context;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
15,cycle157_rank2_obj2,control,157.0,156.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,1.5718230040528187,3,2,1,-2.477454401082127,0.15657018718014334,0.577523033017856,1.7638328042704692,3.9824431170952685,,0.028023283835304114,optical_loss_rollout_hard,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero,high,multiple strong pillars;precursor context;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
16,cycle60_rank2_obj2,event,60.0,60.0,cross_modal_review_priority,manual_qc_required_no_physics_claim,1.4434700911843494,4,2,1,1.053580650055409,0.601823858521034,0.6002007516197411,0.0020463788163355145,-0.2661244715492783,-0.9731946398746771,1.0359581107018823,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;already_in_primary_qc,high,multi-pillar support;multiple strong pillars;rollout/mode agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
17,cycle60_rank4_obj5,event,60.0,60.0,rollout_mode_consistent,manual_qc_required_no_physics_claim,1.225759204839178,3,2,1,0.16269167634773102,1.5172190995573909,1.6538436731773398,-0.43657696458772144,-0.3032178395462402,-0.9731946398746771,0.6595494288004231,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero;already_in_primary_qc,medium,multiple strong pillars;rollout/mode agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
18,cycle158_rank1_obj2,control,158.0,156.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,0.994790341233223,2,1,1,-0.1398444034503054,-0.10229446019423054,-0.11020469037235014,0.7077442489323945,3.8792077571265917,,-0.6658664046427628,front_negative_high_apparent_front_proxy,pending,,control_balanced_visual_qc,threshold_sign_unstable,medium,precursor context;discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
19,cycle157_rank6_obj3,control,157.0,156.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,0.7276032418697325,2,2,2,-2.0273009086076863,-0.27157948131484944,-0.713113239429352,1.7683825298429117,3.9004474646742056,,-0.09121691394683483,near_baseline_or_context_like,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero,medium,multiple strong pillars;precursor context;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
20,cycle157_rank1_obj1,control,157.0,156.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,0.6780649440779025,2,2,2,-2.0274814455712686,-0.0228402171046752,-1.277538600913894,1.8193391797335259,3.876151932914651,,-0.09924118459092397,near_baseline_or_context_like,pending,,control_balanced_visual_qc;ranked_review_packet,none,medium,multiple strong pillars;precursor context;discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
21,cycle86_rank8_obj17,event,86.0,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,0.4339942858990319,1,0,0,0.5392110173888225,0.3174281590590588,0.23318161475112886,0.06273856084290852,-0.0003520853005714165,-0.00836266241849346,0.14411539697036935,near_baseline_or_context_like,pending,,primary_visual_qc;ranked_review_packet,fragmented_q70_mask,medium,automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
22,cycle116_rank7_obj37,event,116.0,116.0,rollout_mode_consistent,manual_qc_required_no_physics_claim,0.3395694293580337,2,1,1,-0.2734901215081065,0.2792407713332491,1.1221084560726138,-0.4209580087248643,-1.5862064374310796,-0.2534922765311201,0.7097836222955428,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc,fragmented_q70_mask;already_in_primary_qc,routine,rollout/mode agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
23,cycle86_rank3_obj5,event,86.0,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,0.32968997779502096,1,0,0,0.6448768822055279,0.10134432677504934,-0.027852397505625383,0.13773483738442593,0.0,-0.00836266241849346,-0.2899111418757373,near_baseline_or_context_like,pending,,ranked_review_packet,,medium,limited cross-modal agreement,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
24,cycle90_rank5_obj10,control,90.0,86.0,front_kinetic_consistent,manual_qc_required_no_physics_claim,0.15996178387757642,2,0,1,0.6052235109251584,0.022056744693784623,-0.034043859751888006,0.519162752534586,-0.2803096599207578,-0.1714972398295689,-0.5908597615082797,near_baseline_or_context_like,pending,,control_balanced_visual_qc,fragmented_q70_mask;diffusion_ci_crosses_zero,routine,front/kinetic agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
25,cycle88_rank5_obj9,control,88.0,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.046378387100091234,0,0,0,0.15992644286027413,-0.23723236626979327,0.22192597991365887,0.38437521174503414,-0.27424161923716617,-0.17452495078777117,-0.40487740792487514,near_baseline_or_context_like,pending,,control_balanced_visual_qc,fragmented_q70_mask,routine,automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
26,cycle88_rank4_obj8,control,88.0,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.10830195819680392,0,0,0,-0.1449711350788307,-0.42778467890540917,-0.2492465007324593,0.42178167263123445,-0.2266830444462912,-0.17452495078777117,0.043314929941899706,front_negative_high_apparent_front_proxy,pending,,primary_visual_qc;control_balanced_visual_qc,fragmented_q70_mask;already_in_primary_qc,routine,automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
27,cycle58_rank3_obj9,control,58.0,60.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.19807724974301477,2,0,2,0.7776153120357838,-1.6155016387359467,0.1312137698962728,0.2526729619367905,-0.5204169383749386,0.06186184457233925,0.9260139404685951,near_baseline_or_context_like,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;active_control,medium,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
