feature_family,n_features,features
particle_intensity,20,particle_mean_mean;particle_mean_std;particle_mean_slope;particle_mean_first_mean;particle_mean_last_mean;particle_mean_last_minus_first;particle_mean_diff_abs_mean;particle_mean_diff_q10;particle_mean_diff_q90;particle_mean_diff_positive_fraction;particle_std_mean;particle_std_std;particle_std_slope;particle_std_first_mean;particle_std_last_mean;particle_std_last_minus_first;particle_std_diff_abs_mean;particle_std_diff_q10;particle_std_diff_q90;particle_std_diff_positive_fraction
particle_vs_context,10,particle_vs_context_mean_mean;particle_vs_context_mean_std;particle_vs_context_mean_slope;particle_vs_context_mean_first_mean;particle_vs_context_mean_last_mean;particle_vs_context_mean_last_minus_first;particle_vs_context_mean_diff_abs_mean;particle_vs_context_mean_diff_q10;particle_vs_context_mean_diff_q90;particle_vs_context_mean_diff_positive_fraction
particle_gradient,10,particle_gradient_mean;particle_gradient_std;particle_gradient_slope;particle_gradient_first_mean;particle_gradient_last_mean;particle_gradient_last_minus_first;particle_gradient_diff_abs_mean;particle_gradient_diff_q10;particle_gradient_diff_q90;particle_gradient_diff_positive_fraction
norm_heterogeneity,8,particle_norm_mean;particle_norm_std;particle_norm_min;particle_norm_max;particle_norm_range;particle_norm_cv;particle_heterogeneity_rank;particle_prior_area_fraction
video_embedding,16,video_embed_pc01;video_embed_pc02;video_embed_pc03;video_embed_pc04;video_embed_pc05;video_embed_pc06;video_embed_pc07;video_embed_pc08;video_embed_pc09;video_embed_pc10;video_embed_pc11;video_embed_pc12;video_embed_pc13;video_embed_pc14;video_embed_pc15;video_embed_pc16
handcrafted_particle,48,particle_gradient_diff_abs_mean;particle_gradient_diff_positive_fraction;particle_gradient_diff_q10;particle_gradient_diff_q90;particle_gradient_first_mean;particle_gradient_last_mean;particle_gradient_last_minus_first;particle_gradient_mean;particle_gradient_slope;particle_gradient_std;particle_heterogeneity_rank;particle_mean_diff_abs_mean;particle_mean_diff_positive_fraction;particle_mean_diff_q10;particle_mean_diff_q90;particle_mean_first_mean;particle_mean_last_mean;particle_mean_last_minus_first;particle_mean_mean;particle_mean_slope;particle_mean_std;particle_norm_cv;particle_norm_max;particle_norm_mean;particle_norm_min;particle_norm_range;particle_norm_std;particle_prior_area_fraction;particle_std_diff_abs_mean;particle_std_diff_positive_fraction;particle_std_diff_q10;particle_std_diff_q90;particle_std_first_mean;particle_std_last_mean;particle_std_last_minus_first;particle_std_mean;particle_std_slope;particle_std_std;particle_vs_context_mean_diff_abs_mean;particle_vs_context_mean_diff_positive_fraction;particle_vs_context_mean_diff_q10;particle_vs_context_mean_diff_q90;particle_vs_context_mean_first_mean;particle_vs_context_mean_last_mean;particle_vs_context_mean_last_minus_first;particle_vs_context_mean_mean;particle_vs_context_mean_slope;particle_vs_context_mean_std
all_video,64,particle_gradient_diff_abs_mean;particle_gradient_diff_positive_fraction;particle_gradient_diff_q10;particle_gradient_diff_q90;particle_gradient_first_mean;particle_gradient_last_mean;particle_gradient_last_minus_first;particle_gradient_mean;particle_gradient_slope;particle_gradient_std;particle_heterogeneity_rank;particle_mean_diff_abs_mean;particle_mean_diff_positive_fraction;particle_mean_diff_q10;particle_mean_diff_q90;particle_mean_first_mean;particle_mean_last_mean;particle_mean_last_minus_first;particle_mean_mean;particle_mean_slope;particle_mean_std;particle_norm_cv;particle_norm_max;particle_norm_mean;particle_norm_min;particle_norm_range;particle_norm_std;particle_prior_area_fraction;particle_std_diff_abs_mean;particle_std_diff_positive_fraction;particle_std_diff_q10;particle_std_diff_q90;particle_std_first_mean;particle_std_last_mean;particle_std_last_minus_first;particle_std_mean;particle_std_slope;particle_std_std;particle_vs_context_mean_diff_abs_mean;particle_vs_context_mean_diff_positive_fraction;particle_vs_context_mean_diff_q10;particle_vs_context_mean_diff_q90;particle_vs_context_mean_first_mean;particle_vs_context_mean_last_mean;particle_vs_context_mean_last_minus_first;particle_vs_context_mean_mean;particle_vs_context_mean_slope;particle_vs_context_mean_std;video_embed_pc01;video_embed_pc02;video_embed_pc03;video_embed_pc04;video_embed_pc05;video_embed_pc06;video_embed_pc07;video_embed_pc08;video_embed_pc09;video_embed_pc10;video_embed_pc11;video_embed_pc12;video_embed_pc13;video_embed_pc14;video_embed_pc15;video_embed_pc16
