feature_family,feature,source_eta2
handcrafted_particle,particle_gradient_mean,0.25688976120803925
handcrafted_particle,particle_std_slope,0.2504706970866339
handcrafted_particle,particle_std_diff_positive_fraction,0.19009184138361196
handcrafted_particle,particle_gradient_slope,0.14900088899567304
handcrafted_particle,particle_mean_last_mean,0.1329329536312319
handcrafted_particle,particle_vs_context_mean_first_mean,0.13090836449114815
handcrafted_particle,particle_vs_context_mean_last_mean,0.12673537655365966
handcrafted_particle,particle_std_first_mean,0.12437641047833742
handcrafted_particle,particle_gradient_last_minus_first,0.12165747328379142
handcrafted_particle,particle_std_last_mean,0.11915630178494943
handcrafted_particle,particle_mean_first_mean,0.10380409122895073
handcrafted_particle,particle_prior_area_fraction,0.10015503470483049
handcrafted_particle,particle_vs_context_mean_mean,0.08619865157539401
handcrafted_particle,particle_mean_mean,0.08541111288414818
handcrafted_particle,particle_std_mean,0.07804667073513255
all_video,particle_norm_mean,0.931539971039508
all_video,particle_norm_max,0.8736330283477279
all_video,particle_norm_min,0.8398548972085286
all_video,particle_gradient_diff_abs_mean,0.811294526903584
all_video,particle_gradient_std,0.7889948022187017
all_video,particle_mean_diff_q10,0.671052844973572
all_video,particle_std_diff_q10,0.668400363816327
all_video,particle_vs_context_mean_diff_abs_mean,0.6413719257966741
all_video,particle_std_diff_abs_mean,0.6392537422985566
all_video,particle_mean_diff_abs_mean,0.6374588821582612
all_video,particle_gradient_diff_q90,0.6226563294430654
all_video,particle_gradient_diff_q10,0.6065108671806946
all_video,particle_heterogeneity_rank,0.604772477209894
all_video,particle_std_diff_q90,0.5915883101321129
all_video,particle_mean_diff_q90,0.5586230629159021
all_video,particle_vs_context_mean_diff_q10,0.5470529067459713
all_video,particle_vs_context_mean_diff_q90,0.5387512641741365
all_video,particle_std_std,0.5348083031844442
all_video,particle_norm_std,0.5227614757574165
all_video,particle_norm_range,0.5202791602899054
all_video,particle_mean_last_minus_first,0.5181653710998927
all_video,particle_norm_cv,0.5108231369167251
all_video,particle_mean_slope,0.4825727193799705
all_video,particle_vs_context_mean_last_minus_first,0.47602565518846385
all_video,particle_vs_context_mean_std,0.4545768489577469
all_video,particle_vs_context_mean_slope,0.43523401999946765
all_video,particle_gradient_first_mean,0.42132769668917963
all_video,particle_mean_std,0.405315314320686
all_video,particle_gradient_last_mean,0.3277310658436949
all_video,particle_vs_context_mean_diff_positive_fraction,0.3165546893158412
