feature_family,method,target,n_eval,n_sources,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,mean_features_after,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
handcrafted_particle,source_mean_resid_4,future_any_drop_within_8cycles,72,9,24,36,0.7901234567901234,0.831656401399212,0.5025570419027192,6.845542078063902e-06,48.0,,,,
handcrafted_particle,source_confound_filter_0.50,future_any_drop_within_8cycles,72,9,24,36,0.6489197530864197,0.7107876167952629,0.2579614603383638,0.028688637908432395,24.0,,,,
all_video,raw,future_any_drop_within_8cycles,72,9,24,36,0.7114197530864197,0.7906798147298508,0.3662250784078326,0.001557086257273233,64.0,,,,
all_video,source_mean_resid_2,future_any_drop_within_8cycles,72,9,24,36,0.8464506172839505,0.8838746644549071,0.6001279569529812,2.5241062045816784e-08,64.0,,,,
all_video,source_mean_resid_4,future_any_drop_within_8cycles,72,9,24,36,0.7561728395061729,0.8101067091036597,0.44374717529708185,9.45223718357302e-05,64.0,,,,
all_video,source_confound_filter_0.50,future_any_drop_within_8cycles,72,9,24,36,0.8024691358024693,0.8552647209512872,0.5239424479411328,2.3217501579087294e-06,32.0,,,,
particle_intensity,raw,future_any_drop_within_16cycles,72,9,24,57,0.35438596491228075,0.7270766024811516,-0.2048737480441839,0.084284449720521,20.0,0.9500998003992016,0.5060233918128655,0.6550877192982456,500.0
particle_intensity,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.46549707602339185,0.8182289033148243,-0.04854438206669418,0.6855197382018311,20.0,0.6666666666666666,0.4991368421052632,0.6409356725146199,500.0
particle_intensity,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.42573099415204674,0.7881964967418095,-0.10449383936390104,0.38237069769176646,20.0,0.8283433133732535,0.4994081871345029,0.6480116959064327,500.0
particle_intensity,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.45730994152046783,0.7897843134360267,-0.060063387980825,0.6162388720302906,10.0,0.7325349301397206,0.5078479532163742,0.6503508771929823,500.0
particle_vs_context,raw,future_any_drop_within_16cycles,72,9,24,57,0.4140350877192982,0.7448867229172654,-0.12094956209837363,0.31151376975194855,10.0,0.8622754491017964,0.5037894736842106,0.6329239766081869,500.0
