task,target,comparison,delta_roc_auc,delta_average_precision,delta_r2,delta_spearman_rho,base_metric,comparison_metric,base_spearman_rho,comparison_spearman_rho
regression,particle_norm_cv,residual_dictionary_handcrafted_echem_minus_handcrafted_plus_echem,,,-0.5467894719612896,-0.003622496619206661,-2.1471931599500507,-2.6939826319113402,0.8955283629209106,0.891905866301704
regression,cross_modal_consensus_score,residual_dictionary_handcrafted_echem_minus_pca_video_plus_echem,,,-4.100535322054881,-0.016186778052859063,-2.228154907139346,-6.328690229194227,0.6948562098127663,0.6786694317599072
regression,residual_energy_mean,residual_dictionary_plus_echem_minus_residual_dictionary,,,-0.008659165210227582,-0.024812109676239813,0.992046634174074,0.9833874689638464,0.9940071673429534,0.9691950576667135
regression,state_step_norm,residual_dictionary_handcrafted_echem_minus_handcrafted_plus_echem,,,0.061400553830143534,-0.027674930197678638,0.1081427318338718,0.16954328566401533,0.27546785854732136,0.24779292834964273
regression,state_step_norm,handcrafted_plus_echem_minus_handcrafted_scalar,,,-0.012117223330087246,-0.03987955768452467,0.12025995516395904,0.1081427318338718,0.31534741623184603,0.27546785854732136
regression,cross_modal_consensus_score,residual_dictionary_plus_echem_minus_echem_regime,,,4.06709872082639,-0.05244758980284203,-4.357761025317632,-0.29066230449124175,0.7172217381139616,0.6647741483111196
regression,transferred_masked_residual_signature,residual_dictionary_plus_echem_minus_echem_regime,,,-0.1024100255026753,-0.06188171762272421,0.937642780194159,0.8352327546914837,0.4965217391304347,0.4346400215077105
regression,transferred_masked_residual_signature,residual_dictionary_handcrafted_echem_minus_handcrafted_plus_echem,,,-0.025076399980395347,-0.06622902149140142,0.8245417553593172,0.7994653553789218,0.40480799870764766,0.33857897721624625
regression,state_step_norm,residual_dictionary_plus_echem_minus_echem_regime,,,0.8241673671473837,-0.07941680190638906,-4.932237607009856,-4.108070239862473,0.39781891517242524,0.3184021132660362
regression,state_step_norm,residual_dictionary_handcrafted_echem_minus_pca_video_plus_echem,,,6.207345234068831,-0.08328438318464043,-6.037801948404816,0.16954328566401533,0.33107731153428316,0.24779292834964273
regression,particle_norm_cv,handcrafted_plus_echem_minus_handcrafted_scalar,,,-3.1102152175111986,-0.08460259620442545,0.9630220575611477,-2.1471931599500507,0.9801309591253361,0.8955283629209106
regression,dictionary_recon_error_mse_mean,residual_dictionary_plus_echem_minus_residual_dictionary,,,-0.9437162729966291,-0.08538598869661207,0.9181993925886873,-0.025516880407941755,0.9598449552070546,0.8744589665104425
regression,particle_norm_cv,residual_dictionary_handcrafted_echem_minus_residual_dictionary_plus_handcrafted,,,-3.6554382244095023,-0.08637250964751719,0.9614555924981621,-2.6939826319113402,0.9782783759492212,0.891905866301704
regression,dictionary_recon_error_mse_mean,residual_dictionary_handcrafted_echem_minus_residual_dictionary_plus_handcrafted,,,-0.19382045069722686,-0.12323968671411067,0.8660266030496888,0.672206152352462,0.9024260241293471,0.7791863374152365
regression,transferred_masked_residual_signature,residual_dictionary_handcrafted_echem_minus_pca_video_plus_echem,,,-0.10898163901322677,-0.1611315406255816,0.9084469943921486,0.7994653553789218,0.49971051784182785,0.33857897721624625
regression,residual_energy_mean,residual_dictionary_handcrafted_echem_minus_residual_dictionary_plus_handcrafted,,,-0.3847872166484916,-0.18736028835875507,0.9787169541011365,0.5939297374526449,0.972835322100015,0.7854750337412599
regression,residual_energy_mean,handcrafted_plus_echem_minus_handcrafted_scalar,,,-4.822858912514383,-0.20131610495395957,0.8392636101973748,-3.983595302317008,0.848238175594006,0.6469220706400465
regression,dictionary_recon_error_mse_mean,handcrafted_plus_echem_minus_handcrafted_scalar,,,-14.002541716623398,-0.36260813384802787,-0.6304945064721319,-14.63303622309553,0.6905754982529749,0.32796736440494706
