task,target,comparison,delta_roc_auc,delta_average_precision,delta_r2,delta_spearman_rho,base_metric,comparison_metric,base_spearman_rho,comparison_spearman_rho
classification,future_any_drop_within_8cycles,pca_video_plus_echem_minus_pca_video,0.3472222222222222,0.33576828717927687,,0.601464544830382,0.5694444444444444,0.9166666666666666,0.1202929089660764,0.7217574537964584
classification,future_any_drop_within_8cycles,residual_dictionary_plus_echem_minus_residual_dictionary,0.24845679012345667,0.25808446324178813,,0.43038129652307333,0.66820987654321,0.9166666666666666,0.29137615727338506,0.7217574537964584
classification,future_any_drop_within_16cycles,residual_dictionary_handcrafted_echem_minus_residual_dictionary_plus_handcrafted,0.23040935672514617,0.08532551870378058,,0.3241777378691103,0.5450292397660819,0.775438596491228,0.06335453252771951,0.3875322703968298
classification,future_any_drop_within_16cycles,residual_dictionary_plus_echem_minus_residual_dictionary,0.19649122807017544,0.05174676232127706,,0.2764561419391397,0.4807017543859649,0.6771929824561403,-0.027151942511879794,0.24930419942725993
classification,future_any_drop_within_16cycles,handcrafted_plus_echem_minus_handcrafted_scalar,0.17894736842105263,0.06799760033299529,,0.2517725578374308,0.6023391812865497,0.7812865497076024,0.14398757392663528,0.3957601317640661
classification,future_any_drop_within_8cycles,residual_dictionary_plus_echem_minus_echem_regime,0.17361111111111105,0.23335786540011894,,0.30040696799626615,0.7430555555555556,0.9166666666666666,0.42135048580019224,0.7217574537964584
classification,future_any_drop_within_16cycles,pca_video_plus_echem_minus_pca_video,0.1426900584795321,0.12017794268789594,,0.20076157021408939,0.512280701754386,0.6549707602339181,0.01727850887119623,0.2180400790852856
classification,future_any_drop_within_8cycles,residual_dictionary_handcrafted_echem_minus_residual_dictionary_plus_handcrafted,0.1211419753086419,0.13444163392906416,,0.20984429675193328,0.7955246913580247,0.9166666666666666,0.5119131570445251,0.7217574537964584
classification,future_any_drop_within_16cycles,residual_dictionary_handcrafted_echem_minus_pca_video_plus_echem,0.12046783625730995,0.04578308846172985,,0.1694921913115442,0.6549707602339181,0.775438596491228,0.2180400790852856,0.3875322703968298
classification,future_any_drop_within_8cycles,handcrafted_plus_echem_minus_handcrafted_scalar,0.08796296296296291,0.08184276307230265,,0.15237101802369668,0.8287037037037037,0.9166666666666666,0.5693864357727617,0.7217574537964584
classification,future_any_drop_within_16cycles,residual_dictionary_plus_echem_minus_echem_regime,0.06666666666666676,0.03389146320655323,,0.0936774676814982,0.6105263157894736,0.6771929824561403,0.15562673174576172,0.24930419942725993
classification,future_any_drop_within_8cycles,residual_dictionary_handcrafted_echem_minus_handcrafted_plus_echem,0.0,0.0,,0.0,0.9166666666666666,0.9166666666666666,0.7217574537964584,0.7217574537964584
classification,future_any_drop_within_8cycles,residual_dictionary_handcrafted_echem_minus_pca_video_plus_echem,0.0,0.0,,0.0,0.9166666666666666,0.9166666666666666,0.7217574537964584,0.7217574537964584
classification,future_any_drop_within_16cycles,residual_dictionary_handcrafted_echem_minus_handcrafted_plus_echem,-0.005847953216374324,-0.0023422775955617148,,-0.0082278613672363,0.7812865497076024,0.775438596491228,0.3957601317640661,0.3875322703968298
regression,particle_norm_cv,pca_video_plus_echem_minus_pca_video,,,-110.91318547110076,1.0656561937334317,-2.8584087449709394,-113.7715942160717,-0.43922033130330357,0.626435862430128
regression,cross_modal_consensus_score,pca_video_plus_echem_minus_pca_video,,,0.8073487683788834,1.0102685254552406,-3.035503675518229,-2.228154907139346,-0.31541231564247424,0.6948562098127663
regression,cross_modal_consensus_score,residual_dictionary_plus_echem_minus_residual_dictionary,,,0.6562392153361167,0.8639315597006062,-0.9469015198273585,-0.29066230449124175,-0.19915741138948662,0.6647741483111196
regression,particle_norm_cv,residual_dictionary_plus_echem_minus_residual_dictionary,,,-70.41899383864914,0.7815216546550352,-0.5140047920729738,-70.93299863072211,-0.0841922354240745,0.6973294192309607
regression,state_step_norm,residual_dictionary_plus_echem_minus_residual_dictionary,,,-1.9321309281554244,0.7331459268482244,-2.1759393117070482,-4.108070239862473,-0.41474381358218826,0.3184021132660362
regression,state_step_norm,pca_video_plus_echem_minus_pca_video,,,-4.762660745132904,0.6085789314555988,-1.2751412032719118,-6.037801948404816,-0.27750161992131567,0.33107731153428316
regression,dictionary_recon_error_mse_mean,residual_dictionary_handcrafted_echem_minus_handcrafted_plus_echem,,,15.305242375447992,0.4512189730102894,-14.63303622309553,0.672206152352462,0.32796736440494706,0.7791863374152365
regression,transferred_masked_residual_signature,residual_dictionary_plus_echem_minus_residual_dictionary,,,1.9072272833597002,0.42720615174847154,-1.0719945286682164,0.8352327546914837,0.007433869759238938,0.4346400215077105
regression,residual_energy_mean,pca_video_plus_echem_minus_pca_video,,,-1.1796915530380643,0.39894894444189155,-3.851945856062371,-5.031637409100435,0.21371016717904087,0.6126591116209325
regression,residual_energy_mean,residual_dictionary_plus_echem_minus_echem_regime,,,4.304385790899563,0.37478253571205367,-3.3209983219357158,0.9833874689638464,0.5944125219546599,0.9691950576667135
regression,dictionary_recon_error_mse_mean,residual_dictionary_handcrafted_echem_minus_pca_video_plus_echem,,,2.452191943369722,0.36652498534406436,-1.77998579101726,0.672206152352462,0.4126613520711721,0.7791863374152365
regression,transferred_masked_residual_signature,pca_video_plus_echem_minus_pca_video,,,1.2508946920381043,0.35315708544540303,-0.3424476976459556,0.9084469943921486,0.14655343239642482,0.49971051784182785
regression,dictionary_recon_error_mse_mean,residual_dictionary_plus_echem_minus_echem_regime,,,-0.15740946480838147,0.3158036598333682,0.13189258440043972,-0.025516880407941755,0.5586553066770743,0.8744589665104425
regression,particle_norm_cv,residual_dictionary_handcrafted_echem_minus_pca_video_plus_echem,,,111.07761158416037,0.26547000387157593,-113.7715942160717,-2.6939826319113402,0.626435862430128,0.891905866301704
regression,dictionary_recon_error_mse_mean,pca_video_plus_echem_minus_pca_video,,,3.247436956441596,0.23120069050112546,-5.027422747458856,-1.77998579101726,0.18146066157004664,0.4126613520711721
regression,cross_modal_consensus_score,residual_dictionary_handcrafted_echem_minus_residual_dictionary_plus_handcrafted,,,-5.958456474932898,0.19090198132812053,-0.3702337542613292,-6.328690229194227,0.4877674504317867,0.6786694317599072
regression,residual_energy_mean,residual_dictionary_handcrafted_echem_minus_pca_video_plus_echem,,,5.62556714655308,0.17281592212032748,-5.031637409100435,0.5939297374526449,0.6126591116209325,0.7854750337412599
regression,transferred_masked_residual_signature,residual_dictionary_handcrafted_echem_minus_residual_dictionary_plus_handcrafted,,,3.548968269556204,0.16702071017510867,-2.749502914177282,0.7994653553789218,0.17155826704113758,0.33857897721624625
regression,transferred_masked_residual_signature,handcrafted_plus_echem_minus_handcrafted_scalar,,,2.3167974789836028,0.16364167846636365,-1.4922557236242855,0.8245417553593172,0.241166320241284,0.40480799870764766
regression,residual_energy_mean,residual_dictionary_handcrafted_echem_minus_handcrafted_plus_echem,,,4.577525039769653,0.13855296310121346,-3.983595302317008,0.5939297374526449,0.6469220706400465,0.7854750337412599
regression,cross_modal_consensus_score,handcrafted_plus_echem_minus_handcrafted_scalar,,,-4.071021683077602,0.1100349667958197,-0.16756385386376405,-4.238585536941366,0.5680645412288833,0.678099508024703
regression,state_step_norm,residual_dictionary_handcrafted_echem_minus_residual_dictionary_plus_handcrafted,,,0.5279433629559152,0.10333156024834286,-0.3584000772918998,0.16954328566401533,0.14446136810129986,0.24779292834964273
regression,particle_norm_cv,residual_dictionary_plus_echem_minus_echem_regime,,,66.65587085084142,0.038557259470511474,-137.58886948156353,-70.93299863072211,0.6587721597604492,0.6973294192309607
regression,cross_modal_consensus_score,residual_dictionary_handcrafted_echem_minus_handcrafted_plus_echem,,,-2.0901046922528614,0.0005699237352042585,-4.238585536941366,-6.328690229194227,0.678099508024703,0.6786694317599072
