n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95,task,target,feature_set,observed_roc_auc
500,0.001996007984031936,0.5042939814814814,0.6041666666666667,classification,future_any_drop_within_8cycles,acquisition_context,1.0
500,0.001996007984031936,0.5035833333333333,0.6136574074074072,classification,future_any_drop_within_8cycles,echem_regime,0.7430555555555556
500,0.013972055888223553,0.5064228395061728,0.6289737654320987,classification,future_any_drop_within_8cycles,residual_dictionary,0.66820987654321
500,0.001996007984031936,0.5069583333333334,0.6212191358024691,classification,future_any_drop_within_8cycles,handcrafted_scalar,0.8287037037037037
500,0.17564870259481039,0.5040725308641975,0.614236111111111,classification,future_any_drop_within_8cycles,pca_video,0.5694444444444444
500,0.001996007984031936,0.5064922839506173,0.6151234567901234,classification,future_any_drop_within_8cycles,residual_dictionary_plus_echem,0.9166666666666666
500,0.001996007984031936,0.5073796296296297,0.6227623456790123,classification,future_any_drop_within_8cycles,residual_dictionary_handcrafted_echem,0.9166666666666666
500,0.001996007984031936,0.5057438271604938,0.6173225308641974,classification,future_any_drop_within_8cycles,pca_video_plus_echem,0.9166666666666666
500,0.001996007984031936,0.5068472222222222,0.6227237654320986,classification,future_any_drop_within_8cycles,handcrafted_plus_echem,0.9166666666666666
500,0.001996007984031936,0.49910877192982456,0.6298245614035087,classification,future_any_drop_within_16cycles,acquisition_context,0.7578947368421052
500,0.07784431137724551,0.4964982456140351,0.6280701754385964,classification,future_any_drop_within_16cycles,echem_regime,0.6105263157894736
500,0.5788423153692615,0.49808187134502924,0.639766081871345,classification,future_any_drop_within_16cycles,residual_dictionary,0.4807017543859649
500,0.15768463073852296,0.5061286549707602,0.6421637426900585,classification,future_any_drop_within_16cycles,handcrafted_scalar,0.6023391812865497
500,0.47105788423153694,0.5046736842105263,0.6421637426900584,classification,future_any_drop_within_16cycles,pca_video,0.512280701754386
500,0.017964071856287425,0.4972818713450292,0.6304093567251461,classification,future_any_drop_within_16cycles,residual_dictionary_plus_echem,0.6771929824561403
500,0.001996007984031936,0.5004491228070175,0.6304678362573098,classification,future_any_drop_within_16cycles,residual_dictionary_handcrafted_echem,0.775438596491228
500,0.021956087824351298,0.4993040935672515,0.6281286549707601,classification,future_any_drop_within_16cycles,pca_video_plus_echem,0.6549707602339181
500,0.003992015968063872,0.5011228070175439,0.6316374269005847,classification,future_any_drop_within_16cycles,handcrafted_plus_echem,0.7812865497076024
