method,x,y,n,spearman_rho,p_value
persistence,particle_to_nonparticle_mse_ratio_median,transition_iqr_frac,48,-0.6445912418300299,7.639360405876091e-07
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,transition_iqr_frac,48,-0.40271541156238866,0.004542611995390928
velocity,particle_to_nonparticle_mse_ratio_median,transition_iqr_frac,48,-0.33804332904875156,0.01877633669017159
velocity,peak_distance_to_transition_frac,transition_iqr_frac,48,-0.2918961055401646,0.04410578489340316
velocity,weighted_center_distance_to_transition_frac,transition_iqr_frac,48,-0.2746602048521106,0.058857719765443794
persistence,peak_distance_to_transition_frac,transition_iqr_frac,48,-0.27177851895786787,0.06167200040044817
persistence,weighted_center_distance_to_transition_frac,transition_iqr_frac,48,-0.26928020492030025,0.06419811934936828
low_rank_dmd,peak_distance_to_transition_frac,transition_iqr_frac,48,0.2427295632876225,0.096449665559453
persistence,near_minus_far_particle_mse_median,transition_iqr_frac,48,0.15960666464370762,0.27854040816534137
low_rank_dmd,near_minus_far_particle_mse_median,transition_iqr_frac,48,-0.11034604026806893,0.4552855495082796
low_rank_dmd,weighted_center_distance_to_transition_frac,transition_iqr_frac,48,0.10771208196812011,0.46618255660200064
velocity,near_minus_far_particle_mse_median,transition_iqr_frac,48,-0.08837770721317659,0.5502874756663919
low_rank_dmd,near_transition_residual_fraction,transition_iqr_frac,48,-0.06287874920303368,0.6711471984762986
velocity,near_transition_residual_fraction,transition_iqr_frac,48,-0.03183166626321136,0.8299409284779088
persistence,near_transition_residual_fraction,transition_iqr_frac,48,-0.015691666467780245,0.9156967632632401
