roi_id,cycleNo,cohort_role,event_reference_cycle,mode_label,is_event_roi,is_event_enriched_mode,n_frames,duration_s,roi_norm_delta,roi_norm_total_variation,roi_norm_max_abs_rate_per_s,roi_norm_rate_sign_consistency,q60_threshold,q60_fraction_first,q60_fraction_last,q60_fraction_delta,q60_fraction_total_variation,q60_variation_to_net_abs,q60_max_abs_rate_per_s,q60_signed_rate_at_max_abs_per_s,q60_time_of_max_abs_rate_s,q60_time_of_max_abs_rate_frac,q60_positive_rate_fraction,q60_negative_rate_fraction,q60_logistic_low,q60_logistic_amp,q60_logistic_k_per_s,q60_logistic_t0_s,q60_logistic_r2,q60_avrami_direction,q60_avrami_n,q60_avrami_logk,q60_avrami_r2,q60_transformed_fraction_delta,q70_threshold,q70_fraction_first,q70_fraction_last,q70_fraction_delta,q70_fraction_total_variation,q70_variation_to_net_abs,q70_max_abs_rate_per_s,q70_signed_rate_at_max_abs_per_s,q70_time_of_max_abs_rate_s,q70_time_of_max_abs_rate_frac,q70_positive_rate_fraction,q70_negative_rate_fraction,q70_logistic_low,q70_logistic_amp,q70_logistic_k_per_s,q70_logistic_t0_s,q70_logistic_r2,q70_avrami_direction,q70_avrami_n,q70_avrami_logk,q70_avrami_r2,q70_transformed_fraction_delta,q80_threshold,q80_fraction_first,q80_fraction_last,q80_fraction_delta,q80_fraction_total_variation,q80_variation_to_net_abs,q80_max_abs_rate_per_s,q80_signed_rate_at_max_abs_per_s,q80_time_of_max_abs_rate_s,q80_time_of_max_abs_rate_frac,q80_positive_rate_fraction,q80_negative_rate_fraction,q80_logistic_low,q80_logistic_amp,q80_logistic_k_per_s,q80_logistic_t0_s,q80_logistic_r2,q80_avrami_direction,q80_avrami_n,q80_avrami_logk,q80_avrami_r2,q80_transformed_fraction_delta,transfer_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,threshold_robust_phase_score,threshold_robust_diffusion_score,diffusion_proxy_median_um2_per_s,radius2_slope_median_px2_per_s,persistence_particle_mse_mean,low_rank_dmd_particle_mse_mean
cycle40_rank8_obj3,40.0,transfer_warning,40.0,,0,0,96,95.0,0.000731903314590443,0.036128729581832913,0.0006465226411819514,0.5208333333333334,0.06504299491643906,0.4000651041666667,0.3922526041666667,-0.0032986111111110716,0.2333767361111112,70.75000000000088,0.004058159722222204,-0.004058159722222204,92.0,0.968421052631579,0.5208333333333334,0.4791666666666667,0.4646771160899451,-0.05873279250713548,-0.2547153518232186,20.303985650891256,0.36806459732603036,decay,-0.4335938017401598,1.1728769467405635,0.16629585143834436,-0.0032986111111110716,0.07759042829275131,0.3000217013888889,0.2943793402777778,0.0004774305555555469,0.2116319444444445,443.2727272727354,0.003700086805555558,-0.003700086805555558,52.0,0.5473684210526316,0.5208333333333334,0.4791666666666667,0.3050772086498319,0.05521585032553457,0.23231889627454674,18.618566035357265,0.37151917860726535,growth,0.48934160799384724,-2.4210011126691264,0.1554134453334448,0.0004774305555555469,0.09702326357364655,0.20008680555555555,0.19759114583333334,0.0008029513888888895,0.1675998263888889,208.72972972972957,0.003287760416666674,-0.003287760416666674,52.0,0.5473684210526316,0.5104166666666666,0.4895833333333333,0.20325318424208086,0.04331519609782893,0.2443707801134983,19.147101331601576,0.38698185660055084,growth,0.4753245289206233,-2.398016586539702,0.14152064696121458,0.0008029513888888895,8,0.7842017555889671,0,0,0,0.6145833333333333,-0.0625,2.604996113154949e-06,0.0011306406741123,9.658656881583738e-05,0.005379147529311
cycle40_rank8_obj1,40.0,transfer_warning,40.0,,0,0,96,95.0,0.000668118894100192,0.03472366482019422,0.0006473921239375999,0.5208333333333334,0.0790802463889122,0.4000651041666667,0.4015842013888889,0.0057942708333333925,0.2554904513888887,44.09363295880102,0.004394531249999972,0.004394531249999972,28.0,0.29473684210526313,0.5104166666666666,0.4895833333333333,0.4080000303213588,0.06975937730350874,0.24796684466292124,20.443182643830678,0.4105012066340873,growth,0.4710105471977344,-2.2955067229832684,0.12840316110669026,0.0057942708333333925,0.09425269812345505,0.3000217013888889,0.3031684027777778,0.0059895833333333814,0.2077256944444444,34.68115942028957,0.0036458333333332926,-0.0036458333333332926,92.0,0.968421052631579,0.5208333333333334,0.4791666666666667,0.3086270610266016,0.055038283778140865,0.23592796275013708,20.151786966568377,0.40590917646356683,growth,0.48177194535356915,-2.3432961733570594,0.16677537947994348,0.0059895833333333814,0.11897597461938858,0.20008680555555555,0.19639756944444445,-0.00030381944444440867,0.12317708333333333,405.42857142861914,0.003070746527777765,-0.003070746527777765,53.0,0.5578947368421052,0.4791666666666667,0.5208333333333334,0.22971651897140216,-0.028744435161783065,-0.23669186104891113,20.593761131440868,0.3701122574412019,decay,-0.3153487477359487,0.9498273666416125,0.0585197536892762,-0.00030381944444440867,8,0.7842017555889671,0,0,0,0.5520833333333333,0.8645833333333333,4.56673340837489e-06,0.0019820891529404,0.0001084087182334,0.0041175940677931
cycle40_rank8_obj2,40.0,transfer_warning,40.0,,0,0,96,95.0,0.0009392902255058178,0.02745252102613449,0.00047277286648750305,0.5208333333333334,0.06111953407526016,0.4000651041666667,0.40625,0.008810763888888906,0.18216145833333341,20.67487684729061,0.003135850694444442,0.003135850694444442,27.0,0.28421052631578947,0.5208333333333334,0.4791666666666667,0.40751311376853716,0.05377537278560999,0.24440813606977563,17.588515339437883,0.405040294091365,growth,0.5050559922384289,-2.2725360057090396,0.1928149300321076,0.008810763888888906,0.07163019105792046,0.3000217013888889,0.2963324652777778,-0.0008463541666666741,0.15796440972222225,186.64102564102404,0.00308159722222226,0.00308159722222226,28.0,0.29473684210526313,0.5104166666666666,0.4895833333333333,0.3457819468103095,-0.04183813378329957,-0.2542058132338809,18.14716187870013,0.35731436487550605,decay,-0.4048447325069152,0.9470795526743022,0.09419665422587065,-0.0008463541666666741,0.08385920524597168,0.20008680555555555,0.2006293402777778,0.0005425347222222654,0.12220052083333327,225.23999999998196,0.002669270833333348,-0.002669270833333348,54.0,0.5684210526315789,0.5104166666666666,0.4895833333333333,0.20294429128625993,0.031212072155088765,0.24873496589808483,17.271467163930843,0.32670808351490754,growth,0.4688466493855843,-2.364746879100039,0.128782625259531,0.0005425347222222654,8,0.7842017555889671,0,0,0,0.5104166666666666,0.0208333333333333,-1.499595511552432e-06,-0.0006508661074446,4.428446339943548e-05,0.0027451853165985
cycle40_rank8_obj4,40.0,transfer_warning,40.0,,0,0,96,95.0,0.0016229405999183544,0.04416964799165726,0.0006635859608650277,0.5208333333333334,0.05351795256137848,0.4000651041666667,0.4073350694444444,0.010112847222222221,0.24088541666666657,23.81974248927038,0.004025607638888873,0.004025607638888873,41.0,0.43157894736842106,0.5208333333333334,0.4791666666666667,0.4072062339112477,0.06536564560868907,0.23385318281632622,19.070469052513072,0.38966622165362064,growth,0.49781142907559395,-2.4442771423505283,0.17021856839509886,0.010112847222222221,0.06667178869247437,0.3000217013888889,0.3025173611111111,0.004600694444444442,0.19561631944444446,42.51886792452833,0.0033094618055555247,0.0033094618055555247,35.0,0.3684210526315789,0.5104166666666666,0.4895833333333333,0.30360495535411264,0.05338258490780204,0.22857439581073394,18.60599344634427,0.4005325925198787,growth,0.4577253318385351,-2.312885689382331,0.1316442517627805,0.004600694444444442,0.08574201911687851,0.2001953125,0.20518663194444445,0.006510416666666713,0.15360243055555553,23.593333333333163,0.002582465277777779,-0.002582465277777779,59.0,0.6210526315789474,0.5104166666666666,0.4895833333333333,0.2045138131589876,0.04521950710841361,0.2102277124260133,17.20386723430718,0.4369157314321621,growth,0.49085807685845484,-2.2546023081136766,0.19276955689928377,0.006510416666666713,8,0.7842017555889671,0,0,0,0.96875,0.0625,1.0676437903295113e-06,0.0004633870617749,7.90824268506185e-05,0.0085376924689626
cycle116_rank12_obj1,116.0,transfer_warning,116.0,,0,0,96,95.0,0.00021179616451262595,0.03791287243366244,0.0007293038070201943,0.5104166666666666,0.07512219250202179,0.4000651041666667,0.3982204861111111,0.002083333333333326,0.2226562499999999,106.87500000000033,0.00418836805555553,-0.00418836805555553,3.0,0.031578947368421054,0.4791666666666667,0.5208333333333334,0.3929704574042339,0.06372792386324602,0.22896948455134583,22.161476250963755,0.5258954030154379,growth,0.6056092621686537,-2.7162422353171127,0.3056080603021847,0.002083333333333326,0.0917411781847477,0.3000217013888889,0.2924262152777778,-0.002213541666666652,0.1918402777777779,86.6666666666673,0.004058159722222232,-0.004058159722222232,2.0,0.021052631578947368,0.4895833333333333,0.5104166666666666,0.34143166057244534,-0.05114100365509143,-0.23450736239585115,22.61451317393741,0.4919097168173776,decay,-0.4356113008029504,1.1303859108768368,0.14226700710063256,-0.002213541666666652,0.11096833646297455,0.20008680555555555,0.1986762152777778,0.0004774305555555747,0.15624999999999986,327.2727272727139,0.003700086805555558,-0.003700086805555558,56.0,0.5894736842105263,0.4895833333333333,0.5104166666666666,0.19508782743926242,0.04053309484189008,0.234523092801985,22.26060638044728,0.4614771544706494,growth,0.5487499386203887,-2.706026283444551,0.22548336421229875,0.0004774305555555747,12,0.6939075621668416,0,0,1,0.90625,0.4687499999999999,1.6532488995223889e-06,0.0007175559459732,0.0001056366379543,0.0032383710240537
cycle116_rank12_obj3,116.0,transfer_warning,116.0,,0,0,96,95.0,6.37426972389249e-05,0.036270497739315025,0.0006316073238849668,0.5104166666666666,0.050558045506477356,0.4000651041666667,0.4008246527777778,0.0032552083333333703,0.2808593749999998,86.27999999999896,0.004665798611111077,0.004665798611111077,33.0,0.3473684210526316,0.4895833333333333,0.5104166666666666,0.39235711773929155,0.083575284682422,0.2292961309276059,23.296079219972658,0.5555160643310664,growth,0.6755570775581029,-2.9608313850399592,0.3387850426282101,0.0032552083333333703,0.06239788234233856,0.3000217013888889,0.2963324652777778,0.0002604166666667074,0.2458767361111111,944.1666666665191,0.003971354166666691,-0.003971354166666691,3.0,0.031578947368421054,0.4895833333333333,0.5104166666666666,0.29129330626367056,0.06812848604702738,0.24700610377412238,24.29047725580962,0.5382424882423892,growth,0.6568979091431207,-2.9594374841832503,0.319457059163906,0.0002604166666667074,0.07915867865085602,0.20008680555555555,0.19835069444444445,-4.340277777775681e-05,0.1832899305555556,4223.000000002041,0.0031684027777777735,-0.0031684027777777735,56.0,0.5894736842105263,0.4895833333333333,0.5104166666666666,0.23451736713828075,-0.03356679931488263,0.30661904493612613,84.74502931294275,0.10601342882558029,decay,-0.4810725862727338,1.3777445777306971,0.17460802831637723,-4.340277777775681e-05,12,0.6939075621668416,0,0,1,1.03125,1.2395833333333337,-5.108078883862397e-06,-0.0022170481266763,7.103412508513429e-05,0.0013452227176458
cycle116_rank12_obj2,116.0,transfer_warning,116.0,,0,0,96,95.0,7.831752300260786e-05,0.026623368263244657,0.0004897132515907232,0.5104166666666666,0.08216913044452667,0.4001736111111111,0.4028862847222222,0.0046657986111111605,0.18639322916666645,39.94883720930186,0.0032443576388889173,0.0032443576388889173,8.0,0.08421052631578947,0.4791666666666667,0.5208333333333334,0.39869336391265503,0.05708731101630296,0.23797473244916897,20.77256770115217,0.5143278435627529,growth,0.5931723407987206,-2.6370648929982656,0.24551406744676085,0.0046657986111111605,0.09319886937737465,0.3000217013888889,0.2932942708333333,-0.002669270833333348,0.1846571180555555,69.17886178861748,0.0034830729166666907,-0.0034830729166666907,59.0,0.6210526315789474,0.5,0.5,0.3431016847584286,-0.04897754412580665,-0.25684418538691767,22.550605777911027,0.4654599362862093,decay,-0.42405072725923065,1.1461090530376041,0.12351793546126033,-0.002669270833333348,0.10661619901657104,0.20008680555555555,0.1941189236111111,-0.0037543402777777957,0.14012586805555552,37.32369942196513,0.0032552083333333426,-0.0032552083333333426,55.0,0.5789473684210527,0.5,0.5,0.22957718386727735,-0.03378096098486452,-0.25492442907715196,23.545426935810884,0.41192662418275094,decay,-0.3663043040779082,1.0766042539391336,0.08814401628640967,-0.0037543402777777957,12,0.6939075621668416,0,0,1,1.03125,0.8229166666666666,-1.269043111364743e-06,-0.0005507999615298,6.45002019155072e-05,0.0102788366075401
cycle116_rank12_obj4,116.0,transfer_warning,116.0,,0,0,96,95.0,0.00016185641288757324,0.023548182845115673,0.0004948288202285753,0.5104166666666666,0.06270229071378708,0.4000651041666667,0.4045138888888889,0.005837673611111094,0.14646267361111098,25.08921933085507,0.0036024305555555636,0.0036024305555555636,8.0,0.08421052631578947,0.4791666666666667,0.5208333333333334,0.39416748235111554,0.0481363079596908,0.21192956488688502,19.2993404565103,0.5619798453434659,growth,0.5377066677191427,-2.275036485692144,0.27050178516162815,0.005837673611111094,0.07246290147304535,0.3000217013888889,0.2969835069444444,0.0006076388888888729,0.13624131944444456,224.21428571429183,0.0028862847222222154,-0.0028862847222222154,2.0,0.021052631578947368,0.4791666666666667,0.5208333333333334,0.29301346739239437,0.040986035165863216,0.21877202376735408,20.524538171906325,0.5225912969510492,growth,0.5885778217364919,-2.535558948130584,0.28123380440133017,0.0006076388888888729,0.08390739560127258,0.20008680555555555,0.1950954861111111,-0.002191840277777801,0.1179036458333334,53.792079207920246,0.002180989583333348,-0.002180989583333348,2.0,0.021052631578947368,0.4791666666666667,0.5208333333333334,0.2218432402087492,-0.024128460887898558,0.2858576443599779,83.45832449932983,0.13875914661142263,decay,-0.4064676683774007,1.1067334671281142,0.11936889021668595,-0.002191840277777801,12,0.6939075621668416,0,0,1,0.90625,0.6770833333333333,-1.988182720342206e-06,-0.0008629265279263,3.979974133017095e-05,0.0031172876115306
cycle146_rank2_obj4,146.0,transfer_warning,146.0,,0,0,96,95.0,0.0013670235872268732,0.05728805661201483,0.0012542501091957065,0.5416666666666666,0.05764537304639816,0.4000651041666667,0.4140625,0.015798611111111138,0.6160156250000002,38.991758241758184,0.024479166666666663,-0.024479166666666663,47.0,0.49473684210526314,0.53125,0.46875,0.42683386010343033,0.12008867111938556,0.24152613470297016,19.660779438901876,0.4240161211966955,growth,0.542529112692892,-2.4691538555877592,0.23266476446036966,0.015798611111111138,0.06723643094301224,0.3000217013888889,0.3055555555555556,0.007769097222222243,0.49040798611111097,63.122905027932774,0.016102430555555547,-0.016102430555555547,47.0,0.49473684210526314,0.5416666666666666,0.4583333333333333,0.3210285302768515,0.10030199172791614,0.2596295086908843,19.967537601965432,0.40642408818345543,growth,0.5345674264130976,-2.481430092738723,0.19133055930966558,0.007769097222222243,0.07930868119001389,0.20008680555555555,0.1950954861111111,-0.001757812500000011,0.31213107638888915,177.56790123456693,0.006282552083333337,0.006282552083333337,33.0,0.3473684210526316,0.53125,0.46875,0.2795583784528871,-0.07017414725341851,-0.27045141470540257,20.371850357703988,0.34896097657302594,decay,-0.48395658299552513,1.2265258727772592,0.12221730192988212,-0.001757812500000011,2,3.21719464829548,0,1,0,0.4270833333333333,0.4479166666666666,-4.9323164869086005e-06,-0.0021407623641096,7.71824003322763e-05,0.0032383133730036
cycle146_rank2_obj3,146.0,transfer_warning,146.0,,0,0,96,95.0,0.0007897242903709689,0.061268500983715085,0.0011333234608173412,0.5104166666666666,0.07640672475099564,0.4000651041666667,0.3948567708333333,0.0008680555555555802,0.6516493055555557,750.6999999999788,0.02161458333333327,-0.02161458333333327,47.0,0.49473684210526314,0.5416666666666666,0.4583333333333333,0.42496206174879453,0.13185533230604676,0.27087431581321025,20.92922278186017,0.4116216350208646,growth,0.625931149903769,-2.858409373322587,0.2404946270991588,0.0008680555555555802,0.08856594562530518,0.3001302083333333,0.2884114583333333,-0.005425347222222265,0.5187499999999998,95.6159999999992,0.0133029513888889,-0.0133029513888889,47.0,0.49473684210526314,0.53125,0.46875,0.42429065094624846,-0.10609636999303171,-0.2781015772029195,21.51645249951056,0.35960364063314143,decay,-0.4557992604899684,1.1886525182091596,0.1606110908946382,-0.005425347222222265,0.10245811194181442,0.20008680555555555,0.18815104166666666,-0.007269965277777818,0.3221571180555558,44.313432835820684,0.007693142361111099,0.007693142361111099,35.0,0.3684210526315789,0.4791666666666667,0.5208333333333334,0.2841308792238287,-0.07209416666088239,-0.27225726379161064,21.254183730505705,0.2959722840563951,decay,-0.3717208458015865,0.9902094067718876,0.10766860566468872,-0.007269965277777818,2,3.21719464829548,0,1,0,0.5104166666666667,0.90625,-9.276277650584762e-06,-0.0040261621747329,0.000150290466081,0.0030445552092714
