cycleNo,mode,method,mse_mean,mse_std,mae_mean,mae_std,ssim_mean,ssim_std,psnr_mean,psnr_std
86.0,recursive_rollout,event_pca_ridge,0.0017062032611647737,0.0009663585838807554,0.01927505565690808,0.005214757180345966,0.8884290804630204,0.034792431165242256,30.861912131521308,2.3578113617869305
86.0,recursive_rollout,persistence,0.001122905320926293,0.0005692404567025622,0.01629823662515264,0.0036885367682262947,0.9135363149910726,0.01664816981712076,32.692011182571726,1.9967163155493204
86.0,recursive_rollout,velocity,0.014291262587903475,0.005319597430376734,0.07625001232954673,0.01412859616004808,0.42394059714932275,0.03712099824038649,21.116052899914884,1.7581387717300085
86.0,teacher_forced,event_pca_ridge,0.0003800538422506032,0.000193451482581011,0.010399643665239695,0.0024806721117014404,0.9649452785406731,0.010004892121277583,35.60347182611232,2.137805346134533
86.0,teacher_forced,persistence,9.045103447973698e-05,3.57355091540948e-05,0.006689786986117402,0.0013188834391912284,0.9793729343209652,0.005732238002046701,41.4202250719227,1.7659573522392806
86.0,teacher_forced,velocity,0.00023336901344479092,8.84820076926414e-05,0.011254321375200825,0.002185058608749848,0.9452681442531251,0.013615428564299382,36.857836554442855,1.7452040918022798
116.0,recursive_rollout,event_pca_ridge,0.0006107718304898905,0.00012190081900425902,0.012721749733221563,0.0027833635822473147,0.9639055120960394,0.007542515549963877,33.854708114800935,1.1057155175809343
116.0,recursive_rollout,persistence,0.0003860378810334926,8.62297273220824e-05,0.011505198153220894,0.002677566788129555,0.9671603634688463,0.010283759162997848,35.23539825819216,1.2411283706861806
116.0,recursive_rollout,velocity,0.021431385413507087,0.012805072292603938,0.09248759432133132,0.027302536025183368,0.3846470601347561,0.04661018753972839,19.67902203602836,2.382513824207067
116.0,teacher_forced,event_pca_ridge,8.54932189027476e-05,4.232940273369123e-05,0.006543186578338825,0.0017811003588236315,0.9858218205940709,0.0045383438448857606,41.154264199642434,2.20768486295639
116.0,teacher_forced,persistence,0.00010355642449232169,6.689377524399224e-05,0.0076331603290733475,0.0023157472355947125,0.9767007097026742,0.008860951640987364,40.46014585554755,2.411336901108595
116.0,teacher_forced,velocity,0.00030180032165365555,0.00019595723545396665,0.013038142343922969,0.003966555833102408,0.9372818668506248,0.02099080269174766,35.822617188559065,2.4263238370326303
