mse,mae,psnr,ssim,roi_id,cycleNo,source_stem,method,mode,eval_step,frame_index,validation_score
5.501639316207729e-05,0.005638562608510256,42.59507885068707,0.9840513544828713,cycle86_rank5_obj8,86.0,10_c2_x10_030723,persistence,teacher_forced,0,1525,5.377963073534964
0.00015986851940397173,0.009558786638081074,37.962370471677964,0.9543330086196631,cycle86_rank5_obj8,86.0,10_c2_x10_030723,velocity,teacher_forced,0,1525,5.377963073534964
9.78451716946438e-05,0.005859415512531996,40.09460600339242,0.9880048718109152,cycle86_rank5_obj8,86.0,10_c2_x10_030723,event_pca_ridge,teacher_forced,0,1525,5.377963073534964
4.3562729842960835e-05,0.005085516721010208,43.608849131543856,0.9856799790918692,cycle86_rank5_obj8,86.0,10_c2_x10_030723,persistence,teacher_forced,1,1535,5.377963073534964
0.00014078216918278486,0.009165721945464611,38.5145234743753,0.95821011637479,cycle86_rank5_obj8,86.0,10_c2_x10_030723,velocity,teacher_forced,1,1535,5.377963073534964
9.236075857188553e-05,0.0059102363884449005,40.345125088186215,0.9870020259940435,cycle86_rank5_obj8,86.0,10_c2_x10_030723,event_pca_ridge,teacher_forced,1,1535,5.377963073534964
4.1010040149558336e-05,0.0049608564004302025,43.871098055302895,0.9853706051027423,cycle86_rank5_obj8,86.0,10_c2_x10_030723,persistence,teacher_forced,2,1544,5.377963073534964
0.00012267696729395539,0.008604895323514938,39.11236968781663,0.9586289854817379,cycle86_rank5_obj8,86.0,10_c2_x10_030723,velocity,teacher_forced,2,1544,5.377963073534964
9.096957364818081e-05,0.005711304023861885,40.41103840714933,0.9880241301257053,cycle86_rank5_obj8,86.0,10_c2_x10_030723,event_pca_ridge,teacher_forced,2,1544,5.377963073534964
4.1825489461189136e-05,0.0050451671704649925,43.78558968021282,0.9850115420258775,cycle86_rank5_obj8,86.0,10_c2_x10_030723,persistence,teacher_forced,3,1554,5.377963073534964
0.00012034657993353903,0.008508441969752312,39.195662472011385,0.957507800420666,cycle86_rank5_obj8,86.0,10_c2_x10_030723,velocity,teacher_forced,3,1554,5.377963073534964
9.745703573571518e-05,0.005948200821876526,40.11186802304201,0.9871312940066634,cycle86_rank5_obj8,86.0,10_c2_x10_030723,event_pca_ridge,teacher_forced,3,1554,5.377963073534964
4.203120988677256e-05,0.005142189562320709,43.764281084578904,0.9848830100495258,cycle86_rank5_obj8,86.0,10_c2_x10_030723,persistence,teacher_forced,4,1564,5.377963073534964
0.00012121860345359892,0.008706837892532349,39.16430723756874,0.9574976240426234,cycle86_rank5_obj8,86.0,10_c2_x10_030723,velocity,teacher_forced,4,1564,5.377963073534964
9.657178452471271e-05,0.005956845823675394,40.15149743306593,0.9868171104565769,cycle86_rank5_obj8,86.0,10_c2_x10_030723,event_pca_ridge,teacher_forced,4,1564,5.377963073534964
4.276448453310877e-05,0.005080970469862223,43.68916758424422,0.9846229021376223,cycle86_rank5_obj8,86.0,10_c2_x10_030723,persistence,teacher_forced,5,1573,5.377963073534964
