roi_id,cycleNo,validation_score,rollout_residual_energy_mean,rollout_residual_energy_last,rollout_residual_energy_slope_per_step,truth_roi_delta_tail,ridge_rollout_delta_tail
cycle86_rank5_obj8,86.0,5.377963073534964,0.0010118616696672689,0.0024919132702052593,8.343809921854933e-05,-0.0135491406545043,0.0029924102127552032
cycle86_rank2_obj6,86.0,5.344092852173012,0.0007274599122411018,0.0018294480396434665,6.177408440341803e-05,-0.01001665834337473,0.0018091481178998947
cycle86_rank3_obj5,86.0,4.595016519669338,0.0014776113948755665,0.0034492621198296547,0.00012203995448968518,-0.013237671926617622,0.005268200300633907
cycle86_rank8_obj17,86.0,3.8991914755100505,0.003123359840174089,0.007074123248457909,0.0002581138630543819,-0.009051160886883736,0.004727295599877834
cycle86_rank4_obj9,86.0,3.518927813373632,0.0021907234888658422,0.00505517702549696,0.00018517917381751504,-0.015527265146374702,0.0034924554638564587
cycle116_rank3_obj9,116.0,4.261017170280639,0.0006480873553300626,0.0018221890786662698,5.193859996007656e-05,-0.016471073031425476,0.004266984295099974
cycle116_rank2_obj2,116.0,4.159234021974196,0.0003880475560436025,0.001097571337595582,3.243878663025415e-05,-0.007957415655255318,0.0008308371179737151
cycle116_rank1_obj6,116.0,4.033089505345082,0.0007327046444061125,0.002057507401332259,6.0295532150436006e-05,-0.0157451368868351,0.0028536564204841852
cycle116_rank8_obj20,116.0,3.987079460919189,0.0006801684799029317,0.0018499171128496528,5.59574331248147e-05,-0.011450058780610561,0.00406917929649353
cycle116_rank7_obj37,116.0,3.780379242324946,0.000650234722343157,0.001627212855964899,4.66533674572337e-05,-0.014712853357195854,0.005316518247127533
cycle116_rank4_obj58,116.0,3.625239010614535,0.0005653882249134767,0.0015654764138162136,4.518210429352908e-05,-0.015451769344508648,0.004921270068734884
