roi_id,cycleNo,mode,method,mse,mae,psnr,ssim,validation_score
cycle116_rank1_obj6,116.0,recursive_rollout,event_pca_ridge,0.0007327046444061125,0.012619709697901271,33.16676313577634,0.9567643668684188,4.033089505345082
cycle116_rank1_obj6,116.0,recursive_rollout,persistence,0.0004679101364217786,0.011628151041804813,34.603549255320054,0.9607258712019678,4.033089505345082
cycle116_rank1_obj6,116.0,recursive_rollout,velocity,0.015084039830526308,0.077592205372639,20.665281381140044,0.35990569979233655,4.033089505345082
cycle116_rank1_obj6,116.0,teacher_forced,event_pca_ridge,6.501806896149872e-05,0.005768436487884291,41.91156288410006,0.9842901901713182,4.033089505345082
cycle116_rank1_obj6,116.0,teacher_forced,persistence,7.752781347071211e-05,0.006847772026254285,41.112471038423855,0.973448719340736,4.033089505345082
cycle116_rank1_obj6,116.0,teacher_forced,velocity,0.00021923483009525245,0.011545285522457092,36.59844884255149,0.9298594479128434,4.033089505345082
cycle116_rank2_obj2,116.0,recursive_rollout,event_pca_ridge,0.0003880475560436025,0.007673040730878711,35.992884689215145,0.9756352715088633,4.159234021974196
cycle116_rank2_obj2,116.0,recursive_rollout,persistence,0.00024758412519076956,0.007276963937329128,37.30903231569173,0.9782215471806052,4.159234021974196
cycle116_rank2_obj2,116.0,recursive_rollout,velocity,0.008924694165671099,0.06164365814765915,22.95327642481845,0.39897256831549727,4.159234021974196
cycle116_rank2_obj2,116.0,teacher_forced,event_pca_ridge,3.459703997753921e-05,0.004259749871468352,44.63065488128055,0.9899232005427292,4.159234021974196
cycle116_rank2_obj2,116.0,teacher_forced,persistence,4.219160895914801e-05,0.0050437115132808685,43.75363810323001,0.9833075954325328,4.159234021974196
cycle116_rank2_obj2,116.0,teacher_forced,velocity,0.0001228026362256177,0.008623305798297929,39.11458652401433,0.9526398423880668,4.159234021974196
cycle116_rank3_obj9,116.0,recursive_rollout,event_pca_ridge,0.0006480873553300626,0.013228974479716271,33.552787870387064,0.9589169963564969,4.261017170280639
cycle116_rank3_obj9,116.0,recursive_rollout,persistence,0.0004128637513076683,0.012016173684969544,34.86833095049343,0.9604121384521326,4.261017170280639
cycle116_rank3_obj9,116.0,recursive_rollout,velocity,0.020538013674922695,0.08853096127859317,19.477507316182624,0.3691514826473729,4.261017170280639
cycle116_rank3_obj9,116.0,teacher_forced,event_pca_ridge,6.906436101417057e-05,0.006092944873436805,41.62975052805475,0.9854846405709168,4.261017170280639
cycle116_rank3_obj9,116.0,teacher_forced,persistence,8.665521337177544e-05,0.007249958497742491,40.63119502636136,0.9758123320508096,4.261017170280639
cycle116_rank3_obj9,116.0,teacher_forced,velocity,0.00024849985915822005,0.012286520442895351,36.05707247432633,0.9353100279042684,4.261017170280639
cycle116_rank4_obj58,116.0,recursive_rollout,event_pca_ridge,0.0005653882249134767,0.013230495023890398,34.03066080695149,0.9680084135919775,3.625239010614535
cycle116_rank4_obj58,116.0,recursive_rollout,persistence,0.00035843185537487443,0.011969198298174888,35.30585432013194,0.9711199295115731,3.625239010614535
cycle116_rank4_obj58,116.0,recursive_rollout,velocity,0.022158141550789878,0.10054593725362793,18.940485192711602,0.3785547972375725,3.625239010614535
cycle116_rank4_obj58,116.0,teacher_forced,event_pca_ridge,8.488431499685131e-05,0.006712867322588159,40.73581559044842,0.9875193436526317,3.625239010614535
cycle116_rank4_obj58,116.0,teacher_forced,persistence,0.0001007236203276402,0.007808494967438521,39.97285302254617,0.9797096570923616,3.625239010614535
cycle116_rank4_obj58,116.0,teacher_forced,velocity,0.0002998267995163558,0.013465276258366724,35.235091903080125,0.9428995503343613,3.625239010614535
cycle116_rank7_obj37,116.0,recursive_rollout,event_pca_ridge,0.000650234722343157,0.016233333124546334,33.0068156833855,0.9571914357088861,3.780379242324946
cycle116_rank7_obj37,116.0,recursive_rollout,persistence,0.00047866564364085207,0.01557813273393549,33.6122417928878,0.9539506973122203,3.780379242324946
cycle116_rank7_obj37,116.0,recursive_rollout,velocity,0.04578968056739541,0.14164792641531676,15.717744237806988,0.3326200667182288,3.780379242324946
cycle116_rank7_obj37,116.0,teacher_forced,event_pca_ridge,0.00015945408367476756,0.009668950532232561,37.98317826413119,0.9778112170039391,3.780379242324946
cycle116_rank7_obj37,116.0,teacher_forced,persistence,0.00023425294174587413,0.011963791454270963,36.30586181069621,0.9614425418289027,3.780379242324946
cycle116_rank7_obj37,116.0,teacher_forced,velocity,0.0006839388515800238,0.0204426477392835,31.652624232912355,0.9014112865448076,3.780379242324946
cycle116_rank8_obj20,116.0,recursive_rollout,event_pca_ridge,0.0006801684799029317,0.013344945342396386,33.37833650309009,0.9669165885415933,3.987079460919189
cycle116_rank8_obj20,116.0,recursive_rollout,persistence,0.00035077177426501294,0.010562569223111495,35.71338091462801,0.9785319971545787,3.987079460919189
cycle116_rank8_obj20,116.0,recursive_rollout,velocity,0.016093742691737134,0.08496487746015191,20.31983766351045,0.4686777460975284,3.987079460919189
cycle116_rank8_obj20,116.0,teacher_forced,event_pca_ridge,9.994144479165815e-05,0.006756170382422786,40.034623049839645,0.9899023316228898,3.987079460919189
cycle116_rank8_obj20,116.0,teacher_forced,persistence,7.998734907878022e-05,0.006885233515452954,40.98485613202772,0.9864834124707033,3.987079460919189
cycle116_rank8_obj20,116.0,teacher_forced,velocity,0.00023649895334646346,0.011865818302237218,36.27787915446975,0.9615710460194009,3.987079460919189
cycle86_rank2_obj6,86.0,recursive_rollout,event_pca_ridge,0.0007274599122411018,0.013015587581321597,33.93204588216891,0.9161114609856243,5.344092852173012
cycle86_rank2_obj6,86.0,recursive_rollout,persistence,0.0005184365295463067,0.011767904259613715,35.35357599678918,0.927712081360278,5.344092852173012
cycle86_rank2_obj6,86.0,recursive_rollout,velocity,0.008092235409094428,0.059785392484627664,23.25384650691932,0.4209742569445436,5.344092852173012
cycle86_rank2_obj6,86.0,teacher_forced,event_pca_ridge,0.0001746079987271749,0.0074647896051887545,38.34847523046367,0.9752573607623398,5.344092852173012
cycle86_rank2_obj6,86.0,teacher_forced,persistence,5.060680585654242e-05,0.005210596977943374,43.465127871491525,0.9832779039309234,5.344092852173012
cycle86_rank2_obj6,86.0,teacher_forced,velocity,0.00013594416222692797,0.00881968660941047,38.85515678277721,0.9541309196383435,5.344092852173012
cycle86_rank3_obj5,86.0,recursive_rollout,event_pca_ridge,0.0014776113948755665,0.019375976364244707,30.813889222621327,0.8810707346669265,4.595016519669338
cycle86_rank3_obj5,86.0,recursive_rollout,persistence,0.0008917226100493281,0.015666949431761168,32.812476424841485,0.9138786245787901,4.595016519669338
cycle86_rank3_obj5,86.0,recursive_rollout,velocity,0.016809190530238993,0.07975947292288765,20.243689318240353,0.37469721285003893,4.595016519669338
cycle86_rank3_obj5,86.0,teacher_forced,event_pca_ridge,0.00022531193075513828,0.009191403916526225,36.96102539758415,0.9668910916938,4.595016519669338
cycle86_rank3_obj5,86.0,teacher_forced,persistence,9.925157205396963e-05,0.007193012298235009,40.636453245243025,0.971777989927394,4.595016519669338
cycle86_rank3_obj5,86.0,teacher_forced,velocity,0.00025773032440713816,0.0120429732205887,36.12768110318693,0.9270977605153051,4.595016519669338
cycle86_rank4_obj9,86.0,recursive_rollout,event_pca_ridge,0.0021907234888658422,0.021999681906891055,29.58878482106994,0.8956865073633623,3.518927813373632
cycle86_rank4_obj9,86.0,recursive_rollout,persistence,0.001635623271795339,0.019662550272187218,30.779056469117155,0.9072386477350589,3.518927813373632
cycle86_rank4_obj9,86.0,recursive_rollout,velocity,0.019258806899415504,0.08694383851252496,19.580931319310345,0.40516326656174373,3.518927813373632
cycle86_rank4_obj9,86.0,teacher_forced,event_pca_ridge,0.0004672905638618695,0.011833556837612582,34.54762482061296,0.9632339624468806,3.518927813373632
cycle86_rank4_obj9,86.0,teacher_forced,persistence,0.0001321576377038934,0.008169290774892415,39.55549282501275,0.9749074651423094,3.518927813373632
cycle86_rank4_obj9,86.0,teacher_forced,velocity,0.00033390694936256737,0.013674125766321536,35.03916369921806,0.9349036356537093,3.518927813373632
cycle86_rank5_obj8,86.0,recursive_rollout,event_pca_ridge,0.0010118616696672689,0.015688048413721845,32.18500374079342,0.9169972617186547,5.377963073534964
cycle86_rank5_obj8,86.0,recursive_rollout,persistence,0.0007541419163317187,0.013990254388772883,33.80860589299226,0.9298482620032703,5.377963073534964
cycle86_rank5_obj8,86.0,recursive_rollout,velocity,0.009015513674512476,0.06327121102367528,22.77406363958507,0.46958288892303207,5.377963073534964
cycle86_rank5_obj8,86.0,teacher_forced,event_pca_ridge,0.00037746198006883083,0.0096547354703709,35.33447278761624,0.9704358745095201,5.377963073534964
cycle86_rank5_obj8,86.0,teacher_forced,persistence,5.64245889226215e-05,0.005389001701147326,43.13961206292799,0.9850794893131722,5.377963073534964
cycle86_rank5_obj8,86.0,teacher_forced,velocity,0.0001463314408958409,0.00907944347108564,38.58288053624653,0.9590972476860188,5.377963073534964
cycle86_rank8_obj17,86.0,recursive_rollout,event_pca_ridge,0.003123359840174089,0.026295984018361196,27.789836990952956,0.8322794375805339,3.8991914755100505
cycle86_rank8_obj17,86.0,recursive_rollout,persistence,0.0018146022769087722,0.020403524773428217,30.706341129118552,0.8890039592779657,3.8991914755100505
cycle86_rank8_obj17,86.0,recursive_rollout,velocity,0.018280566426255973,0.09149014670401812,19.727733715519342,0.44928536046725537,3.8991914755100505
cycle86_rank8_obj17,86.0,teacher_forced,event_pca_ridge,0.0006555967378400026,0.013853732496500015,32.82576089428458,0.9489081032908256,3.8991914755100505
cycle86_rank8_obj17,86.0,teacher_forced,persistence,0.00011381456786165796,0.007487033178368884,40.3044393549382,0.9818218232910266,3.8991914755100505
cycle86_rank8_obj17,86.0,teacher_forced,velocity,0.0002929321903314802,0.01265537780859778,35.684300650785545,0.9511111577722483,3.8991914755100505
