roi_id,cycleNo,source_stem,front_candidate_rank,object_candidate_rank,validation_score,validation_tier,crop_x0,crop_y0,crop_x1,crop_y1,center_x_full_px,center_y_full_px,n_frames,elapsed_s,roi_mean_delta_corrected,active_fraction_first,active_fraction_last,trace_csv,plot_png,crop_preview_png,direction,mean_last_delta,baseline_frames,threshold,noise_mad_sigma,radius2_slope_full_px2_per_s,radius2_slope_r2,radius2_slope_n_fit,apparent_diffusion_proxy_full_px2_per_s,area_equiv_radius2_slope_full_px2_per_s,area_equiv_radius2_slope_r2,p90_radius2_slope_full_px2_per_s,p90_radius2_slope_r2,stage_drift_xy
cycle62_front3_obj9,62.0,7_c2_x10_290623,3,9,3.4465281481485666,control_balancing,702,222,894,414,798.3291139240506,318.0253164556962,32,9242.495077371597,28.61328125,0.04456922743055555,0.18766276041666666,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle62_front3_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle62_front3_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle62_front3_obj9_crop_preview.png,1.0,50.94731140136719,5,341.151472265625,113.71715742187499,-0.10016479520159115,0.09004688635730385,32,-0.025041198800397787,0.2309078045272736,0.8388901080122694,-0.05665848470141448,0.05087685461419311,0.2500244143604941
cycle62_front1_obj4,62.0,7_c2_x10_290623,1,4,2.934240955613564,control_balancing,1081,928,1273,1120,1176.79012345679,1024.3456790123457,32,9242.495077371597,39.19140625,0.041178385416666664,0.178955078125,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle62_front1_obj4_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle62_front1_obj4_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle62_front1_obj4_crop_preview.png,1.0,29.840126037597656,5,340.69539902343746,113.56513300781249,0.013851689625888286,0.00272138880465167,32,0.0034629224064720715,0.1801003657186201,0.7725586227578546,-0.1012095368285208,0.3167544732157008,0.2500244143604941
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,1.1201096634850307,control_balancing,470,71,662,263,566.4,166.8,32,9242.495077371597,0.748046875,0.043782552083333336,0.21826171875,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle62_front4_obj1_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle62_front4_obj1_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle62_front4_obj1_crop_preview.png,1.0,6.034795761108398,5,345.19314990234375,115.06438330078124,0.09473454198972837,0.04938711488074432,32,0.023683635497432094,0.21696802851768637,0.908834501174869,0.4488554709876698,0.14939293452450164,0.2500244143604941
cycle86_front2_obj6,86.0,10_c2_x10_030723,2,6,3.0930795112716725,event_comparator,1240,76,1432,268,1335.859296482412,171.678391959799,32,9098.54734659195,-1.8193359375,0.021375868055555556,0.10015190972222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle86_front2_obj6_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle86_front2_obj6_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle86_front2_obj6_crop_preview.png,1.0,18.36862564086914,5,325.8491291015625,108.6163763671875,-0.17717012247155645,0.15838098040947957,32,-0.04429253061788911,0.11945377052043663,0.16430426332227333,-0.2938143049946933,0.08246353037532128,0.22363409516745456
cycle86_front6_obj78,86.0,10_c2_x10_030723,6,78,2.828290284175686,event_comparator,455,118,647,310,550.9333333333333,214.4,32,9098.54734659195,-1.4853515625,0.023410373263888888,0.1013454861111111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle86_front6_obj78_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle86_front6_obj78_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle86_front6_obj78_crop_preview.png,1.0,12.824847221374512,5,324.3180260742187,108.10600869140625,-0.15543094814208405,0.14830561114593133,32,-0.03885773703552101,0.11653241474080686,0.22824561292849144,0.12101225845176683,0.02377743363880369,0.22363409516745456
cycle86_front5_obj8,86.0,10_c2_x10_030723,5,8,2.4751395748073706,event_comparator,1565,95,1757,287,1660.7096774193549,191.1290322580645,32,9098.54734659195,1.4580078125,0.022488064236111112,0.10112847222222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle86_front5_obj8_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle86_front5_obj8_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle86_front5_obj8_crop_preview.png,1.0,37.709564208984375,5,318.756104296875,106.252034765625,-0.10456405312481827,0.16297544807328979,32,-0.026141013281204568,0.13799489292368075,0.11812694303408833,-0.056394694138723014,0.03540403858097896,0.22363409516745456
cycle88_front2_obj4,88.0,10_c2_x10_030723,2,4,2.548955071864824,control_balancing,1239,75,1431,267,1335.142857142857,170.57142857142858,32,9106.495541334152,3.564453125,0.02392578125,0.031114366319444444,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle88_front2_obj4_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle88_front2_obj4_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle88_front2_obj4_crop_preview.png,1.0,41.68055725097656,5,353.0636709960937,117.68789033203124,-0.0590934554675748,0.04563387141159814,32,-0.0147733638668937,0.1445933031830604,0.2278346135394208,0.021341444328093425,0.0009932046303942066,0.18026741406264754
cycle88_front3_obj6,88.0,10_c2_x10_030723,3,6,0.5240252181444861,control_balancing,1087,987,1279,1179,1182.9565217391305,1082.8695652173913,32,9106.495541334152,-3.455078125,0.027696397569444444,0.029242621527777776,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle88_front3_obj6_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle88_front3_obj6_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle88_front3_obj6_crop_preview.png,-1.0,-4.498959064483643,5,338.7212534179687,112.90708447265624,0.10402689063303673,0.2014212542735514,32,0.026006722658259183,0.10855301491715735,0.2824724285741683,0.10432528496331617,0.34132897350030167,0.18026741406264754
cycle88_front4_obj8,88.0,10_c2_x10_030723,4,8,0.2729973845536271,control_balancing,1565,94,1757,286,1660.7633587786258,189.74045801526717,32,9106.495541334152,-0.58203125,0.02490234375,0.033501519097222224,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle88_front4_obj8_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle88_front4_obj8_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle88_front4_obj8_crop_preview.png,1.0,44.67255401611328,5,342.6174219726562,114.20580732421874,-0.02018697237847014,0.01115696051703885,32,-0.005046743094617535,0.17417020066907168,0.18509587834216223,-0.07376158583662898,0.06680884909269091,0.18026741406264754
cycle88_front5_obj9,88.0,10_c2_x10_030723,5,9,0.0221993187878007,control_balancing,714,288,906,480,810.4086021505376,383.65591397849454,32,9106.495541334152,-23.4931640625,0.05124240451388889,0.04324001736111111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle88_front5_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle88_front5_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle88_front5_obj9_crop_preview.png,1.0,14.348917961120605,5,337.42253056640624,112.47417685546874,-0.11899280403533424,0.21095205882698564,32,-0.02974820100883356,0.14758415319982196,0.23243060718633302,-0.003825477944508502,0.00015580522263736185,0.18026741406264754
