cycleNo,event_reference_cycle,n_frames_percentile,V_mean,I_mean_mA,trace_lag2_particle_norm_range,trace_lag2_particle_norm_std,trace_lag4_delta_std_across_particles,lag16_trace_predprob_future_any_drop_within_8cycles,trace_lag4_particle_norm_cv,trace_lag2_particle_norm_cv,trace_lag16_frames_percentile,trace_lag16_max_abs_delta_prev,trace_lag16_n_frames,trace_lag4_V_max,trace_lag16_delta_std_across_particles,trace_lag8_frames_percentile,trace_lag8_n_frames,trace_lag8_future_sync2_drop_within_8cycles,trace_lag16_V_max,trace_lag16_coulombic_efficiency_pct,trace_lag2_particle_norm_mean,trace_lag2_mean_delta_prev,trace_lag2_mean_abs_delta_prev,trace_lag2_max_abs_delta_prev,trace_lag2_delta_std_across_particles,trace_lag2_capacity_mAh,trace_lag2_coulombic_efficiency_pct,trace_lag2_V_max,trace_lag2_n_frames,trace_lag2_frames_percentile,trace_lag4_particle_norm_mean,trace_lag4_particle_norm_std,trace_lag4_particle_norm_range,trace_lag4_mean_delta_prev,trace_lag4_mean_abs_delta_prev,trace_lag4_max_abs_delta_prev,trace_lag4_capacity_mAh,trace_lag4_coulombic_efficiency_pct,trace_lag4_n_frames,trace_lag4_frames_percentile,trace_lag8_particle_norm_mean,trace_lag8_particle_norm_std,trace_lag8_particle_norm_range,trace_lag8_particle_norm_cv,trace_lag8_mean_delta_prev,trace_lag8_mean_abs_delta_prev,trace_lag8_max_abs_delta_prev,trace_lag8_delta_std_across_particles,trace_lag8_capacity_mAh,trace_lag8_coulombic_efficiency_pct,trace_lag8_V_max,trace_lag16_particle_norm_mean,trace_lag16_particle_norm_std,trace_lag16_particle_norm_range,trace_lag16_particle_norm_cv,trace_lag16_mean_delta_prev,trace_lag16_mean_abs_delta_prev,trace_lag16_capacity_mAh,phase_slope_positive_fraction_protocol_residual,phase_slope_median_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,q70_logistic_k_per_s,q70_transformed_fraction_delta,is_event_enriched_mode,mode_review_priority
58.0,60.0,0.3539325842696629,3.828237694919734,0.0163604508805609,0.1152094717668488,0.048043604485752,0.0251628931927102,0.1146862552296785,0.0331363438877294,0.0459212389557421,0.4382022471910112,0.1111111111111111,925.0,4.200073,0.0624274163063027,0.4044943820224719,924.0,0.0,4.200073,98.73712122331123,1.0462175145591217,0.0232371918212371,0.0232371918212371,0.0555555555555555,0.0233246866886321,0.6375714923988263,98.80849336059764,4.200073,913.0,0.3033707865168539,1.0229803227378844,0.033897827764623,0.0801457194899819,-0.0375865850842762,0.0375865850842762,0.0532786885245903,0.6398704223287225,98.85090799924473,924.0,0.4044943820224719,1.0651709895071706,0.0387118998861892,0.0947176684881603,0.0363433667153292,0.0705456784422381,0.0705456784422381,0.1666666666666667,0.0668788256133141,0.6399385683032753,98.86951111059348,4.200073,0.9589528977141538,0.0438231690067199,0.0901639344262296,0.0456989797008599,-0.0220804792324072,0.0416717976346237,0.6433550351988286,0.0849698428160106,-8.16918744497105e-08,0.12359006983401724,0.0024414833970203,0.005392795138888851,0.0,2.5769230769230766
60.0,60.0,0.3707865168539326,3.829972590648973,0.0216442830997643,0.1584699453551914,0.067144062829237,0.0233246866886321,0.0470147585211854,0.0459212389557421,0.0625885346797245,0.4382022471910112,0.1111111111111111,925.0,4.200073,0.018954183681597,0.4382022471910112,925.0,0.0,4.202003,97.30886282905732,1.0727853459555146,0.0265678313963929,0.0265678313963929,0.0555555555555555,0.0225159921799737,0.6391710499937513,98.7462520346092,4.201038,919.0,0.3539325842696629,1.0462175145591217,0.048043604485752,0.1152094717668488,0.0232371918212371,0.0232371918212371,0.0555555555555555,0.6375714923988263,98.80849336059764,913.0,0.3033707865168539,1.060566907822161,0.0240779323845789,0.0532786885245901,0.0227028886221069,-0.0046040816850098,0.0231736960927679,0.0555555555555555,0.0341221232436001,0.6399538715053725,98.87612597794325,4.200073,1.048009825803638,0.0479741426807458,0.1111111111111111,0.0457764245139191,0.0890569280894839,0.0890569280894839,0.6335059760529974,0.1594674278574455,-1.6560438034610725e-07,0.09903924265082215,0.00243722845323285,0.00403645833333325,1.0,3.2019230769230766
62.0,60.0,0.3370786516853932,3.8226030426780016,0.002895681360255,0.1047358834244078,0.0457591210743852,0.0225159921799737,0.2283452018960393,0.0625885346797245,0.045761791950413,0.3539325842696629,0.0555555555555555,919.0,4.201038,0.0140445325639413,0.4044943820224719,924.0,0.0,4.200073,98.9004507671446,0.999941635239488,-0.0728437107160266,0.0728437107160266,0.2222222222222223,0.0997075820649382,0.6398820700465511,98.8206540493392,4.20181,920.0,0.3707865168539326,1.0727853459555146,0.067144062829237,0.1584699453551914,0.0265678313963929,0.0265678313963929,0.0555555555555555,0.6391710499937513,98.7462520346092,919.0,0.3539325842696629,1.0229803227378844,0.033897827764623,0.0801457194899819,0.0331363438877294,-0.0375865850842762,0.0375865850842762,0.0532786885245903,0.0251628931927102,0.6398704223287225,98.85090799924473,4.200073,1.0106852407706717,0.0378445801915529,0.0801457194899819,0.0374444769399181,-0.0373245850329664,0.0373245850329664,0.6398801285556821,-0.0739292207347166,-6.584448904851842e-07,-0.07822649264087495,0.00247013254782635,0.006890190972222101,0.0,2.8028846153846154
86.0,86.0,0.0786516853932584,3.821635612224316,0.0034861829990025,0.0614754098360657,0.0257844047431798,0.0343971085362241,0.1391563169396411,0.0893848514380681,0.024618071576446,0.3033707865168539,0.1111111111111111,913.0,4.202196,0.0357754112822669,0.2528089887640449,908.0,1.0,4.200459,98.62141113462258,1.0473771133174274,-0.0316141383822057,0.0537683752789964,0.1666666666666667,0.0909033319177922,0.626931303671796,98.85731468571622,4.200073,907.0,0.2359550561797752,1.0789912516996332,0.0964454727361468,0.2058287795992714,0.0042202211447189,0.0235575566330588,0.0555555555555555,0.6285797414432752,98.51204426720564,905.0,0.2022471910112359,1.0745199338105134,0.085711920649914,0.2032863849765259,0.079767641300016,-0.0572866158700838,0.0654833371815592,0.1666666666666665,0.0839453894041633,0.6281369715912719,98.81914382910963,4.201038,0.9774538854254856,0.0598538464816143,0.1457194899817852,0.0612344453012839,0.0597940557736216,0.0597940557736216,0.6342278371662973,0.0650642115750638,-4.4954076051625593e-07,0.08624199536014605,0.00240063841007345,0.008170572916666601,0.0,1.7548076923076923
88.0,86.0,0.1797752808988764,3.831200505021645,0.0275566391094619,0.1001821493624771,0.0425656578112455,0.0909033319177922,0.3180088013305009,0.024618071576446,0.0470781101932601,0.2808988764044944,0.0555555555555555,911.0,4.200073,0.0306685953587186,0.2247191011235955,906.0,1.0,4.200073,98.65242860018937,0.9041496703353088,-0.1432274429821185,0.1432274429821185,0.1680327868852459,0.0247002224180334,0.623164453387729,98.59700920601584,4.200073,899.0,0.0786516853932584,1.0473771133174274,0.0257844047431798,0.0614754098360657,-0.0316141383822057,0.0537683752789964,0.1666666666666667,0.626931303671796,98.85731468571622,907.0,0.2359550561797752,1.074771030554914,0.0620951297102047,0.133879781420765,0.057775217181044,0.0002510967444007,0.039185522973909,0.0788732394366197,0.0561618844453971,0.6281793822546397,98.83713792081356,4.200845,0.961579311937197,0.0353108450625115,0.0819672131147539,0.036721718764284,-0.0158745734882884,0.0241982862567023,0.6336484013776601,-0.0437833588005094,-4.801049701063589e-07,0.01804603166138375,0.0026198160505702,0.00596788194444435,0.0,1.2788461538461537
90.0,86.0,0.1629213483146067,3.827082278554738,0.0214392907791812,0.24408014571949,0.1059074017251927,0.0247002224180334,0.2893341463203854,0.0470781101932601,0.1170367635251748,0.2696629213483146,0.0614754098360655,910.0,4.200073,0.0281958448511543,0.2022471910112359,905.0,1.0,4.200073,98.03900241291728,0.9049071294799764,0.0007574591446675,0.054798096410888,0.1111111111111111,0.0743728411673913,0.625657274255596,99.09615709756363,4.200073,904.0,0.1797752808988764,0.9041496703353088,0.0425656578112455,0.1001821493624771,-0.1432274429821185,0.1432274429821185,0.1680327868852459,0.623164453387729,98.59700920601584,899.0,0.0786516853932584,1.0789912516996332,0.0964454727361468,0.2058287795992714,0.0893848514380681,0.0042202211447189,0.0235575566330588,0.0555555555555555,0.0343971085362241,0.6285797414432752,98.51204426720564,4.202196,1.002560032325098,0.0179696125605041,0.0430270145462939,0.017923727239385,0.0409807203879011,0.0409807203879011,0.6312882726381965,-0.0178277307758196,-5.348242282383363e-07,-0.16818406286960194,0.0024747137793308,0.00126953124999995,0.0,1.0625
116.0,116.0,0.0112359550561797,3.903938643271297,0.0070410067032469,0.1156648451730419,0.0552295171363816,0.0283710406918667,0.8649218692565825,0.0410413693675595,0.0473168513871471,0.0786516853932584,0.0573770491803278,899.0,4.400058,0.0235225232167787,0.1629213483146067,902.0,1.0,4.200845,99.00715790899734,1.1672272249159803,0.0352119089766283,0.0352119089766283,0.0555555555555555,0.0148960514894658,0.8279939523711375,98.56611683914352,4.403532,900.0,0.1179775280898876,1.132015315939352,0.0464594587112015,0.0983606557377048,0.0320717565868802,0.0320717565868802,0.0563380281690142,0.831203029316235,99.25550518434362,901.0,0.1404494382022472,1.1588983811796096,0.0964927331414832,0.2040072859744988,0.0832624626183928,-0.0159432001847148,0.0159432001847148,0.0309859154929577,0.012660626004548,0.623962989806186,98.59027240129016,4.201038,1.1122357551502091,0.0389437460132965,0.0942622950819671,0.0350139310240364,0.0295832371276841,0.0295832371276841,0.6271394643536904,0.0026455239053564,4.0662308828166e-07,0.03075165403364715,-6.12374948241e-05,-0.0003255208333333,0.0,0.8557692307692306
118.0,116.0,0.0786516853932584,3.907195405317094,0.0171682831328283,0.23816029143898,0.1019946247789276,0.0148960514894658,0.8613335691617673,0.0473168513871471,0.1056420171213876,0.0786516853932584,0.0555555555555555,899.0,4.403532,0.0253878331461698,0.1179775280898876,900.0,1.0,4.200652,98.76904183464588,0.965474037302137,-0.2017531876138433,0.2017531876138433,0.2622950819672129,0.0655718888871915,0.824414588297882,98.39927188340005,4.401795,892.0,0.0112359550561797,1.1672272249159803,0.0552295171363816,0.1156648451730419,0.0352119089766283,0.0352119089766283,0.0555555555555555,0.8279939523711375,98.56611683914352,900.0,0.1179775280898876,1.099943559352472,0.0541952710357459,0.1147540983606558,0.0492709562912939,-0.0589548218271377,0.0589548218271377,0.1666666666666665,0.0719768670915561,0.6265993163629001,99.00844061867976,4.200845,1.0911747351137793,0.0383612534332008,0.0837887067395264,0.0351559215941714,-0.0210610200364298,0.0210610200364298,0.6269655434009839,-0.0045616643801136,-3.430399510465069e-07,0.0781007411069725,0.0018203442526986,0.0008138020833333,0.0,0.7884615384615385
156.0,156.0,0.9101123595505618,,,0.1202185792349723,0.0579641620298565,0.0453339513901318,0.0283145652288551,0.0814738321503553,0.048300138190139,0.9775280898876404,0.0338028169014086,1253.0,,0.0153399883206522,0.8764044943820225,1240.0,0.0,4.607572,98.2102232792842,1.2000827368583082,0.0319979989224967,0.0554336950665744,0.1666666666666667,0.0913287641082308,,,,1228.0,0.7921348314606742,1.1685904589650835,0.0952095429062279,0.2313296903460835,-0.0432736216937326,0.0432736216937326,0.1111111111111111,,,1235.0,0.8202247191011236,1.2230762077015829,0.103232647910711,0.2495446265938068,0.0844041011186922,0.007614356448344,0.0201634213294337,0.0555555555555555,0.0326973490488765,0.8459858724847423,97.966336448007,4.603132,1.1414986274660714,0.0493716943830019,0.1065573770491805,0.043251645858391,-0.0166474255368274,0.0166474255368274,0.8574621449629688,0.0296361115027952,-1.4554863547996005e-07,0.065507401228532,0.40737703157431515,0.1673719618055555,1.0,2.8365384615384617
157.0,156.0,0.7696629213483146,,,0.1757741347905279,0.0746857137132471,0.0382228553994484,0.024892914270075,0.1123580749219723,0.0631431618671266,0.9550561797752808,0.0555555555555555,1251.0,,0.0262106856669547,0.8651685393258427,1238.0,0.0,4.607572,98.2008539552411,1.1827997126657943,-0.0172830241925139,0.0186914748967392,0.0555555555555555,0.026884245366058,,,,1228.0,0.7921348314606742,1.1680847379358117,0.1312437525002043,0.319672131147541,-0.000505721029272,0.0272720567485056,0.0555555555555555,,,1231.0,0.8089887640449438,1.2303118345775932,0.1059915851243236,0.2577413479052823,0.0861501792841926,0.0072356268760102,0.0072356268760102,0.0122950819672131,0.0051753421010115,0.8448736903676513,98.04171255725868,4.604096999999999,1.123511377921445,0.0588841057462289,0.1411657559198542,0.0524107783004099,-0.0179872495446266,0.0179872495446266,0.8573090855082833,-0.0888448999578106,-1.3984702354610358e-07,0.053373286374291194,0.4590483568483379,-0.0663194444444444,0.0,2.5336538461538463
