heldout_cycle_block,n_train,n_test,event_rate_test,roc_auc,balanced_accuracy
2,79,10,0.4,1.0,0.5
3,79,10,0.1,1.0,1.0
4,79,10,0.3,0.8571428571428572,0.7619047619047619
5,79,10,0.4,0.625,0.41666666666666663
7,70,19,0.42105263157894735,0.9318181818181818,0.5625
3,79,10,0.1,1.0,0.8888888888888888
4,79,10,0.3,0.8571428571428572,0.9285714285714286
5,79,10,0.4,0.625,0.6666666666666666
