k,inertia,silhouette
2,759.8875438450045,0.2661756152294208
3,643.0793372944838,0.2350444048218543
4,569.3424563100826,0.23326834977331162
5,504.416757653738,0.22685082848049948
6,442.6365731992154,0.25491897898105353
