roi_id,cycleNo,source_stem,local_cycle_index,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,x_bin,y_bin,xy_region,transferred_masked_residual_signature,validation_score_recon,radius2_slope_median_px2_per_s,diffusion_proxy_median_um2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,phase_slope_positive_fraction,threshold_robust_phase_score,threshold_robust_diffusion_score,persistence_particle_mse_fraction_of_full_mean,velocity_particle_mse_fraction_of_full_mean,mask_instability_score,node_index
cycle151_rank14_obj2,151.0,17_c2_x10_HighHighCOV_150723,5,1,1,0,1200.0701754385964,1107.2280701754387,mid,high,mid_high,1.4388691546947752,23.563481321149823,0.0042699960166277,9.838070822310428e-06,0.0041028700114584,0.0070774542369489,1.0,1.2916666666666663,0.6875,1.8348492774237868,1.7492969560184195,2.140486797928024,0
cycle150_rank13_obj3,150.0,17_c2_x10_HighHighCOV_150723,4,1,1,0,1201.6,1103.115789473684,mid,high,mid_high,40.97186183003927,24.22269481700766,0.0022394574689418,5.15971000844208e-06,0.0022904856161324,0.0049751380043663,1.0,1.25,0.5486111111111112,1.3729633191500403,1.2397749874592123,1.142903620627075,1
cycle150_rank13_obj2,150.0,17_c2_x10_HighHighCOV_150723,4,1,1,0,824.7317073170732,396.6829268292683,low,mid,low_mid,40.97186183003927,24.44919068072933,0.0007317504868457,1.685953121692708e-06,0.0006720700934092,0.0017428272518736,1.0,1.0,0.8402777777777779,1.5793839369871592,1.4788672162514565,0.5748033877889499,2
cycle158_rank12_obj3,158.0,18_c2_xN_HighHighCOV_170723,2,0,0,0,821.1692307692308,324.55384615384617,low,mid,low_mid,0.1268052199398837,23.792022616705456,0.0002910999227354,6.706942219824927e-07,0.0004032799977385,0.0007020745446107,1.0,0.9861111111111112,0.0902777777777777,2.934190128744058,1.859992329878,0.8947755537454258,3
cycle76_rank8_obj2,76.0,9_c2_x10_010723,1,0,1,0,1190.9818181818182,1047.490909090909,mid,high,mid_high,0.2739127589669339,25.083032624261563,0.0003649855616665,8.409267340797663e-07,0.0002471315436033,0.0007968862264942,1.0,0.986111111111111,0.826388888888889,0.9693747266642662,0.9184087210067672,0.1262177448463502,4
cycle78_rank22_obj2,78.0,9_c2_x10_010723,3,1,1,0,1188.0625,1042.8125,mid,high,mid_high,0.2683863942126585,24.49773808606248,0.0015002222799752,3.456512133062921e-06,0.0014662539025067,0.0018347705672022,1.0,0.9583333333333331,0.7986111111111112,1.0153278215235606,0.9160143766228234,0.207056541648032,5
cycle143_rank10_obj1,143.0,16_c2_x10_HighHighCOV_130723,7,0,1,0,1200.0898876404494,1101.6179775280898,mid,high,mid_high,0.2351301084038065,23.938501501741023,-0.0013660323629232,-3.1473385641751546e-06,-0.0013595475369872,-0.0009608854606752,0.0,0.9444444444444444,0.4930555555555556,1.092010671031877,1.0054645724391165,0.2881131694967569,6
cycle149_rank20_obj1,149.0,17_c2_x10_HighHighCOV_150723,3,1,1,0,824.8888888888889,396.7407407407408,low,mid,low_mid,0.5580241541936951,24.13169896898958,0.0007853276345363,1.809394869971684e-06,0.0003773558608171,0.0014973885505387,1.0,0.9444444444444444,0.0069444444444444,1.5804751652539413,1.5292847961159537,0.676565592045472,7
cycle150_rank13_obj1,150.0,17_c2_x10_HighHighCOV_150723,4,1,1,0,846.2068965517242,84.27586206896552,low,low,low_low,40.97186183003927,25.41021438047652,-0.0003881722560603,-8.94348877963008e-07,-0.0006491593506401,0.0003309909206249,1.0,0.9444444444444444,-0.0486111111111111,1.184093745551456,1.0981400440923117,2.320054649612711,8
cycle149_rank20_obj2,149.0,17_c2_x10_HighHighCOV_150723,3,1,1,0,1201.3478260869565,1102.4347826086955,mid,high,mid_high,0.5580241541936951,23.95836335409321,0.0002825828491831,6.51070884517866e-07,0.0002134931357361,0.0024252239635009,1.0,0.875,0.2708333333333333,1.344147483500472,1.272642976398534,2.1313904206259275,9
cycle140_rank9_obj2,140.0,16_c2_x10_HighHighCOV_130723,4,0,1,0,1199.6153846153843,1106.0,mid,high,mid_high,0.2389476922815127,23.56051462566941,0.0034755232960976,8.007605674208981e-06,0.0038073043177384,0.0046166125616525,0.0,0.8472222222222222,1.2430555555555556,1.910156037787177,1.8568256936978185,2.1903873906204017,10
cycle143_rank10_obj2,143.0,16_c2_x10_HighHighCOV_130723,7,0,1,0,846.4126984126984,80.82539682539682,low,low,low_low,0.2351301084038065,24.19643345057739,-8.697162518123692e-05,-2.003826244175699e-07,-0.0001214944771425,0.000545598442058,0.0,0.8472222222222222,0.2083333333333333,0.9795743438449424,0.9185496848116576,0.6054830003973467,11
cycle139_rank11_obj2,139.0,16_c2_x10_HighHighCOV_130723,3,0,0,0,1200.516129032258,1104.645161290323,mid,high,mid_high,0.2177667218010263,23.937760651918044,0.0006156872332581,1.418543385426885e-06,0.0006700639930815,0.0029042691013874,0.0,0.8194444444444445,0.9097222222222224,1.6689001117651503,1.5378867495067017,1.8624272403977613,12
cycle129_rank7_obj2,129.0,14_c2_x10_HighCOV_110723,8,0,0,0,1202.7540983606557,1107.2131147540983,mid,high,mid_high,0.2863584478094875,24.688025072654327,0.0004992041665787,1.1501663997974038e-06,0.0004599308355222,0.0010789323290774,1.0,0.8194444444444444,0.5625,1.1797688619566378,1.0238377888786518,0.7607883510368783,13
cycle151_rank14_obj3,151.0,17_c2_x10_HighHighCOV_150723,5,1,1,0,1202.7692307692307,667.0769230769231,high,high,high_high,1.4388691546947752,24.11764540844328,0.0015428954829821,3.5548311927908026e-06,0.0015430619662956,0.0023487935166529,1.0,0.8055555555555556,0.7430555555555556,1.4045937091536236,1.424716900170897,0.915787102824694,14
