edge_type,src_roi_id,dst_roi_id,source_stem,src_cycleNo,dst_cycleNo,cycle_lag,spatial_rank,distance_px,distance_um_96nm,src_future8,dst_future8,same_future8,src_radius2_slope_median_px2_per_s,dst_radius2_slope_median_px2_per_s,abs_delta_radius2_slope_median_px2_per_s,src_diffusion_proxy_median_um2_per_s,dst_diffusion_proxy_median_um2_per_s,abs_delta_diffusion_proxy_median_um2_per_s,src_q70_radius2_slope_bootstrap_p50_px2_per_s,dst_q70_radius2_slope_bootstrap_p50_px2_per_s,abs_delta_q70_radius2_slope_bootstrap_p50_px2_per_s,src_q70_radius2_slope_bootstrap_p95_px2_per_s,dst_q70_radius2_slope_bootstrap_p95_px2_per_s,abs_delta_q70_radius2_slope_bootstrap_p95_px2_per_s,src_phase_slope_positive_fraction,dst_phase_slope_positive_fraction,abs_delta_phase_slope_positive_fraction,src_threshold_robust_phase_score,dst_threshold_robust_phase_score,abs_delta_threshold_robust_phase_score,src_threshold_robust_diffusion_score,dst_threshold_robust_diffusion_score,abs_delta_threshold_robust_diffusion_score,src_persistence_particle_mse_fraction_of_full_mean,dst_persistence_particle_mse_fraction_of_full_mean,abs_delta_persistence_particle_mse_fraction_of_full_mean,src_velocity_particle_mse_fraction_of_full_mean,dst_velocity_particle_mse_fraction_of_full_mean,abs_delta_velocity_particle_mse_fraction_of_full_mean,src_mask_instability_score,dst_mask_instability_score,abs_delta_mask_instability_score
same_cycle_spatial_knn,cycle151_rank14_obj2,cycle151_rank14_obj3,17_c2_x10_HighHighCOV_150723,151.0,151.0,0.0,1,440.1594224730591,42.25530455741367,1,1,1,0.0042699960166277,0.0015428954829821,0.0027271005336456,9.838070822310428e-06,3.5548311927908026e-06,6.283239629519626e-06,0.0041028700114584,0.0015430619662956,0.0025598080451628,0.0070774542369489,0.0023487935166529,0.004728660720296,1.0,1.0,0.0,1.2916666666666663,0.8055555555555556,0.4861111111111107,0.6875,0.7430555555555556,0.05555555555555558,1.8348492774237868,1.4045937091536236,0.4302555682701632,1.7492969560184195,1.424716900170897,0.3245800558475225,2.140486797928024,0.915787102824694,1.2246996951033302
same_cycle_spatial_knn,cycle151_rank14_obj2,cycle151_rank14_obj1,17_c2_x10_HighHighCOV_150723,151.0,151.0,0.0,2,1085.4132678255644,104.19967371125418,1,1,1,0.0042699960166277,0.001411542967969,0.0028584530486587,9.838070822310428e-06,3.2521949982006607e-06,6.585875824109768e-06,0.0041028700114584,0.0013806592304054,0.002722210781053,0.0070774542369489,0.0028908257167209,0.004186628520228,1.0,0.8571428571428571,0.1428571428571429,1.2916666666666663,-0.0833333333333334,1.3749999999999998,0.6875,0.5625,0.125,1.8348492774237868,1.563289421986431,0.2715598554373557,1.7492969560184195,1.6346991774399813,0.11459777857843823,2.140486797928024,2.240854109899392,0.10036731197136772
next_observed_cycle_spatial_knn,cycle151_rank14_obj2,cycle152_rank15_obj2,17_c2_x10_HighHighCOV_150723,151.0,152.0,1.0,1,2.788241929021995,0.2676712251861115,1,1,1,0.0042699960166277,0.0050829743412172,0.0008129783245895,9.838070822310428e-06,1.1711172882164502e-05,1.8731020598540733e-06,0.0041028700114584,0.0050876361616602,0.0009847661502018004,0.0070774542369489,0.0078842138461675,0.0008067596092185998,1.0,1.0,0.0,1.2916666666666663,0.7638888888888888,0.5277777777777775,0.6875,0.6875000000000001,1.1102230246251565e-16,1.8348492774237868,1.7097487058740553,0.12510057154973153,1.7492969560184195,1.60797223464682,0.14132472137159957,2.140486797928024,1.494019227387301,0.6464675705407232
next_observed_cycle_spatial_knn,cycle151_rank14_obj2,cycle152_rank15_obj3,17_c2_x10_HighHighCOV_150723,151.0,152.0,1.0,2,1076.2238736765376,103.31749187294761,1,1,1,0.0042699960166277,0.000583114018154,0.0036868819984737,9.838070822310428e-06,1.3434946978268669e-06,8.494576124483561e-06,0.0041028700114584,0.0005669596724774,0.003535910338981,0.0070774542369489,0.001185603971991,0.0058918502649579,1.0,0.1428571428571428,0.8571428571428572,1.2916666666666663,-0.0694444444444445,1.3611111111111107,0.6875,-0.1736111111111111,0.8611111111111112,1.8348492774237868,1.7643531010035276,0.07049617642025918,1.7492969560184195,1.719339392516826,0.0299575635015934,2.140486797928024,3.013044717475463,0.8725579195474387
next_observed_cycle_spatial_knn,cycle151_rank14_obj2,cycle152_rank15_obj1,17_c2_x10_HighHighCOV_150723,151.0,152.0,1.0,3,1083.8492497414002,104.04952797517441,1,1,1,0.0042699960166277,0.0025058447891082,0.0017641512275195,9.838070822310428e-06,5.773466394105487e-06,4.064604428204942e-06,0.0041028700114584,0.0024647808280699,0.0016380891833884998,0.0070774542369489,0.0045441240862077,0.0025333301507412,1.0,0.4285714285714285,0.5714285714285715,1.2916666666666663,-0.3194444444444445,1.6111111111111107,0.6875,0.7291666666666667,0.04166666666666674,1.8348492774237868,1.5084487608664945,0.3264005165572923,1.7492969560184195,1.573117729540031,0.17617922647838857,2.140486797928024,2.2111548743678737,0.07066807643984951
previous_observed_cycle_spatial_knn,cycle151_rank14_obj2,cycle150_rank13_obj3,17_c2_x10_HighHighCOV_150723,151.0,150.0,1.0,1,4.387620740070687,0.4212115910467859,1,1,1,0.0042699960166277,0.0022394574689418,0.0020305385476859,9.838070822310428e-06,5.15971000844208e-06,4.6783608138683485e-06,0.0041028700114584,0.0022904856161324,0.001812384395326,0.0070774542369489,0.0049751380043663,0.0021023162325826,1.0,1.0,0.0,1.2916666666666663,1.25,0.0416666666666663,0.6875,0.5486111111111112,0.13888888888888884,1.8348492774237868,1.3729633191500403,0.46188595827374646,1.7492969560184195,1.2397749874592123,0.5095219685592072,2.140486797928024,1.142903620627075,0.9975831773009491
previous_observed_cycle_spatial_knn,cycle151_rank14_obj2,cycle150_rank13_obj2,17_c2_x10_HighHighCOV_150723,151.0,150.0,1.0,2,803.587808758098,77.14442964077742,1,1,1,0.0042699960166277,0.0007317504868457,0.003538245529782,9.838070822310428e-06,1.685953121692708e-06,8.152117700617721e-06,0.0041028700114584,0.0006720700934092,0.0034307999180492,0.0070774542369489,0.0017428272518736,0.0053346269850753,1.0,1.0,0.0,1.2916666666666663,1.0,0.2916666666666663,0.6875,0.8402777777777779,0.1527777777777779,1.8348492774237868,1.5793839369871592,0.2554653404366276,1.7492969560184195,1.4788672162514565,0.27042973976696305,2.140486797928024,0.5748033877889499,1.5656834101390742
previous_observed_cycle_spatial_knn,cycle151_rank14_obj2,cycle150_rank13_obj1,17_c2_x10_HighHighCOV_150723,151.0,150.0,1.0,3,1082.4280300391697,103.91309088376029,1,1,1,0.0042699960166277,-0.0003881722560603,0.004658168272688,9.838070822310428e-06,-8.94348877963008e-07,1.0732419700273436e-05,0.0041028700114584,-0.0006491593506401,0.0047520293620985,0.0070774542369489,0.0003309909206249,0.006746463316324,1.0,1.0,0.0,1.2916666666666663,0.9444444444444444,0.3472222222222219,0.6875,-0.0486111111111111,0.736111111111111,1.8348492774237868,1.184093745551456,0.6507555318723308,1.7492969560184195,1.0981400440923117,0.6511569119261078,2.140486797928024,2.320054649612711,0.1795678516846868
same_cycle_spatial_knn,cycle150_rank13_obj3,cycle150_rank13_obj2,17_c2_x10_HighHighCOV_150723,150.0,150.0,0.0,1,800.6729041585758,76.86459879922327,1,1,1,0.0022394574689418,0.0007317504868457,0.0015077069820961001,5.15971000844208e-06,1.685953121692708e-06,3.473756886749372e-06,0.0022904856161324,0.0006720700934092,0.0016184155227232,0.0049751380043663,0.0017428272518736,0.0032323107524927005,1.0,1.0,0.0,1.25,1.0,0.25,0.5486111111111112,0.8402777777777779,0.29166666666666674,1.3729633191500403,1.5793839369871592,0.20642061783711885,1.2397749874592123,1.4788672162514565,0.23909222879224412,1.142903620627075,0.5748033877889499,0.5681002328381252
same_cycle_spatial_knn,cycle150_rank13_obj3,cycle150_rank13_obj1,17_c2_x10_HighHighCOV_150723,150.0,150.0,0.0,2,1079.045437251207,103.58836197611588,1,1,1,0.0022394574689418,-0.0003881722560603,0.0026276297250021003,5.15971000844208e-06,-8.94348877963008e-07,6.054058886405088e-06,0.0022904856161324,-0.0006491593506401,0.0029396449667725,0.0049751380043663,0.0003309909206249,0.0046441470837414005,1.0,1.0,0.0,1.25,0.9444444444444444,0.3055555555555556,0.5486111111111112,-0.0486111111111111,0.5972222222222222,1.3729633191500403,1.184093745551456,0.18886957359858436,1.2397749874592123,1.0981400440923117,0.14163494336690063,1.142903620627075,2.320054649612711,1.177151028985636
