source_stem,cycleNo,n_roi,future8_positive_fraction,x_median,y_median,radius2_median,diffusion_median,persistence_fraction_median,mask_instability_median
11_c2_x10_050723,104.0,3,0.0,1194.5333333333333,203.2692307692308,-0.0008926168145609,-2.0565891407483154e-06,0.953346085725471,1.9895833333333333
12_c2_x10_070723,108.0,3,1.0,1344.246153846154,202.0,-0.000161900485488,-3.730187185644096e-07,1.3536814088096163,0.8148725120683527
12_c2_x10_070723,110.0,3,1.0,1199.9344262295083,203.66101694915253,-0.0006633483908045,-1.5283546924136028e-06,1.3887764676163643,1.137421863647814
14_c2_x10_HighCOV_110723,129.0,3,0.0,1202.7540983606557,184.3522012578616,-0.000145674202857,-3.356333633826293e-07,1.1797688619566378,1.4873384700023482
15_c2_x5_HighCOV_120723,131.0,3,0.0,1200.05,184.58479532163744,-0.0009689563801152,-2.2324754997855146e-06,1.6156122360542222,1.5264885738181198
16_c2_x10_HighHighCOV_130723,139.0,3,0.0,1200.516129032258,664.0,0.0013956179061917,3.215503655865696e-06,1.4125587003405409,1.8624272403977613
16_c2_x10_HighHighCOV_130723,140.0,3,0.0,1199.6153846153843,182.4660194174757,0.0003515202615055,8.099026825087033e-07,1.910156037787177,2.0811128574693583
16_c2_x10_HighHighCOV_130723,143.0,3,0.0,1200.0898876404494,184.0208333333333,-0.0007617531006464,-1.755079143889532e-06,1.092010671031877,0.6054830003973467
17_c2_x10_HighHighCOV_150723,146.0,3,0.0,848.2352941176471,395.0243902439024,-0.0025193224589635,-5.804518945452093e-06,1.2075225266846523,0.4607678962878284
17_c2_x10_HighHighCOV_150723,147.0,3,0.0,1202.1509433962265,128.27906976744185,-0.0030985626073469,-7.139088247327485e-06,1.2211599450508537,2.116996198438616
17_c2_x10_HighHighCOV_150723,148.0,3,1.0,847.625,397.3176470588235,-0.001907088840306,-4.3939326880650246e-06,1.4774642048137248,0.4497928584232515
17_c2_x10_HighHighCOV_150723,149.0,3,1.0,847.1746031746031,396.7407407407408,0.0002825828491831,6.51070884517866e-07,1.344147483500472,2.1313904206259275
17_c2_x10_HighHighCOV_150723,150.0,3,1.0,846.2068965517242,396.6829268292683,0.0007317504868457,1.685953121692708e-06,1.3729633191500403,1.142903620627075
17_c2_x10_HighHighCOV_150723,151.0,3,1.0,1200.0701754385964,667.0769230769231,0.0015428954829821,3.5548311927908026e-06,1.563289421986431,2.140486797928024
17_c2_x10_HighHighCOV_150723,152.0,3,1.0,1198.936170212766,126.77777777777776,0.0025058447891082,5.773466394105487e-06,1.7097487058740553,2.2111548743678737
17_c2_x10_HighHighCOV_150723,153.0,3,1.0,1199.3877551020407,186.6355140186916,0.006414430590017,1.4778848079399394e-05,2.0590820646892443,1.5363399067851249
17_c2_x10_HighHighCOV_150723,154.0,3,1.0,1203.1724137931035,126.37837837837836,0.0035923752659027,8.276832612639884e-06,1.7125739371614332,2.0064989679594314
17_c2_x10_HighHighCOV_150723,155.0,3,1.0,1201.7586206896551,185.34031413612564,0.0031774687687485,7.320888043196729e-06,2.30791734202212,1.5074723513874122
18_c2_xN_HighHighCOV_170723,158.0,3,0.0,1196.3478260869565,324.55384615384617,-1.261057282994533e-05,-2.9054759800194044e-08,2.07552163420161,0.8947755537454258
5_c2_x10_260623,40.0,3,0.0,1178.5882352941176,158.77551020408163,0.0011306406741123,2.604996113154949e-06,0.9456390620128164,1.4480122617276412
5_c2_x10_260623,44.0,3,0.0,1178.0,159.0,-0.00048127012952,-1.1088463784141226e-06,0.8392288110904451,1.6203619191382157
9_c2_x10_010723,76.0,3,0.0,1190.9818181818182,184.22857142857143,0.0003649855616665,8.409267340797663e-07,0.9647639708160224,0.9641052684070622
9_c2_x10_010723,78.0,3,1.0,1336.548387096774,138.5806451612903,-9.339466645375634e-05,-2.151813115094546e-07,1.0153278215235606,0.4891813871664016
9_c2_x10_010723,84.0,3,1.0,1185.1333333333334,162.45454545454547,-0.0002663373802081,-6.136413239995928e-07,1.4010006799561154,1.6550854080506543
