method,x,y,n,spearman_rho,p_value
velocity,particle_to_nonparticle_mse_ratio_median,q70_transformed_fraction_delta,52,0.13984461709211984,0.32276611878344247
low_rank_dmd,near_minus_far_particle_mse_median,roi_norm_total_variation,52,-0.13899086485102025,0.32575834429224726
low_rank_dmd,weighted_center_distance_to_transition_frac,q80_transformed_fraction_delta,52,0.1379266184600536,0.3295127124173463
low_rank_dmd,weighted_center_distance_to_transition_frac,q70_max_abs_rate_per_s,52,-0.13583198155895157,0.33698104080125085
velocity,peak_distance_to_transition_frac,transition_iqr_frac,52,0.1317383579284009,0.3518785113732468
persistence,weighted_center_distance_to_transition_frac,q70_max_abs_rate_per_s,52,-0.12977034064714418,0.35918217893095067
persistence,weighted_center_distance_to_transition_frac,transition_iqr_frac,52,0.12813548939769226,0.3653190997306459
velocity,particle_to_nonparticle_mse_ratio_median,q80_transformed_fraction_delta,52,0.12695566799758567,0.3697871105086486
velocity,near_minus_far_particle_mse_median,q70_transformed_fraction_delta,52,-0.12396482540766669,0.3812601468763877
low_rank_dmd,weighted_center_distance_to_transition_frac,q70_transformed_fraction_delta,52,0.1204644412191582,0.3949534593239734
velocity,peak_distance_to_transition_frac,q80_transformed_fraction_delta,52,0.11513987810667452,0.41632674740749986
low_rank_dmd,weighted_center_distance_to_transition_frac,transition_iqr_frac,52,0.1124138705175195,0.427520322036978
velocity,weighted_center_distance_to_transition_frac,transition_iqr_frac,52,0.09909774523649884,0.48457949384854637
velocity,near_transition_residual_fraction,q70_max_abs_rate_per_s,52,-0.0986083838470076,0.486749839641506
persistence,near_transition_residual_fraction,transition_iqr_frac,52,-0.09248263783883053,0.5143432375143157
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,transition_iqr_frac,52,-0.08977645753978437,0.5267793817061415
persistence,near_transition_residual_fraction,q80_max_abs_rate_per_s,52,-0.08750960471271237,0.5373099201245213
velocity,near_transition_residual_fraction,transition_iqr_frac,52,-0.08582457519832021,0.5452035096808332
velocity,peak_distance_to_transition_frac,q80_max_abs_rate_per_s,52,-0.08455938156650664,0.5511668107878338
low_rank_dmd,near_transition_residual_fraction,transition_iqr_frac,52,-0.08097063275717396,0.5682490558007898
velocity,peak_distance_to_transition_frac,q70_max_abs_rate_per_s,52,-0.07977622462941131,0.573988308445662
low_rank_dmd,peak_distance_to_transition_frac,q80_max_abs_rate_per_s,52,-0.07869443358148706,0.579209283499307
velocity,peak_distance_to_transition_frac,roi_norm_total_variation,52,0.06679337008586686,0.6380183336268069
persistence,peak_distance_to_transition_frac,q70_max_abs_rate_per_s,52,0.06375438069512623,0.6534166142399165
low_rank_dmd,peak_distance_to_transition_frac,roi_norm_total_variation,52,-0.05250567799763713,0.7116246401815678
persistence,peak_distance_to_transition_frac,q80_max_abs_rate_per_s,52,0.04991886874253354,0.7252591824134459
low_rank_dmd,near_transition_residual_fraction,roi_norm_total_variation,52,-0.03824810040126355,0.7877721131413666
persistence,weighted_center_distance_to_transition_frac,q80_transformed_fraction_delta,52,-0.03193101535379761,0.8221988716372576
velocity,near_minus_far_particle_mse_median,q70_max_abs_rate_per_s,52,-0.03141808247246649,0.8250098116930543
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,q70_transformed_fraction_delta,52,-0.028942200973277554,0.8386079796704036
persistence,weighted_center_distance_to_transition_frac,q70_transformed_fraction_delta,52,-0.023648937078459834,0.8678322790940304
velocity,weighted_center_distance_to_transition_frac,q70_transformed_fraction_delta,52,-0.020916929906941006,0.8829871622069817
velocity,weighted_center_distance_to_transition_frac,q80_transformed_fraction_delta,52,0.020362425566526017,0.886068343764728
persistence,peak_distance_to_transition_frac,q80_transformed_fraction_delta,52,0.01827693058400977,0.8976712834645144
velocity,near_minus_far_particle_mse_median,q80_max_abs_rate_per_s,52,0.011781780927174933,0.933933302733478
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,q70_max_abs_rate_per_s,52,0.011611030478955005,0.9348887121742384
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,q80_max_abs_rate_per_s,52,-0.010159651669085631,0.9430132297940613
velocity,near_transition_residual_fraction,q80_max_abs_rate_per_s,52,-0.009647400324425851,0.9458821222820295
low_rank_dmd,peak_distance_to_transition_frac,q70_max_abs_rate_per_s,52,-0.007860898902819555,0.9558926168810665
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,q80_transformed_fraction_delta,52,0.00234786877601453,0.9868202126204494
