roi_id,cycleNo,cohort_role,event_reference_cycle,method,n_eval_frames,transition_center_frac,transition_iqr_frac,residual_peak_step_fraction,residual_peak_particle_mse,residual_weighted_center_frac,peak_distance_to_transition_frac,weighted_center_distance_to_transition_frac,near_transition_residual_fraction,near_transition_particle_mse_median,far_transition_particle_mse_median,near_minus_far_particle_mse_median,near_far_wilcoxon_p,particle_to_nonparticle_mse_ratio_median,mask_fallback_fraction_eval,alignment_permutation_p,mode_label,is_event_enriched_mode,duration_s,roi_norm_total_variation,q60_time_of_max_abs_rate_frac,q70_time_of_max_abs_rate_frac,q80_time_of_max_abs_rate_frac,q60_max_abs_rate_per_s,q70_max_abs_rate_per_s,q80_max_abs_rate_per_s,q70_transformed_fraction_delta,q80_transformed_fraction_delta,transition_center_frac_ctx,transition_iqr_frac_ctx
cycle116_rank1_obj6,116.0,event,116.0,low_rank_dmd,32,0.0210526315789473,0.005263157894736848,0.03225806451612903,0.0065488321706652,0.49555349923988806,0.011205432937181733,0.47450086766094074,0.19898298600026276,0.0062559305224567496,0.00576334795914585,0.0004925825633108998,0.03125,4.564495811011654,0.0,,near_baseline_or_context_like,0,11946.889967679976,0.0478765115141868,0.0210526315789473,0.0210526315789473,0.031578947368421,3.106195428299093e-05,2.528097945810113e-05,2.424558098200122e-05,-0.0009331597222221,-0.0020616319444444,0.0210526315789473,0.005263157894736848
cycle116_rank1_obj6,116.0,event,116.0,persistence,32,0.0210526315789473,0.005263157894736848,0.1935483870967742,0.0001125980343203,0.4982908108752904,0.1724957555178269,0.4772381792963431,0.17665494418307548,6.485878475359641e-05,6.417001713998616e-05,6.887676136102527e-07,0.3125,0.9684452876992817,0.0,,near_baseline_or_context_like,0,11946.889967679976,0.0478765115141868,0.0210526315789473,0.0210526315789473,0.031578947368421,3.106195428299093e-05,2.528097945810113e-05,2.424558098200122e-05,-0.0009331597222221,-0.0020616319444444,0.0210526315789473,0.005263157894736848
cycle116_rank1_obj6,116.0,event,116.0,velocity,32,0.0210526315789473,0.005263157894736848,0.22580645161290322,0.0003275353519711,0.49681294300493334,0.20475382003395592,0.475760311425986,0.16859024962629499,0.0001671791033004,0.00018273071327710002,-1.5551609976700024e-05,0.15625,0.9403023669166015,0.0,,near_baseline_or_context_like,0,11946.889967679976,0.0478765115141868,0.0210526315789473,0.0210526315789473,0.031578947368421,3.106195428299093e-05,2.528097945810113e-05,2.424558098200122e-05,-0.0009331597222221,-0.0020616319444444,0.0210526315789473,0.005263157894736848
cycle116_rank2_obj2,116.0,event,116.0,low_rank_dmd,32,0.0842105263157894,0.1631578947368421,0.967741935483871,0.0039029996842145,0.5320574891507017,0.8835314091680816,0.4478469628349123,0.22515677252164373,0.0025790344225242,0.00295359280426055,-0.0003745583817363501,0.7421875,4.978781310854417,0.0,,near_baseline_or_context_like,0,11946.889967679976,0.0234928220510482,0.0842105263157894,0.0736842105263158,0.4,2.8732307711766937e-05,2.0276553490286e-05,1.6134959585886993e-05,0.0034505208333333,0.0018446180555555,0.0842105263157894,0.1631578947368421
cycle116_rank2_obj2,116.0,event,116.0,persistence,32,0.0842105263157894,0.1631578947368421,0.1935483870967742,6.409264460671693e-05,0.49993867387293955,0.10933786078098479,0.41572814755715015,0.27165266820313233,3.8924677937757224e-05,3.730670505319722e-05,1.6179728845600039e-06,0.0546875,1.0288806605335568,0.0,,near_baseline_or_context_like,0,11946.889967679976,0.0234928220510482,0.0842105263157894,0.0736842105263158,0.4,2.8732307711766937e-05,2.0276553490286e-05,1.6134959585886993e-05,0.0034505208333333,0.0018446180555555,0.0842105263157894,0.1631578947368421
cycle116_rank2_obj2,116.0,event,116.0,velocity,32,0.0842105263157894,0.1631578947368421,0.22580645161290322,0.0001837333547882,0.4945436981769498,0.14159592529711382,0.4103331718611604,0.2718824028146915,0.00010369369920224127,9.998544192057712e-05,3.7082572816641527e-06,0.25,0.9424101512376405,0.0,,near_baseline_or_context_like,0,11946.889967679976,0.0234928220510482,0.0842105263157894,0.0736842105263158,0.4,2.8732307711766937e-05,2.0276553490286e-05,1.6134959585886993e-05,0.0034505208333333,0.0018446180555555,0.0842105263157894,0.1631578947368421
cycle116_rank3_obj9,116.0,event,116.0,low_rank_dmd,32,0.031578947368421,0.0052631578947368515,1.0,0.0048623867332935,0.5244053103024912,0.968421052631579,0.4928263629340702,0.1913822529957034,0.00336369918659325,0.0030484874732792,0.0003152117133140499,0.03125,3.7615143787849363,0.0,,near_baseline_or_context_like,0,11946.889967679976,0.0505139052867889,0.031578947368421,0.0210526315789473,0.031578947368421,4.529868332936189e-05,4.089823980593806e-05,2.381416495029316e-05,0.0,0.0009331597222221,0.031578947368421,0.0052631578947368515
cycle116_rank3_obj9,116.0,event,116.0,persistence,32,0.031578947368421,0.0052631578947368515,0.1935483870967742,0.0001759921142365,0.497912059289694,0.1619694397283532,0.466333111921273,0.17321790438301907,7.577814903925173e-05,7.75872431404423e-05,-1.809094101190567e-06,1.0,1.0194015649298471,0.0,,near_baseline_or_context_like,0,11946.889967679976,0.0505139052867889,0.031578947368421,0.0210526315789473,0.031578947368421,4.529868332936189e-05,4.089823980593806e-05,2.381416495029316e-05,0.0,0.0009331597222221,0.031578947368421,0.0052631578947368515
cycle116_rank3_obj9,116.0,event,116.0,velocity,32,0.031578947368421,0.0052631578947368515,0.22580645161290322,0.0005849199951626,0.5010129219832643,0.1942275042444822,0.4694339746148433,0.15442556216745762,0.00020170189964115,0.0002142162265954,-1.2514326954250006e-05,0.5625,0.9825081079456046,0.0,,near_baseline_or_context_like,0,11946.889967679976,0.0505139052867889,0.031578947368421,0.0210526315789473,0.031578947368421,4.529868332936189e-05,4.089823980593806e-05,2.381416495029316e-05,0.0,0.0009331597222221,0.031578947368421,0.0052631578947368515
cycle116_rank5_obj43,116.0,event,116.0,low_rank_dmd,32,0.0210526315789473,0.2842105263157895,1.0,0.0033224422950297,0.6548930709002504,0.9789473684210527,0.6338404393213031,0.13440872120601643,0.000802706927061,0.00093621690757565,-0.0001335099805146499,0.03125,1.470032223546626,0.0,,front_negative_high_apparent_front_proxy,0,11946.889967679976,0.0529208794236183,0.5894736842105264,0.0210526315789473,0.0210526315789473,3.528983139373162e-05,2.9163723743475325e-05,2.174336799809365e-05,-0.0006510416666666,0.0009548611111111,0.0210526315789473,0.2842105263157895
