roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,roi_norm_mean_delta,roi_norm_mean_slope,roi_norm_mean_abs_step_mean,roi_norm_mean_abs_step_p95,frame_diff_mse_mean,frame_diff_mse_p95,frame_diff_mse_slope,frame_diff_abs_mean,temporal_gradient_signed_mean,spatial_std_mean,spatial_std_slope,bright_fraction_060_delta,bright_fraction_075_delta,dark_fraction_025_delta,target_near_pre_vs_rest,target_pre16_clean_vs_post_control,target_any_pre_vs_post_control
source_balanced_cycle98_rank6_obj1_11_c2_x10_050723,98.0,11_c2_x10_050723,3,6,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,18.0,12.0,1.0,1.0,True,23.327083525321505,source_balanced_pre_event_candidate,1343.0679611650485,204.50485436893203,103.0,8562.1708984375,21.21138000488281,1247,109,1439,301,192,96,96,2706,3607,8874.2353515625,8886.8251953125,12.58984375,0.07134261727333069,0.07216120511293411,0.0008185878396034,0.2236067977499281,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj1_11_c2_x10_050723.npz,,0.0008185878396034241,0.0025703085288789613,0.00026807573280836406,0.000537436455488205,4.6598601329606026e-05,5.170301374164409e-05,-1.6969566537514563e-05,0.005038827657699585,8.616750164947007e-06,0.13123823702335358,0.0069114812745799635,0.00010850694444444406,-0.0007595486111111119,-0.002061631944444531,0,0.0,0.0
source_balanced_cycle98_rank6_obj2_11_c2_x10_050723,98.0,11_c2_x10_050723,3,6,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,18.0,12.0,1.0,1.0,True,24.558909812946133,source_balanced_pre_event_candidate,835.7142857142857,94.66666666666669,42.0,13457.7646484375,29.523515701293945,740,0,932,192,192,96,96,2706,3607,8964.4775390625,8968.39453125,3.9169921875,0.08117502182722092,0.08182970434427261,0.0006546825170516,0.2236067977499281,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj2_11_c2_x10_050723.npz,,0.0006546825170516968,0.002110906641392672,0.0002830616737666883,0.0005237616598606109,7.401790207950398e-05,8.098785983747801e-05,-2.7357614420141426e-05,0.006372648756951094,6.891491921123816e-06,0.11721541732549667,0.003217318594532579,0.00021701388888888812,-0.0005425347222222238,0.0007595486111111605,0,0.0,0.0
source_balanced_cycle100_rank7_obj1_11_c2_x10_050723,100.0,11_c2_x10_050723,5,7,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,16.0,14.0,1.0,1.0,True,23.335890706615764,source_balanced_pre_event_candidate,1342.2222222222222,204.22222222222223,108.0,8197.46484375,20.41080665588379,1246,108,1438,300,192,96,96,4510,5411,8880.9482421875,8886.0986328125,5.150390625,0.07151804119348526,0.07171154767274857,0.0001935064792633,0.2915475947422533,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj1_11_c2_x10_050723.npz,,0.00019350647926330566,0.0017902989218914315,0.0002650500912415354,0.0005236826837062835,3.925900819012895e-05,4.478164773900062e-05,1.2530084572254632e-06,0.0048620388843119144,2.0368902369227726e-06,0.13140439987182617,0.005248670317424656,0.00043402777777777624,-0.00010850694444444406,0.0010850694444444198,0,0.0,0.0
source_balanced_cycle100_rank7_obj2_11_c2_x10_050723,100.0,11_c2_x10_050723,5,7,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,16.0,14.0,1.0,1.0,True,24.28248417017058,source_balanced_pre_event_candidate,834.3111111111111,94.22222222222224,45.0,12717.9267578125,27.73917961120605,738,0,930,192,192,96,96,4510,5411,8958.8818359375,8964.2412109375,5.359375,0.08066722750663757,0.08088615536689758,0.00021892786026,0.2915475947422533,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj2_11_c2_x10_050723.npz,,0.00021892786026000977,0.0016167966850562667,0.0002841045981959293,0.0005272783339023589,6.338732782751322e-05,7.11437765858136e-05,2.567909249544208e-06,0.006187580991536379,2.3045058696880005e-06,0.11722163110971451,0.002616279931335702,0.00021701388888888985,0.00010850694444444406,-0.0004340277777777901,0,0.0,0.0
source_balanced_cycle102_rank8_obj1_11_c2_x10_050723,102.0,11_c2_x10_050723,7,8,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,14.0,16.0,1.0,1.0,True,24.32786903333057,source_balanced_pre_event_candidate,834.3111111111111,93.77777777777776,45.0,12752.44140625,27.896915435791016,738,0,930,192,192,96,96,6314,7215,8966.798828125,8960.958984375,-5.83984375,0.0812777653336525,0.08105248957872391,-0.0002252757549285,0.2236067977499789,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj1_11_c2_x10_050723.npz,,-0.00022527575492858887,-7.581178905420626e-05,0.0002753554206145437,0.0005603007972240447,6.342728738673031e-05,6.789194449083879e-05,-2.120869287050724e-06,0.006198792718350887,-2.371374876020127e-06,0.11746754497289658,0.002140605966224472,0.00010850694444444406,-0.00043402777777777797,0.00010850694444441977,0,0.0,0.0
source_balanced_cycle102_rank8_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,7,8,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,14.0,16.0,1.0,1.0,True,22.59967126305032,source_balanced_pre_event_candidate,1337.7518248175184,199.94160583941607,137.0,6112.04638671875,17.030691146850586,1242,104,1434,296,192,96,96,6314,7215,8884.5400390625,8882.544921875,-1.9951171875,0.07142522931098938,0.07140012830495834,-2.5101006031036377e-05,0.2236067977499789,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj2_11_c2_x10_050723.npz,,-2.5101006031036377e-05,0.000282222313864031,0.0002561195116294058,0.0005108445882797241,3.875387483276427e-05,4.174443602096289e-05,-1.21821992587155e-06,0.00483833160251379,-2.641999401475914e-07,0.13151857256889343,0.003958159059132541,-0.00010850694444444406,0.00010850694444444406,-0.0008680555555554692,0,0.0,0.0
source_balanced_cycle104_rank9_obj1_11_c2_x10_050723,104.0,11_c2_x10_050723,9,9,1,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,12.0,18.0,1.0,0.0,True,23.914457040802272,source_balanced_pre_event_candidate,1342.125,203.375,96.0,9298.2919921875,22.527719497680664,1246,107,1438,299,192,96,96,8118,9019,8889.599609375,8880.17578125,-9.423828125,0.07188384979963303,0.07147625088691711,-0.0004075989127159,0.2500000000000227,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj1_11_c2_x10_050723.npz,,-0.00040759891271591187,0.00043769550423338464,0.00025255750668676274,0.000476105511188507,3.839457349386066e-05,4.100181322428398e-05,4.2014885605711347e-07,0.004822364076972008,-4.29062401963165e-06,0.13133449852466583,0.003213654977951179,0.00021701388888888812,-0.00021701388888888812,0.0,0,1.0,1.0
source_balanced_cycle104_rank9_obj2_11_c2_x10_050723,104.0,11_c2_x10_050723,9,9,2,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,12.0,18.0,1.0,0.0,True,24.37434705398142,source_balanced_pre_event_candidate,834.3111111111111,93.77777777777776,45.0,12765.328125,27.745155334472656,738,0,930,192,192,96,96,8118,9019,8966.6513671875,8957.9599609375,-8.69140625,0.08209259063005447,0.08165984600782394,-0.0004327446222305,0.2500000000000227,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj2_11_c2_x10_050723.npz,,-0.0004327446222305298,0.00028566095363542976,0.0002749494816127576,0.0005131095647811889,6.336763908620924e-05,6.662190789938905e-05,5.510031338704789e-07,0.006205672398209572,-4.555117357085692e-06,0.11752869933843613,0.0017883870414621933,-0.00010850694444444406,-0.00010850694444444406,0.0003255208333332593,0,1.0,1.0
source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,106.0,12_c2_x10_070723,1,10,1,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,10.0,20.0,1.0,0.0,False,23.629607198020047,source_balanced_pre_event_candidate,1341.0181818181818,198.21818181818185,110.0,8347.205078125,19.803709030151367,1245,102,1437,294,192,96,96,904,1807,8853.5986328125,8840.9873046875,-12.611328125,0.07480251044034958,0.07426752150058746,-0.0005349889397621,0.2121320343559321,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj1_12_c2_x10_070723.npz,,-0.0005349889397621155,0.0024798596085807653,0.0002708951893605684,0.000553245097398758,5.136245454195887e-05,0.00010189304375671778,4.027877687468908e-06,0.005297607276588678,-5.6314515859412495e-06,0.13089966773986816,0.007165555011711537,-0.0005425347222222203,-0.0006510416666666661,0.00032552083333337034,0,1.0,1.0
source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,106.0,12_c2_x10_070723,1,10,2,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,10.0,20.0,1.0,0.0,False,23.87471907906338,source_balanced_pre_event_candidate,1664.225352112676,223.2112676056338,71.0,10313.61328125,22.96823501586914,1568,127,1760,319,192,96,96,904,1807,8251.080078125,8235.2099609375,-15.8701171875,0.07885780930519104,0.07806313037872314,-0.0007946789264678,0.2121320343559321,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj2_12_c2_x10_070723.npz,,-0.0007946789264678955,0.0035479720105829754,0.00040565399747145804,0.0006816387176513672,5.144040551385842e-05,0.00011030276509700333,6.201442164111583e-06,0.005209000781178474,-8.365129360754509e-06,0.14065535366535187,0.009760028188184094,-0.0005425347222222203,-0.0008680555555555559,0.0004340277777777901,0,1.0,1.0
