event_relative_bin,n_roi,n_cycles,n_sources,mean_roi_norm_delta,mean_frame_diff_mse,mean_spatial_std,median_cycles_to_next_event
far_pre_event_17_32,22,11,4,0.00033197348768060857,9.453858828320253e-05,0.126484023576433,23.0
mid_pre_event_9_16,22,11,6,-0.000832325355573134,0.00014896419270371553,0.13116675852374596,12.0
near_pre_event_1_8,32,16,5,-3.555323928594589e-05,0.0002831417365314337,0.13231355580501258,4.5
no_near_event_control,12,6,2,0.0007150527089834213,6.908883642608998e-05,0.13489634916186333,51.0
post_event_1_16,40,20,6,1.4177709817886353e-05,8.58618579513859e-05,0.12584188673645258,21.0
