transport_review_rank,roi_id,cycleNo,source_stem,event_relative_bin,cycles_to_next_event,transport_review_tier,transport_mechanism_score,transport_raw_score,transport_source_residual_score,front_kinetic_score,observable_tail_score,qc_review_score,abs_radial_flow_mean,abs_radial_flow_mean_source_residual,particle_flow_mag_mean,curl_mean,front_kinetic_concordance_score,front_kinetic_tier,manual_qc_action_tier,manual_front_review_gate,automatic_diffusion_claim_gate,diffusion_claim_blocked,strict_qc_priority_score,visual_sanity_score,visual_review_score,visual_front_plausibility_score,observable_tail_contrast_delta,observable_tail_front_radius_q70_delta,observable_tail_front_radius2_slope,frame_strip_png,mask_overlay_png,kymograph_png,review_question,evidence_tags,local_cycle_index,object_candidate_rank,cycles_since_prev_event,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,validation_score,npz_path,n_frames,flow_method,train_fraction,mask_fraction,context_fraction,heldout_flow_pairs,particle_flow_mag_median,particle_flow_mag_q90,particle_flow_mag_slope,context_flow_mag_mean,context_flow_mag_median,context_flow_mag_q90,context_flow_mag_slope,boundary_flow_mag_mean,boundary_flow_mag_median,boundary_flow_mag_q90,boundary_flow_mag_slope,radial_flow_mean,radial_flow_median,radial_flow_q90,radial_flow_slope,abs_radial_flow_median,abs_radial_flow_q90,abs_radial_flow_slope,tangential_flow_mean,tangential_flow_median,tangential_flow_q90,tangential_flow_slope,divergence_mean,divergence_median,divergence_q90,divergence_slope,curl_median,curl_q90,curl_slope,gradient_aligned_flow_mean,gradient_aligned_flow_median,gradient_aligned_flow_q90,gradient_aligned_flow_slope,intensity_delta_abs_mean,intensity_delta_abs_median,intensity_delta_abs_q90,intensity_delta_abs_slope,particle_context_flow_ratio,boundary_particle_flow_ratio,radial_transport_bias,flow_acceleration_mean,apparent_transport_instability_score,manual_qc_rank,manual_qc_decision_score,n_passed_component_gates,front_evidence_score,kinetic_evidence_score,qc_evidence_score,visual_artifact_risk_score,front_consensus_score,front_radius2_slope_px2_per_norm_time,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,has_visual_assets,front_direction_agreement_gate,stable_mask_gate,centroid_stability_gate,observable_tail_particle_mean_delta,observable_tail_particle_minus_background_delta,observable_tail_frame_diff_energy,observable_prefix_particle_mean_slope,observable_prefix_particle_minus_background_slope,observable_prefix_front_radius_q70_slope,observable_prefix_front_radius2_q70_slope,concordance_consensus_review_rank,concordance_consensus_review_score,concordance_matched_positive_support_count,concordance_front_kinetic_concordance_score,concordance_front_kinetic_tier,concordance_kinetic_evidence_score,concordance_front_evidence_score,concordance_qc_evidence_score,abs_radial_flow_q90_source_residual,particle_flow_mag_mean_source_residual,curl_mean_source_residual,curl_q90_source_residual,apparent_transport_instability_score_source_residual,near_pre_flag,visual_asset_flag
1,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,4.0,priority_transport_mechanism_review,0.8915449914037217,1.0,0.994140625,0.8769872572815534,0.65234375,0.7591145833333333,1.7058669032162828e-06,6.961205591494337e-07,3.0596198906332696e-06,4.510314727827496e-07,1.0070384384304834,near_pre_front_kinetic_review,review_front_and_kinetics_first,False,False,True,0.5255668900691663,0.559695833755315,0.5899088357604971,0.2624383028523723,-0.0504374199491935,-0.3532726701706892,-90.95195210264082,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank002_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank002_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank002_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,Do masked optical kinetics and the radial/front view describe the same localized pre-event change?,kinetic_source_null_support_directional;kinetic_composite_null_support_directional;concordance_null_support_directional;diffusion_claim_blocked;visual_sanity_uncertain;front_plausible_followup,6,1,36.0,1.0,1.0,0.0,24.14387666053677,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723.npz,96,farneback,0.6,0.1516927083333333,0.7964409722222222,37,7.301545679183619e-07,1.1220843043702182e-05,-2.553606015365435e-07,3.4328855998096124e-08,1.1452442549853004e-08,1.1239756929626308e-07,-3.1562503810944433e-09,8.786321019938226e-07,2.3248252034591135e-07,3.2378054129367218e-06,-7.957082855382356e-08,-1.4956254488345533e-07,-1.007131145690303e-07,5.855634203764244e-07,-2.9036957313444597e-09,4.288013471958729e-07,5.552528052470921e-06,-1.4570908787403273e-07,2.236067455421749e-06,5.159353142570797e-07,7.851672412833757e-06,-1.8383997025340505e-07,-7.700590988442241e-09,-5.701862981766226e-09,4.5059889375309485e-09,1.9321869856160328e-10,1.1013163003781301e-07,1.7296086525675485e-06,-3.898768928584805e-08,-3.4303530307602427e-08,3.6769549183190975e-08,1.422651081384174e-07,1.0932879159807214e-08,0.0243118272313999,0.0085560949519276,0.0894266858696937,-0.0018891795164556,86.60398997346965,0.2870765182840218,-0.0876240230574696,3.048217137073076e-06,1.427349857070984e-05,3,1.061880590110068,4.0,1.3569572436511033,0.7791783807535031,0.7646725071014377,0.0496638282980846,5.0567116768691465,12.903350515463927,12.304358599293252,True,True,True,False,-0.0187801595522549,-0.0041278756206694,0.001271641654599,0.0409986085032627,0.0263886221721973,0.5481757132906585,42.06113022022485,2,0.9055233514265107,55.0,1.0070384384304834,near_pre_front_kinetic_review,0.7791783807535031,1.3569572436511033,0.7646725071014377,3.18121808279735e-06,1.374454798018697e-06,2.0866467431892758e-07,1.1188644504045438e-06,8.587077989013586e-06,1,1
2,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,154.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,2.0,priority_transport_mechanism_review,0.8788794498381878,0.990234375,0.9734375000000002,0.7068719660194174,0.897265625,0.7665364583333334,1.6373656580200024e-06,6.276193139531533e-07,2.946752906886153e-06,4.089175984969754e-07,0.4914153778548793,front_only_guardrail,review_front_only_guardrail,False,False,True,0.3661664695501787,0.6216877292681964,0.5192751931411008,0.2677827245458198,-0.0519428395348962,-0.7290438715558096,-61.58191783158643,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank007_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank007_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank007_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,"Is the front-like morphology real, or driven by mask/crop/illumination artifacts without kinetic support?",diffusion_claim_blocked;front_plausible_followup,8,1,38.0,1.0,1.0,0.0,24.14632430431297,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723.npz,96,farneback,0.6,0.1566840277777778,0.7795138888888888,37,1.7354174133288325e-06,7.885325248935254e-06,-1.0528864888362029e-07,2.9300626300618847e-08,1.7873142965640912e-08,6.43338360362122e-08,-1.4273654061821595e-09,7.571256598007617e-07,4.41688399632767e-07,1.7768162251741144e-06,-3.206328340012282e-08,-2.2593361330049162e-07,-4.531758315500276e-07,6.291310895484955e-07,-3.065859616247283e-08,9.749034570463214e-07,4.442648689570512e-06,-5.0003185539487074e-08,2.179006633758923e-06,1.2938498000695103e-06,5.093536202330205e-06,-8.579494734540214e-08,-1.2887186894204782e-08,-4.7008001935466845e-09,2.2387721898553536e-08,1.4811050360717006e-09,2.3491782030760083e-07,1.0897190691139248e-06,-1.4379504379690178e-08,5.299282592321067e-08,-1.460479204240528e-08,3.1132058779803614e-07,-1.667384908190317e-09,0.0133228914787036,0.008412417024374,0.0347998782992362,-3.900218820362772e-05,97.25056101648862,0.2568484142724664,-0.1379018244153975,2.3985228673318997e-06,1.030620187245002e-05,14,0.7276622310356647,3.0,2.095693928495519,-0.5026986307992833,0.4290146802937858,0.2387904515730092,7.7938599396609565,13.056701030927863,12.540653696897897,True,False,True,False,-0.0479149065303799,-0.0445371334533025,0.0002763196613629,0.0602791158907893,0.0559240768549238,0.8385850595859391,64.3708645449248,7,0.790358137183085,55.0,0.4914153778548793,front_only_guardrail,-0.5026986307992833,2.095693928495519,0.4290146802937858,2.071338719896941e-06,1.2615878142715805e-06,1.665508000331534e-07,4.789748669509202e-07,4.619781290753765e-06,1,1
3,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,4.0,priority_transport_mechanism_review,0.8503176198422331,0.97734375,0.8988281250000001,0.7524423543689319,0.809375,0.717578125,1.2782340636345716e-06,2.6848771956772243e-07,1.9252363674933646e-06,2.750077490896895e-07,1.1163495092805775,routine_or_low_concordance,review_front_and_kinetics_first,False,False,True,0.3485830471852001,0.5527989939604643,0.5285040541743188,0.2555607936308415,-0.1120436923908026,-0.3919618445629815,-20.48715740619096,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank003_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank003_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank003_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,Do masked optical kinetics and the radial/front view describe the same localized pre-event change?,kinetic_source_null_support_directional;kinetic_composite_null_support_directional;concordance_null_support_directional;diffusion_claim_blocked;visual_sanity_uncertain;front_plausible_followup,6,2,36.0,1.0,1.0,0.0,23.04046306287261,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723.npz,96,farneback,0.6,0.2526041666666667,0.6694878472222222,37,5.328412271410343e-07,6.637001206399872e-06,-1.7477352032311766e-07,2.101628819771627e-08,5.550091497497078e-09,6.851342462255156e-08,-2.167037346272481e-09,5.497287436313442e-07,1.0544001582957209e-07,1.8695079006647573e-06,-5.268168926101998e-08,6.467143465228493e-08,6.461884237448192e-08,4.570350274019789e-07,6.169722141057582e-09,2.819227087255068e-07,4.697287044945407e-06,-1.1430419155550996e-07,1.2007898287762491e-06,3.308456772299169e-07,3.927417563332111e-06,-1.1025345194540529e-07,-4.805018372678372e-10,-2.13387929548503e-09,5.491540662205807e-08,-1.3995191875816118e-10,6.121524620539276e-08,9.771937925506789e-07,-2.448647333387937e-08,-3.511084367241007e-08,4.0099500608903333e-08,2.0329696326371047e-07,9.56768730205891e-09,0.0266390384325908,0.0094693368300795,0.0935735821723937,-0.0022178335921664,87.4460013515388,0.2853900761653218,0.0505548097027215,1.646349543015112e-06,8.338242774502216e-06,6,1.0045457374014477,2.0,0.3252043437865788,2.2958812458716764,0.0634162347269568,0.2543838923810096,1.4953610684942178,9.735180412371138,9.246840467729706,True,False,True,True,-0.0906212886556255,-0.0718197978008504,0.0021892628210045,0.1243376934617253,0.1018995338357417,0.514519022435532,28.87646089613255,3,0.8871293348826369,50.0,1.1163495092805775,routine_or_low_concordance,2.2958812458716764,0.3252043437865788,0.0634162347269568,2.3259770752718364e-06,2.4007127487879204e-07,3.264095062586752e-08,3.6644959038767427e-07,2.651822192805962e-06,1,1
4,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,154.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,2.0,priority_transport_mechanism_review,0.8151354545914239,0.9503906249999999,0.6566406249999999,0.8239532766990292,0.9246093750000001,0.6869791666666667,1.0992092955344318e-06,8.946295146758264e-08,1.6032340282263987e-06,2.446048333131583e-07,1.6693607735539826,near_pre_front_kinetic_review,review_front_and_kinetics_first,False,False,True,0.3263561166312939,0.5579694776917927,0.4657594248142464,0.2149236035659876,-0.121189760249321,-0.745575559643509,-30.497550728152927,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank006_source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank006_source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank006_source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,Do masked optical kinetics and the radial/front view describe the same localized pre-event change?,kinetic_source_null_support_directional;kinetic_composite_null_support_directional;concordance_null_support_directional;diffusion_claim_blocked;visual_sanity_uncertain,8,2,38.0,1.0,1.0,0.0,23.129301219531644,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723.npz,96,farneback,0.6,0.3051215277777778,0.5792100694444444,37,1.1003223789884942e-06,3.3678090403554946e-06,-7.384214599373053e-08,1.201719258937918e-08,7.499521892384564e-09,2.5585968899122232e-08,-5.252318638626763e-10,3.0901127129784774e-07,2.028166790069008e-07,6.804179861319422e-07,-1.358154168045392e-08,1.1284625199889403e-07,3.4809799432808135e-07,6.344302892006766e-07,1.776969832403149e-08,7.014241835049801e-07,2.384647641407284e-06,-5.062966636741383e-08,9.451312733968938e-07,7.007475224587258e-07,1.931017777708908e-06,-4.3016274769085456e-08,1.414186055515471e-09,-3.0921112337267687e-09,1.7109634953271752e-08,3.286018476405977e-10,1.6741671515774217e-07,5.127588394771008e-07,-1.1392010194879036e-08,2.2411244790896225e-08,6.267608654297875e-08,1.6092322425720336e-07,8.881727377166082e-10,0.0138425607662144,0.0089631304144859,0.0348617792129516,-0.0001713929195778,123.16281081486714,0.1926223143636236,0.1025679863430697,1.278324187244569e-06,4.663236374295164e-06,5,1.0537916190574754,2.0,1.5849108789195048,2.029600363061511,-0.1258116587997667,0.2281448848144016,,,8.603975467750798,True,False,True,True,-0.1009005259087555,-0.0894366052046996,0.0003991401108025,0.1245340402051831,0.1105926812088531,0.6899045006177321,39.49545710083705,6,0.8166534540269547,42.0,1.6693607735539826,near_pre_front_kinetic_review,2.029600363061511,1.5849108789195048,-0.1258116587997667,1.333767173371297e-08,-8.193106438817385e-08,2.2380348493363086e-09,-9.798536268590378e-08,-1.0231842074010902e-06,1,1
5,source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,38.0,5_c2_x10_260623,far_pre_event_17_32,22.0,guarded_transport_hypothesis_review,0.8068169751213592,0.93671875,0.966796875,0.6874241504854368,0.7449218750000001,0.4734375,1.2405312831523851e-06,6.890902911480121e-07,1.8076544463567828e-06,2.73268185353388e-07,0.4876222641067474,front_only_guardrail,review_front_only_guardrail,False,False,True,,,,,-0.0347889589005146,-1.1050966533458109,-67.0212231942712,,,,"Is the front-like morphology real, or driven by mask/crop/illumination artifacts without kinetic support?",diffusion_claim_blocked,3,2,,0.0,0.0,0.0,22.455762396322253,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle38_rank42_obj2_5_c2_x10_260623.npz,96,farneback,0.6,0.1930338541666666,0.7268880208333334,37,1.760762188496301e-06,2.564370242907898e-06,-3.0142020660051615e-08,8.499705485989098e-09,7.68023422637043e-09,1.3849094848694676e-08,-2.3412710424829954e-10,2.3047399702827657e-07,2.1362134816627082e-07,3.614469733292935e-07,-6.15133479162448e-09,-4.424519679939326e-07,-4.696663405789658e-07,-2.22935187664805e-07,4.582747925609098e-09,1.1627916184563297e-06,1.747972416533842e-06,-1.7283090223968173e-08,1.0629753525807484e-06,1.110132892257501e-06,1.577301046364394e-06,-2.2169954009375422e-08,-6.394007729297714e-09,-5.533956848324806e-09,6.793977269659015e-10,1.3956756194759968e-10,2.845509357030096e-07,3.9990453046812027e-07,-4.951170261831105e-09,2.681714953404161e-08,-3.900428069414375e-08,2.665076294761092e-07,-3.973057316048947e-09,0.0060653993859887,0.0055839125998318,0.0076462367549538,-3.229761067839696e-05,190.2853145313664,0.1274284302855783,-0.356376012427571,4.394038010483808e-07,3.004450057153441e-06,29,0.4836781093950536,,3.4360899772972595,-1.2875230698682334,,,9.479686726852592,,,False,,,,-0.0279730779292301,-0.0241364330705907,5.103564633446775e-05,0.0281157199580011,0.0202497819679266,-0.6941072919277621,-44.48980001623536,83,0.2910028761538635,0.0,0.4876222641067474,front_only_guardrail,-1.2875230698682334,3.4360899772972595,,8.434849931022181e-07,9.327415568805009e-07,1.5112624279688315e-07,2.039722427582546e-07,1.1192188590920127e-06,0,0
6,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,84.0,9_c2_x10_010723,near_pre_event_1_8,2.0,priority_transport_mechanism_review,0.8000324256674758,0.8785156249999999,0.879296875,0.7628640776699029,0.662109375,0.70546875,9.214628282902004e-07,2.4476255161478357e-07,1.175046983342548e-06,1.853823441902361e-07,0.4936334303706495,routine_or_low_concordance,routine_or_low_concordance,False,False,True,0.456834758817618,0.6472151507833829,0.3428673621357837,0.2,-0.0382314769109512,-0.3171149509635214,-14.705931544397492,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.,kinetic_source_null_support_directional;kinetic_composite_null_support_directional;diffusion_claim_blocked,9,2,24.0,1.0,1.0,0.0,23.754603787224102,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle84_rank64_obj2_9_c2_x10_010723.npz,96,farneback,0.6,0.3044704861111111,0.5855034722222222,37,1.1343558981025126e-06,1.969588220163131e-06,-4.920690168885959e-08,6.2119444153139315e-09,5.6218292243670476e-09,1.0179342524452294e-08,-2.905917854483076e-10,1.966149437134231e-07,1.8695244818900394e-07,3.323568421365052e-07,-8.440552895150269e-09,-8.489211650529643e-08,-2.711380995603433e-08,5.021911862568293e-07,2.590674393088505e-09,8.849530416905293e-07,1.5544104081960417e-06,-3.8586968201870394e-08,5.232959011515189e-07,4.839822974908482e-07,9.168632124333034e-07,-2.13541312739722e-08,-3.3439229170935954e-09,-3.352128352673844e-09,-3.5725691294175044e-10,1.6821038444176833e-11,1.801630418185596e-07,3.123827809758949e-07,-7.941228030674613e-09,2.94595826123207e-08,3.671964776685854e-08,6.9452472928333e-08,6.016961797095555e-10,0.0092227057604169,0.0086330361664295,0.0119356587529182,-0.0001413615425097,162.93067662133373,0.1671828987262109,-0.0920276827442958,7.308958289955727e-07,2.700839099331024e-06,15,0.6460168847984362,4.0,0.3288148122051146,0.735100046723151,0.4022469935204975,0.2122924253074825,,,1.7116432097724696,True,True,True,True,-0.0428300033298204,-0.0359450540211685,0.0001282491351679,0.0541822811058855,0.0441013908905051,0.0548269104669163,3.311576957302257,14,0.6355294079150899,23.0,0.4936334303706495,routine_or_low_concordance,0.735100046723151,0.3288148122051146,0.4022469935204975,3.558320606091108e-07,2.311491237599733e-07,4.706326648035915e-08,6.442977294796028e-08,5.731613329535357e-07,1,1
7,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,5.0,guarded_transport_hypothesis_review,0.7853588314118123,0.9425781249999999,0.627734375,0.9134405339805826,0.641015625,0.6826822916666667,1.0959116788384012e-06,8.616533477155209e-08,2.084249555263636e-06,2.933529061228019e-07,1.223670979914382,near_pre_front_kinetic_review,review_front_and_kinetics_first,False,False,True,0.487628199862207,0.5213871146596205,0.560049612267881,0.2467970538416442,-0.054279741706588,-0.3444588244921149,-66.39642276211914,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank001_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank001_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank001_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,Do masked optical kinetics and the radial/front view describe the same localized pre-event change?,kinetic_source_null_support_directional;kinetic_composite_null_support_directional;concordance_null_support_directional;diffusion_claim_blocked;visual_sanity_uncertain;front_plausible_followup,5,1,35.0,1.0,1.0,0.0,23.25513376257133,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723.npz,96,farneback,0.6,0.1583116319444444,0.7867838541666666,37,6.566115189343691e-07,4.313797535360206e-06,-1.7826403735189617e-07,2.1597545238713866e-08,3.6618279519728958e-09,5.2010081219577803e-08,-2.216026147236778e-09,5.150506438642086e-07,1.424715918574293e-07,1.0413818017696023e-06,-4.548323488326621e-08,-1.3032562549163162e-07,-8.858940999289349e-08,9.0691064456519e-08,3.521205490021456e-09,4.0514599652390717e-07,1.5973602731109793e-06,-8.7245311098646e-08,1.5784350709768877e-06,4.521698961427022e-07,3.707792849938958e-06,-1.402712431790888e-07,-6.2123378783538594e-09,-4.494871141957901e-09,4.4014406563874706e-10,7.916476293846724e-11,9.129048805789353e-08,6.06395883551158e-07,-2.5304193582908177e-08,2.8010711588037975e-08,6.747365688397623e-08,1.7328668491245478e-07,3.553230426816777e-09,0.0138221421228671,0.009156203828752,0.0172150298953056,-0.0004095402321013,92.2334498391853,0.2469971244276761,-0.1188114120816388,2.5346914903757856e-06,6.848916653078655e-06,2,1.083118865159323,3.0,1.7405420293636154,0.9671340380649094,0.3952927352209349,0.2400513801555957,6.18055737557084,16.473582474226824,15.83874160171226,True,True,True,False,-0.0150009336490622,0.0077206446842945,0.000415585870288,0.0400687183453117,0.0229541687324405,0.2643048135989277,20.086777379595016,1,0.9317537495644084,56.0,1.223670979914382,near_pre_front_kinetic_review,0.9671340380649094,1.7405420293636154,0.3952927352209349,-7.739496965625916e-07,3.990844626490632e-07,5.09861076589799e-08,-4.348318611846569e-09,1.1624960713824008e-06,1,1
8,source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723,124.0,14_c2_x10_HighCOV_110723,post_event_1_16,32.0,guarded_transport_hypothesis_review,0.7478631295509709,0.86328125,0.915234375,0.5479368932038835,0.7828125,0.48828125,8.696369316146264e-07,3.9789097761736814e-07,1.2593080171925337e-06,1.9638797331899206e-07,0.0597508054198047,routine_or_low_concordance,routine_or_low_concordance,False,False,True,0.2732898549347591,0.5362728174354411,0.2569589194004696,0.2,-0.0567689154327737,2.959557285508432,49.18536628110023,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank020_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank020_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank020_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.,diffusion_claim_blocked;visual_sanity_uncertain,3,2,8.0,0.0,0.0,0.0,22.913194214165536,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723.npz,96,farneback,0.6,0.1929253472222222,0.7430555555555556,37,8.4228298646849e-07,1.7481184841017235e-06,-6.171147806664278e-08,4.069041570653764e-09,2.186331560238841e-09,5.988148110702695e-09,-2.3256634600840718e-10,1.3847988845717785e-07,8.217627112117044e-08,2.0224402419444234e-07,-7.873492067058168e-09,1.0314811031810797e-07,-5.079776107628461e-08,6.732811104697796e-07,-1.3298970209457569e-08,5.281815755536042e-07,1.227230305953745e-06,-4.7398597659679656e-08,7.247189812155668e-07,5.258837538876677e-07,1.122031187774411e-06,-3.0091458798304315e-08,-7.026286663602832e-09,-5.164939587132267e-09,-7.208092567267961e-10,2.8306577102308336e-10,1.0273007688965664e-07,2.65954025735482e-07,-1.078032623477064e-08,1.5323854548940137e-07,1.1212402739602113e-07,2.1679258566109638e-07,-6.692681904538597e-09,0.0058303950606165,0.004749771207571,0.0060209007933735,-8.422147214144194e-05,248.43118756079136,0.1098778128585233,0.1184743106714026,1.0743894947040644e-06,2.823226682948939e-06,35,0.428017572707477,2.0,0.0182068750598705,0.4626239243951588,-0.8834230947222034,0.2152640896142647,2.9932742657753737,2.27835051546394,1.9361822188609168,True,False,True,True,-0.0224336145297501,-0.0078978890864255,6.505494151324114e-05,0.0339168311459391,0.0171349189946005,-2.505250126918148,-145.29706478249418,20,0.5873719280324625,0.0,0.0597508054198047,routine_or_low_concordance,0.4626239243951588,0.0182068750598705,-0.8834230947222034,4.886425777613997e-07,3.816123146971929e-07,6.887630503775783e-08,5.871029635784454e-08,8.42068205117764e-07,0,1
