roi_id,cycleNo,source_stem,event_relative_bin,manual_qc_rank,manual_qc_action_tier,fusion_review_priority_score,transport_kinetic_front_fusion_score,source_guarded_transport_kinetic_front_score,transport_score_raw,transport_score_source_residual,rollout_difficulty_score_raw,kinetic_score_raw,front_score_raw,abs_radial_flow_mean,persistence_particle_mse,kinetic_evidence_score,front_evidence_score,front_kinetic_tier,frame_strip_png,mask_overlay_png,kymograph_png
source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,108.0,12_c2_x10_070723,near_pre_event_1_8,82,routine_or_low_concordance,1.8243419485620602,1.2941868181381428,1.2723439355346977,3.5397487126284872,3.334875744505478,-0.2865759941395636,0.4347625811974554,,1.052790047193824e-06,0.0012184349461757,0.6373935383781543,,routine_or_low_concordance,,,
source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,108.0,12_c2_x10_070723,near_pre_event_1_8,21,review_kinetic_only_guardrail,1.7409867744217178,0.8094472465737843,1.1664975943642588,2.701767405962257,2.402257252949265,0.15287897657903168,0.7857916132370505,-0.6050141896577922,8.041399818338159e-07,0.0018965969817151,0.8528131072758294,-0.7114624278182567,kinetic_only_guardrail,,,
source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,58.0,7_c2_x10_290623,near_pre_event_1_8,25,routine_or_low_concordance,1.6901269497738327,0.8770472056387425,0.882901759374503,2.787566110733968,2.6752566439351635,0.13486373584051303,0.4285126620907299,-0.1401833912353103,1.007453903762593e-06,0.0014603190011771,0.6820125364774908,-0.0907612431304365,routine_or_low_concordance,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank017_source_balanced_cycle58_rank52_obj2_7_c2_x10_290623_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank017_source_balanced_cycle58_rank52_obj2_7_c2_x10_290623_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank017_source_balanced_cycle58_rank52_obj2_7_c2_x10_290623_kymograph.png
source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2,46.0,6_c2_x10_270623_2,mid_pre_event_9_16,7,review_front_only_guardrail,1.5991860528013997,1.222268360972011,1.2288750657122227,-1.0155475821088789,-0.18680447487742774,0.018749011436423137,0.2271415932477818,4.02106495385936,2.067015291455168e-07,0.0028345097482622,-0.1788277085560439,3.900515347434717,front_only_guardrail,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank022_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank022_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank022_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_kymograph.png
source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,58.0,7_c2_x10_290623,near_pre_event_1_8,85,routine_or_low_concordance,1.506261250119302,1.314056769719186,1.1633846419591782,2.584442049292898,2.3807956596600293,0.13523412428958964,0.8837420830382594,,6.99356533982954e-07,0.0019982796644786,1.092182270943485,,routine_or_low_concordance,,,
source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,84.0,9_c2_x10_010723,near_pre_event_1_8,15,routine_or_low_concordance,1.486464870707504,1.265286344274939,0.714614819951856,1.8709593087909333,1.1876625496074358,0.8976851216417769,0.7125130453379989,0.7595711653352056,9.214628282902004e-07,0.0039850774728993,0.735100046723151,0.3288148122051146,routine_or_low_concordance,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_kymograph.png
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,122,routine_or_low_concordance,1.4101880105479285,0.6622659846929744,1.2568552003588198,2.873559428149092,3.259325607285798,-0.3944956506710876,-0.42716916686928313,,8.458495888855051e-07,0.0014007866913328,-0.4715678434028401,,routine_or_low_concordance,,,
source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,78.0,9_c2_x10_010723,near_pre_event_1_8,4,review_front_and_kinetics_first,1.4015401071007672,1.0925462981155527,0.5427006831554926,0.3148071867980925,-0.47128519866604757,0.7631410468856671,1.3459481758517682,0.991972761417683,5.292615307617202e-07,0.003551730674921,1.360044346400645,0.670713603821723,near_pre_front_kinetic_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank010_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank010_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank010_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_kymograph.png
source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723,124.0,14_c2_x10_HighCOV_110723,post_event_1_16,35,routine_or_low_concordance,1.2859220112363476,0.8161825148870259,0.8569932148815994,1.8967407756578483,1.7089801001428544,0.8090822159448006,0.3960826199520174,-0.1972808022063072,8.696369316146264e-07,0.0045450402887177,0.4626239243951588,0.0182068750598705,routine_or_low_concordance,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank020_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank020_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank020_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_kymograph.png
source_balanced_cycle124_rank15_obj1_14_c2_x10_HighCOV_110723,124.0,14_c2_x10_HighCOV_110723,post_event_1_16,46,routine_or_low_concordance,1.2805357590278772,1.0067126648495515,1.148266590460791,1.5733457095519392,1.3622541507717671,1.2322880735597486,0.33545500340825374,0.28456312961370084,5.573860266734031e-07,0.0055404823020765,0.4890736811252418,-0.0397649121530014,routine_or_low_concordance,,,
source_balanced_cycle2_rank31_obj1_2_c2_x14_200623,2.0,2_c2_x14_200623,no_near_event_control,40,review_kinetic_only_guardrail,1.261459030169669,0.5517039395607579,1.114442318456563,1.5754074971837968,1.7496670686718336,0.4043806861986057,1.4758048854390151,-1.3298767421305877,5.98626561313329e-07,0.0032525752048779,0.9107841608923956,-1.5585469409797246,kinetic_only_guardrail,,,
source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,82.0,9_c2_x10_010723,near_pre_event_1_8,13,review_kinetic_only_guardrail,1.2370588747394864,0.8395812229817987,0.34698977964440114,1.606640838942177,0.8664389564258373,0.5074208915641824,1.0412613074163752,-0.22377606008558,6.498686297163855e-07,0.003000915417127,1.027205530383312,-0.5766408363205252,kinetic_only_guardrail,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank018_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank018_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank018_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_kymograph.png
source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,36.0,5_c2_x10_260623,far_pre_event_17_32,22,context_control_concordant,1.1237831965386824,1.150704919695737,0.9571807183189445,0.42876581161841376,0.14173083461251076,0.5807389342421555,1.1461077652945837,1.4104237922263883,5.434473703500321e-07,0.0033641121749483,1.1500971916112743,0.7237023495510817,front_kinetic_concordant,,,
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,post_event_1_16,30,context_control_concordant,1.0916132905908424,0.8941205416743616,0.916412136012568,0.7625831046151901,0.7056238292831634,0.09799784554281554,0.6954234058228309,1.2382393389458473,6.750707105039221e-07,0.0013540035738566,0.928806473910436,0.9396954074558008,front_kinetic_concordant,,,
source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,150.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,10,review_kinetic_only_guardrail,0.9553571329904514,2.9676979083667243,0.8381731473291292,1.0348195990681752,-3.5126241178781834,5.49756984712984,3.323444018914209,-0.01836133005157205,7.720290161081992e-07,0.032735433572906,2.550923296014512,-0.1483382879182488,kinetic_only_guardrail,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank009_source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank009_source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank009_source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png
source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,34.0,4_c2_x10_240623,far_pre_event_17_32,64,routine_or_low_concordance,0.9050563811080613,0.17351661963772083,0.49775441336719756,1.0577982023278811,2.1306498028804377,0.30768318952217094,-0.20947875244050101,-0.4405745850753047,8.02504169723447e-07,0.0014703384480311,-0.3020304785057786,-0.4031412966399589,routine_or_low_concordance,,,
source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,110.0,12_c2_x10_070723,near_pre_event_1_8,24,routine_or_low_concordance,0.9030207695845065,0.2895664371724903,0.5318072279851487,1.3155411574185296,1.0158145569983528,-0.5900174019353119,0.4254500988020042,-0.0879327017212083,7.490502838486267e-07,0.0010401244562717,0.270132739465715,-0.0591368291805943,routine_or_low_concordance,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank013_source_balanced_cycle110_rank12_obj1_12_c2_x10_070723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank013_source_balanced_cycle110_rank12_obj1_12_c2_x10_070723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank013_source_balanced_cycle110_rank12_obj1_12_c2_x10_070723_kymograph.png
source_balanced_cycle26_rank36_obj2_4_c2_x10_240623,26.0,4_c2_x10_240623,no_near_event_control,42,routine_or_low_concordance,0.820128719329352,0.3492632206457046,0.5494479172464957,0.2173256519862258,1.2390630690490738,-0.07703015056751242,0.5595545447232756,0.35172868584145844,4.966394530475621e-07,0.0012997334467933,0.7233867141298058,-0.0511152389858238,routine_or_low_concordance,,,
source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,80.0,9_c2_x10_010723,near_pre_event_1_8,36,review_front_only_guardrail,0.7768773368419483,0.7569404244122959,0.1342391211968615,1.6911408004233193,1.0134221798429794,1.145350424660624,-1.8919683654201045,1.5385122540577139,9.513816441320092e-07,0.0025450366703096,-1.6155694719077995,1.6040821979911222,front_only_guardrail,,,
source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,82.0,9_c2_x10_010723,near_pre_event_1_8,31,routine_or_low_concordance,0.7407436642086254,0.8198166551707031,0.2262746167670995,1.2617080539788335,0.5446495486845853,0.6081690945889601,0.0566875043651243,0.7723404806974671,7.515291492239241e-07,0.0017585842732903,0.3481928307346408,0.5770726686070854,routine_or_low_concordance,,,
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,post_event_1_16,114,routine_or_low_concordance,0.7380284492634435,0.6747919243174819,0.8577144044424035,1.3093309630468504,1.2596225079362502,0.3262255550299751,0.23023209354288862,,5.03217338181336e-07,0.0014066746816543,0.5362481980519861,,routine_or_low_concordance,,,
source_balanced_cycle66_rank55_obj2_8_c2_x10_300623,66.0,8_c2_x10_300623,post_event_1_16,33,review_front_only_guardrail,0.6836476626652749,0.229584899105701,0.7530859905822084,-0.3376587794986888,0.2785187785690029,-0.08415915587096381,-0.4388078356891416,1.3246399325049294,4.224158873178246e-07,0.0012688081818895,-0.3465077332533667,1.0997180609907615,front_only_guardrail,,,
source_balanced_cycle8_rank33_obj1_2_c2_x14_200623,8.0,2_c2_x14_200623,no_near_event_control,16,review_front_only_guardrail,0.6565317433754898,0.9223910891364334,0.33566730695642544,-0.7737020030428207,-0.6877052106695646,-0.7288413999813532,-0.36149697254027086,4.146893197706265,3.0098120144539094e-07,7.592241056818006e-05,-0.3246803289363941,3.983426949762943,front_only_guardrail,,,
source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723,133.0,15_c2_x5_HighCOV_120723,far_pre_event_17_32,34,review_front_only_guardrail,0.6517997399410818,-0.07950539694839143,0.4729150560689299,1.0460236522127293,0.9808261236239554,0.8906168794991405,-2.8995702826114784,0.7333880489413074,6.791708095503661e-07,0.0019875942185508,-2.715282910397075,1.6613395346544113,front_only_guardrail,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank021_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank021_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank021_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_kymograph.png
source_balanced_cycle78_rank61_obj1_9_c2_x10_010723,78.0,9_c2_x10_010723,near_pre_event_1_8,53,routine_or_low_concordance,0.5969448388217111,0.6251954033473206,0.09999283591732702,1.6746271382860471,0.9770828832840348,0.8993765790702056,-0.43084582522457343,0.07959681528703913,8.81509147600868e-07,0.002347887496656,-0.4981056699875939,0.073493717135456,routine_or_low_concordance,,,
source_balanced_cycle66_rank55_obj1_8_c2_x10_300623,66.0,8_c2_x10_300623,post_event_1_16,48,routine_or_low_concordance,0.551925022286841,0.03026008207236933,0.7017167739408223,-0.0803478161753368,0.5360085938376686,0.025828935048268463,0.08807225776225616,-0.012074371366229353,4.854361922279312e-07,0.0017068847569273,0.3880710309741815,-0.1663537351624814,routine_or_low_concordance,,,
