roi_id,cycleNo,validation_score,latent_path_length,latent_mean_step,latent_net_displacement,latent_component0_delta,latent_component1_delta,latent_component0_first,latent_component0_last
cycle86_rank5_obj8,86.0,5.377963073534964,7.659895896911621,0.08063048124313354,0.6650095582008362,0.2389521598815918,-0.005661964416503906,-5.066273212432861,-4.8273210525512695
cycle86_rank2_obj6,86.0,5.344092852173012,7.625845909118652,0.08027206361293793,1.3532063961029053,0.16474413871765137,0.33336806297302246,3.914497137069702,4.0792412757873535
cycle86_rank3_obj5,86.0,4.595016519669338,11.909708976745605,0.12536536157131195,1.4515783786773682,0.11740326881408691,0.11464643478393555,2.410573959350586,2.527977228164673
cycle86_rank8_obj17,86.0,3.8991914755100505,9.677928924560547,0.10187293589115143,0.7904025316238403,0.07811999320983887,0.13589835166931152,-1.9260646104812622,-1.8479446172714233
cycle86_rank4_obj9,86.0,3.518927813373632,18.674793243408203,0.1965767741203308,1.3479591608047485,-0.43427371978759766,-0.03926253318786621,6.643472671508789,6.209198951721191
cycle116_rank3_obj9,116.0,4.261017170280639,11.066969871520996,0.11649441719055176,0.5817989706993103,-0.2417583465576172,-0.2377602458000183,5.783568859100342,5.541810512542725
cycle116_rank2_obj2,116.0,4.159234021974196,5.999821186065674,0.06315601617097855,0.4082314074039459,-0.03288125991821289,0.00841522216796875,3.933875322341919,3.900994062423706
cycle116_rank1_obj6,116.0,4.033089505345082,9.535131454467773,0.10036980360746384,0.3344682455062866,-0.0060541629791259766,0.08016395568847656,2.560096263885498,2.554042100906372
cycle116_rank8_obj20,116.0,3.987079460919189,5.999237537384033,0.06314986944198608,0.2591685950756073,-0.11339235305786133,0.07303333282470703,-6.5973734855651855,-6.710765838623047
cycle116_rank7_obj37,116.0,3.780379242324946,6.655935287475586,0.07006247341632843,0.16746509075164795,0.029458045959472656,-0.09376901388168335,-4.894157886505127,-4.864699840545654
cycle116_rank4_obj58,116.0,3.625239010614535,6.310479164123535,0.0664260983467102,0.14101016521453857,0.025808334350585938,-0.10306525230407715,-5.995488166809082,-5.969679832458496
