roi_id,cohort,cycleNo,control_for_event_cycle,roi_norm_mean_delta_last_minus_first,roi_mean_delta_last_minus_first,stage_drift_xy_sampled,temporal_diff_energy,cumulative_abs_norm_change,first_last_corr,mean_norm_intensity,std_norm_intensity
cycle86_rank5_obj8,event,86.0,,0.0003325119614601,7.5244140625,0.2499999999999317,5.278667595121078e-05,0.013875181786715984,0.9751360660104782,0.0926537811756134,0.14160476624965668
cycle86_rank2_obj6,event,86.0,,0.0001316592097282,3.9912109375,0.2499999999999317,4.831897240364924e-05,0.011798858642578125,0.9808834472003475,0.08102084696292877,0.13257573544979095
cycle86_rank3_obj5,event,86.0,,0.000612773001194,11.564453125,0.2499999999999317,9.460682485951111e-05,0.013881008140742779,0.9813856160286322,0.08431930840015411,0.14325951039791107
cycle86_rank8_obj17,event,86.0,,0.0004057213664054,4.2021484375,0.2499999999999317,0.00010395733988843858,0.018225936219096184,0.9616136750932017,0.12009304016828537,0.13147558271884918
cycle86_rank4_obj9,event,86.0,,-0.0006619244813919,-9.833984375,0.2499999999999317,0.00012165113002993166,0.017737364396452904,0.9732998289084732,0.0915786400437355,0.14905382692813873
cycle116_rank3_obj9,event,116.0,,-0.0010579004883766,-16.58251953125,0.2236067977499281,8.857985812937841e-05,0.008924048393964767,0.9956575701662671,0.08403467386960983,0.14471423625946045
cycle116_rank2_obj2,event,116.0,,-0.0001923888921737,-6.7822265625,0.2236067977499281,4.295408871257678e-05,0.00626085139811039,0.9974569394682737,0.08011447638273239,0.13199883699417114
cycle116_rank1_obj6,event,116.0,,-0.0011647343635559,-21.1826171875,0.2236067977499281,7.897186151240021e-05,0.007965223863720894,0.9968722379364555,0.08607766032218933,0.14546366035938263
cycle116_rank8_obj20,event,116.0,,0.0002583116292953,4.130859375,0.2236067977499281,8.303269714815542e-05,0.009630510583519936,0.9929178219360434,0.11754054576158524,0.1354842185974121
cycle116_rank7_obj37,event,116.0,,-0.0010032206773757,-10.10009765625,0.2236067977499281,0.00023368009715341032,0.013864361681044102,0.9919201759637432,0.14326921105384827,0.14970292150974274
cycle116_rank4_obj58,event,116.0,,-0.0009799525141716,-17.3232421875,0.2236067977499281,0.00010277752880938351,0.009552869014441967,0.993111187807691,0.12769748270511627,0.12470965087413788
cycle88_rank1_obj1,control,88.0,,0.0003089234232902,3.9013671875,0.1802775637731931,0.00015148796956054866,0.010511830449104309,0.9930636229043568,0.09676384180784225,0.12401240319013596
cycle88_rank2_obj2,control,88.0,,-0.0003193095326423,-5.26025390625,0.1802775637731931,0.00010494812886463478,0.009009091183543205,0.9935327909222837,0.07723184674978256,0.12457089871168137
cycle88_rank3_obj3,control,88.0,,0.0002769008278846,2.4013671875,0.1802775637731931,9.373557986691594e-05,0.008253118954598904,0.9950581010704587,0.09654229879379272,0.11833912134170532
cycle88_rank4_obj4,control,88.0,,0.0001411363482475,1.3583984375,0.1802775637731931,5.6508928537368774e-05,0.006753966212272644,0.9962246921477126,0.08247331529855728,0.13302722573280334
cycle88_rank5_obj5,control,88.0,,5.979835987091065e-05,-0.81884765625,0.1802775637731931,6.224262324394658e-05,0.006816752254962921,0.996986405144498,0.09536971151828766,0.14031168818473816
cycle88_rank6_obj6,control,88.0,,-2.919882535934448e-05,-3.8583984375,0.1802775637731931,0.00011531860218383372,0.009211606346070766,0.9943868355121388,0.08579234778881073,0.14356070756912231
cycle88_rank7_obj7,control,88.0,,-0.000115193426609,-2.5166015625,0.1802775637731931,0.00015411712229251862,0.010074188932776451,0.9939383446459976,0.11003129929304123,0.12537267804145813
cycle88_rank8_obj8,control,88.0,,5.126744508743286e-05,-0.86328125,0.1802775637731931,6.432311056414619e-05,0.007012923713773489,0.99687658765629,0.09500192850828171,0.14126740396022797
cycle90_rank1_obj1,control,90.0,,-0.0006302669644355,-11.0400390625,0.2500000000000227,8.60632790136151e-05,0.0092660803347826,0.9921272882126001,0.07626611739397049,0.12363838404417038
