cohort,cycleNo,roi_norm_mean_delta_last_minus_first,roi_mean_delta_last_minus_first,stage_drift_xy_sampled,temporal_diff_energy,cumulative_abs_norm_change,first_last_corr,mean_norm_intensity,std_norm_intensity
control,88.0,4.679057747124988e-05,-0.70703125,0.1802775637731931,0.00010033525813923916,0.008455434755887836,0.9950084225004671,0.09240082371979952,0.13130776584148407
control,90.0,-0.0004322780296206,-7.909423828125,0.2500000000000227,8.92989610292716e-05,0.0093776989961043,0.9930425268423472,0.09447882045060396,0.1315313968807459
control,92.0,-0.0003260914236306617,-5.423583984375,0.1802775637732877,9.078026778297499e-05,0.007861615216825157,0.9960365320215558,0.0945782233029604,0.1314210593700409
control,118.0,-0.0008760327473282124,-15.93634033203125,0.2915475947422533,7.406685153910075e-05,0.00822565279668197,0.9945839111595289,0.09293681662529707,0.13039541989564896
event,86.0,0.00016414821147916,3.4896484375,0.2499999999999317,8.426418862654828e-05,0.015103669837117195,0.9744637266482264,0.09393312335014344,0.13959388434886932
event,116.0,-0.0006899808843930334,-11.306640625,0.2236067977499281,0.00010499935524421744,0.009366310822467009,0.9946559888797456,0.10645567501584689,0.13867892076571783
