cycleNo,source_stem,front_candidate_rank,front_centroid_x_ds,front_centroid_y_ds,front_radius_slope_ds_px_per_frame,front_radius_slope_r2,front_radius_monotonic_fraction,apparent_diffusion_proxy_ds_px2_per_frame,front_radius2_slope_r2,roi_mean_delta_last_minus_first,high_fraction_first,high_fraction_last,front_preview_png,front_trace_csv,downsample,object_candidate_rank,object_candidate_id,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,object_match_distance_ds,object_overlay_png,validation_score,validation_tier,selected_for_next_tracking,roi_id,cohort_role,event_reference_cycle,manual_qc_status,auto_review_flags
88.0,10_c2_x10_030723,4,416.1675675675676,47.6972972972973,1.897201301035948e-06,0.0002072789419745,0.5806451612903226,4.176205234778402e-06,0.0001908549954531,-31.481081081079537,0.2864864864864865,0.2756756756756757,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_88_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_88_10_c2_x10_030723_cand4.csv,4,8,28,415.19083969465646,47.43511450381679,131,4510.19921875,14.399632453918455,1.011304679569272,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png,0.2729973845536271,control_balancing,True,cycle88_rank4_obj8,control,86.0,pending,fragmented_q70_mask;already_in_primary_qc
88.0,10_c2_x10_030723,5,203.66666666666663,97.39622641509432,-0.0005824457793764,0.2274164862712965,0.4838709677419355,-0.0013073852692188,0.2329187121435192,-144.50314465408883,0.3459119496855345,0.3396226415094339,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_88_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_88_10_c2_x10_030723_cand5.csv,4,9,63,202.6021505376344,95.91397849462363,93,5449.6240234375,13.686036109924316,1.8248982126982933,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png,0.0221993187878007,control_balancing,True,cycle88_rank5_obj9,control,86.0,pending,fragmented_q70_mask
90.0,10_c2_x10_030723,3,331.53714285714284,41.96571428571429,0.0001307199089266,0.1634641746582569,0.5483870967741935,0.0003002383650249,0.1620902812704371,-43.88571428571413,0.3771428571428571,0.3714285714285714,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_90_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_90_10_c2_x10_030723_cand3.csv,4,4,20,333.8820224719101,43.16853932584269,178,4178.74560546875,15.197076797485352,2.6353839350103976,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png,-0.0909036875015433,control_balancing,True,cycle90_rank3_obj4,control,86.0,pending,none
90.0,10_c2_x10_030723,5,203.7086092715232,97.44370860927152,-0.000222884145347,0.1880492848485385,0.3870967741935484,-0.0004634247695328,0.189555801452358,8.47682119205274,0.3377483443708609,0.3509933774834437,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_90_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_90_10_c2_x10_030723_cand5.csv,4,10,62,202.675,95.7625,80,5987.1357421875,15.346879959106444,1.973527429266529,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png,-1.004015492165658,control_balancing,True,cycle90_rank5_obj10,control,86.0,pending,fragmented_q70_mask;diffusion_ci_crosses_zero
118.0,13_c2_x6_100723,4,143.5304347826087,55.83478260869565,-5.938006588640984e-05,0.165564476508863,0.7741935483870968,-0.0001242756586803,0.1654248610124913,-108.52173913043409,0.2869565217391304,0.2869565217391304,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_118_13_c2_x6_100723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_118_13_c2_x6_100723_cand4.csv,4,1,33,146.5,58.0,32,14731.552734375,34.05987548828125,3.675116859631419,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png,-0.4393851171686899,control_balancing,True,cycle118_rank4_obj1,control,116.0,pending,fragmented_q70_mask;diffusion_ci_crosses_zero
118.0,13_c2_x6_100723,1,299.283870967742,270.1806451612904,-8.330890156635885e-05,0.0644627430127087,0.4516129032258064,-0.0001603300240653,0.0619004548560989,-88.36129032258032,0.3354838709677419,0.3290322580645161,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_118_13_c2_x6_100723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_118_13_c2_x6_100723_cand1.csv,4,7,144,299.0434782608696,271.8260869565217,69,8601.546875,20.04574012756348,1.6629093045056498,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png,-1.010638192968047,control_balancing,True,cycle118_rank1_obj7,control,116.0,pending,fragmented_q70_mask;already_in_primary_qc
158.0,18_c2_xN_HighHighCOV_170723,1,335.9135802469136,31.882716049382715,1.9866466824367142e-05,0.0881757294531837,0.6451612903225806,4.313350247664821e-05,0.087685686635351,1325.8271604938254,0.382716049382716,0.3765432098765432,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_158_18_c2_xN_HighHighCOV_170723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_158_18_c2_xN_HighHighCOV_170723_cand1.csv,4,2,18,336.4011627906977,32.104651162790695,172,5503.65185546875,14.997166633605955,0.5357162789820366,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_158_18_c2_xN_HighHighCOV_170723_local2.png,2.069622233331016,control_balancing,True,cycle158_rank1_obj2,control,156.0,pending,threshold_sign_unstable
158.0,18_c2_xN_HighHighCOV_170723,6,417.3272727272727,37.59090909090909,-8.87478716083379e-05,0.4758044760525971,0.5806451612903226,-0.00018406116264,0.4797337280476476,1626.181818181818,0.3909090909090909,0.4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_158_18_c2_xN_HighHighCOV_170723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_158_18_c2_xN_HighHighCOV_170723_cand6.csv,4,3,25,417.5221238938053,36.36283185840708,113,6848.15380859375,16.956056594848633,1.2434390479991078,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_158_18_c2_xN_HighHighCOV_170723_local2.png,1.6709359668358303,control_balancing,True,cycle158_rank6_obj3,control,156.0,pending,fragmented_q70_mask
158.0,18_c2_xN_HighHighCOV_170723,4,145.06153846153848,44.22307692307693,6.98753200178388e-05,0.2139154958256834,0.5806451612903226,0.0001401779046497,0.2163384098559998,1167.753846153846,0.2846153846153846,0.3307692307692307,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_158_18_c2_xN_HighHighCOV_170723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_158_18_c2_xN_HighHighCOV_170723_cand4.csv,4,8,31,145.25252525252526,44.76767676767677,99,6642.8671875,14.339102745056152,0.5771177913299816,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_158_18_c2_xN_HighHighCOV_170723_local2.png,0.2823149947463765,control_balancing,True,cycle158_rank4_obj8,control,156.0,pending,fragmented_q70_mask
157.0,18_c2_xN_HighHighCOV_170723,1,335.626582278481,32.04430379746835,4.48817694278128e-05,0.2001716955075119,0.5483870967741935,9.42143912560918e-05,0.1977335648722195,-4260.860759493669,0.3481012658227848,0.3037974683544304,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_157_18_c2_xN_HighHighCOV_170723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_157_18_c2_xN_HighHighCOV_170723_cand1.csv,4,1,18,336.52866242038215,31.656050955414013,157,6124.07568359375,15.727620124816896,0.9820839331623586,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_157_18_c2_xN_HighHighCOV_170723_local1.png,-0.1497380647904002,control_balancing,True,cycle157_rank1_obj1,control,156.0,pending,none
