roi_id,cycleNo,cohort_role,event_reference_cycle,mode_label,is_event_roi,is_event_enriched_mode,n_frames,duration_s,roi_norm_delta,roi_norm_total_variation,roi_norm_max_abs_rate_per_s,roi_norm_rate_sign_consistency,q60_threshold,q60_fraction_first,q60_fraction_last,q60_fraction_delta,q60_fraction_total_variation,q60_variation_to_net_abs,q60_max_abs_rate_per_s,q60_signed_rate_at_max_abs_per_s,q60_time_of_max_abs_rate_s,q60_time_of_max_abs_rate_frac,q60_positive_rate_fraction,q60_negative_rate_fraction,q60_logistic_low,q60_logistic_amp,q60_logistic_k_per_s,q60_logistic_t0_s,q60_logistic_r2,q60_avrami_direction,q60_avrami_n,q60_avrami_logk,q60_avrami_r2,q60_transformed_fraction_delta,q70_threshold,q70_fraction_first,q70_fraction_last,q70_fraction_delta,q70_fraction_total_variation,q70_variation_to_net_abs,q70_max_abs_rate_per_s,q70_signed_rate_at_max_abs_per_s,q70_time_of_max_abs_rate_s,q70_time_of_max_abs_rate_frac,q70_positive_rate_fraction,q70_negative_rate_fraction,q70_logistic_low,q70_logistic_amp,q70_logistic_k_per_s,q70_logistic_t0_s,q70_logistic_r2,q70_avrami_direction,q70_avrami_n,q70_avrami_logk,q70_avrami_r2,q70_transformed_fraction_delta,q80_threshold,q80_fraction_first,q80_fraction_last,q80_fraction_delta,q80_fraction_total_variation,q80_variation_to_net_abs,q80_max_abs_rate_per_s,q80_signed_rate_at_max_abs_per_s,q80_time_of_max_abs_rate_s,q80_time_of_max_abs_rate_frac,q80_positive_rate_fraction,q80_negative_rate_fraction,q80_logistic_low,q80_logistic_amp,q80_logistic_k_per_s,q80_logistic_t0_s,q80_logistic_r2,q80_avrami_direction,q80_avrami_n,q80_avrami_logk,q80_avrami_r2,q80_transformed_fraction_delta
cycle58_rank6_obj29,58.0,control,60.0,near_baseline_or_context_like,0,0,96,9246.054083347328,0.0013746559619903648,0.04692798554897305,8.999315585024896e-06,0.5208333333333334,0.10052518546581268,0.4000651041666667,0.4034288194444444,0.00846354166666663,0.2195312500000003,25.938461538461684,4.091577427466162e-05,-4.091577427466162e-05,8954.073428083728,0.968421052631579,0.53125,0.46875,0.40365689623211914,0.06459850121329512,0.002280998052263062,1732.9903788682411,0.4692414289714044,growth,0.5707676847233643,-5.178939452740323,0.23723711714998763,0.00846354166666663,0.122488584369421,0.3000217013888889,0.3041449652777778,0.006662326388888917,0.19889322916666669,29.853420195439615,4.1584697014847424e-05,-4.1584697014847424e-05,5547.632450008397,0.6000000000000001,0.53125,0.46875,0.30596479512103764,0.05542282863614815,0.0024544286701159647,1849.625984890488,0.45418184149022944,growth,0.5463712819693697,-4.981109142478249,0.20413347877769694,0.006662326388888917,0.1554155796766281,0.20008680555555555,0.20182291666666666,0.00503472222222226,0.15086805555555563,29.9655172413791,3.0993420295247816e-05,-3.0993420295247816e-05,8954.073428083728,0.968421052631579,0.53125,0.46875,0.20247421639641416,0.04163182021185529,0.0023757395707830423,1821.79340867056,0.4656457581788839,growth,0.5042696873140166,-4.6220710605270225,0.1742395736888841,0.00503472222222226
cycle58_rank4_obj2,58.0,control,60.0,near_baseline_or_context_like,0,0,96,9246.054083347328,0.0009300813078880338,0.034161727130413086,6.95938498069767e-06,0.5208333333333334,0.07301121950149536,0.4000651041666667,0.4004991319444444,0.004991319444444475,0.2380208333333333,47.68695652173883,6.243278908395255e-05,-6.243278908395255e-05,5060.998024569064,0.5473684210526316,0.5208333333333334,0.4791666666666667,0.40986344568305877,0.05832754949654136,0.002402137551935729,1917.8651032339174,0.37867577876816993,growth,0.45422464415407776,-4.374680112652039,0.16780798708232303,0.004991319444444475,0.08829387277364731,0.3000217013888889,0.2979600694444444,0.002365451388888884,0.18964843749999993,80.17431192660564,4.6155669072779366e-05,-4.6155669072779366e-05,5060.998024569064,0.5473684210526316,0.5208333333333334,0.4791666666666667,0.3041358598488242,0.04901295786530438,0.0023736906375953263,1811.2015909733484,0.37933313858983353,growth,0.42105079465473705,-4.064280655834984,0.12111152716176299,0.002365451388888884,0.10920969396829605,0.20008680555555555,0.20149739583333334,0.004557291666666685,0.1345920138888888,29.533333333333196,3.110490741861215e-05,-3.110490741861215e-05,5060.998024569064,0.5473684210526316,0.5104166666666666,0.4895833333333333,0.20288384448797914,0.03574616579288561,0.0023346718648020104,1864.8202269973935,0.41348003922261856,growth,0.4496494555671087,-4.29978614384892,0.1470705747729355,0.004557291666666685
cycle58_rank1_obj1,58.0,control,60.0,near_baseline_or_context_like,0,0,96,9246.054083347328,0.0003274381160736084,0.026441198587417614,5.717870152048153e-06,0.5208333333333334,0.06176621466875076,0.4000651041666667,0.4024522569444444,0.004492187499999967,0.18057725694444432,40.19806763285051,5.050366688398285e-05,-5.050366688398285e-05,5060.998024569064,0.5473684210526316,0.53125,0.46875,0.4057932650714542,0.0465869692938748,0.002406739774663575,1641.6140917318667,0.3638316813155503,growth,0.41892747109629064,-4.029852405641645,0.144232381018762,0.004492187499999967,0.07135256007313728,0.3000217013888889,0.3040364583333333,0.004926215277777701,0.15683593750000002,31.83700440528684,3.913198030083484e-05,-3.913198030083484e-05,5060.998024569064,0.5473684210526316,0.5104166666666666,0.4895833333333333,0.30599238460589484,0.04036067848788023,0.002428538123924755,1711.3216134230659,0.362537842320264,growth,0.3645859362510363,-3.5811565124139033,0.10394379967568557,0.004926215277777701,0.08341013640165329,0.20008680555555555,0.20572916666666666,0.00657552083333332,0.1192491319444445,18.13531353135318,2.8206242211142873e-05,-2.8206242211142873e-05,5255.651794744797,0.568421052631579,0.5416666666666666,0.4583333333333333,0.20445267241947518,0.03152045568473772,0.0024320153166320665,1715.481687571924,0.3786665208664183,growth,0.46216123082523924,-4.358304762339328,0.185539172930396,0.00657552083333332
cycle58_rank3_obj9,58.0,control,60.0,near_baseline_or_context_like,0,0,96,9246.054083347328,0.0014721125364303561,0.04362384974956511,9.30801971429034e-06,0.5104166666666666,0.053285952657461166,0.4000651041666667,0.3962673611111111,0.006445312500000078,0.3049696180555555,47.316498316497736,6.722673538861294e-05,-6.722673538861294e-05,9051.400313171594,0.9789473684210526,0.53125,0.46875,0.40536086268971266,0.08334001061357474,0.002488456241312984,2137.386352257792,0.47364660474356457,growth,0.6386120682114979,-5.9037026521323845,0.22879131942063835,0.006445312500000078,0.06571460887789726,0.3000217013888889,0.3005642361111111,0.005859375,0.23862847222222228,40.725925925925935,4.86083857867926e-05,4.86083857867926e-05,4379.709828953997,0.47368421052631576,0.5208333333333334,0.4791666666666667,0.3054007144760537,0.06480029019531397,0.0024802701154828175,2155.85469196257,0.47823952379437784,growth,0.6526403082668256,-6.04930097575832,0.2447938170658751,0.005859375,0.08773775398731232,0.20008680555555555,0.2023654513888889,0.005837673611111149,0.14880642361111096,25.490706319702408,2.7648806594322275e-05,2.7648806594322275e-05,4379.709828953997,0.47368421052631576,0.4895833333333333,0.5,0.2017112732655665,0.04403858869649852,0.002476918143648143,2097.3247695117298,0.4930351982051484,growth,0.7049493278295181,-6.430430211746688,0.28160599243497086,0.005837673611111149
cycle60_rank3_obj9,60.0,event,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,1,96,9252.832955360413,0.0011806219816207913,0.04437066018581391,1.0530713745782118e-05,0.5208333333333334,0.053238317370414734,0.4000651041666667,0.4028862847222222,0.008940972222222288,0.29891493055555557,33.432038834951214,6.561780706169093e-05,-6.561780706169093e-05,9058.036472089667,0.9789473684210526,0.5104166666666666,0.4895833333333333,0.4112107888830327,0.0823341828414843,0.002424926788181183,2161.3147015641525,0.48000019896163915,growth,0.6354378315367618,-5.82420364391032,0.2772544958305495,0.008940972222222288,0.06473608687520027,0.3000217013888889,0.3057725694444444,0.00826822916666664,0.24841579861111113,30.044619422572275,5.436585712411757e-05,-5.436585712411757e-05,8960.638230454295,0.968421052631579,0.5104166666666666,0.4895833333333333,0.3140877135266974,0.06732959570354784,0.002450627974481345,2153.1877613862753,0.48034559043839775,growth,0.620268203659948,-5.630356634896395,0.3030811936977892,0.00826822916666664,0.08676747977733612,0.20008680555555555,0.2029079861111111,0.006293402777777762,0.1617621527777778,25.703448275862137,3.2864606253307825e-05,3.2864606253307825e-05,4285.522631956402,0.4631578947368421,0.5104166666666666,0.4895833333333333,0.2062429446109706,0.04445707817932208,0.0024852856673160447,2340.1801274779896,0.49825539008256603,growth,0.6633900610060683,-6.092311969443318,0.28499669493133406,0.006293402777777762
cycle60_rank1_obj1,60.0,event,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,1,96,9252.832955360413,0.00023885071277618408,0.02544360756874084,4.694837870227917e-06,0.5104166666666666,0.06190217658877373,0.4000651041666667,0.4020182291666667,0.0035156250000000777,0.16901041666666644,48.074074074072946,3.3755849812720524e-05,-3.3755849812720524e-05,4967.310323404011,0.5368421052631579,0.5104166666666666,0.4895833333333333,0.4082495762620426,0.043158766913281674,0.0023728843278885024,1595.9325049482316,0.33578812644933853,growth,0.35031312906384837,-3.41429114743309,0.10109069770937928,0.0035156250000000777,0.07188038900494576,0.3000217013888889,0.3037109375,0.002582465277777779,0.14806857638888898,57.33613445378152,2.8854010235955562e-05,-2.8854010235955562e-05,4967.310323404011,0.5368421052631579,0.5,0.4895833333333333,0.3075362832492188,0.036401903191978675,0.0025091223999303106,1638.901618801315,0.321810877099285,growth,0.3242020200492835,-3.290657812583609,0.07724683183319248,0.002582465277777779,0.08424282819032669,0.20008680555555555,0.1990017361111111,-8.680555555554137e-05,0.11137152777777773,1283.0000000002092,2.5066225108455768e-05,-2.5066225108455768e-05,4967.310323404011,0.5368421052631579,0.53125,0.46875,0.23195514516720298,-0.02815749614323586,-0.0024578121261028952,1598.6161546260464,0.35376467847876414,decay,-0.3439092583570651,2.4550561552058765,0.10406308554484622,-8.680555555554137e-05
cycle60_rank2_obj2,60.0,event,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,1,96,9252.832955360413,0.0017500683665275518,0.04482343643903733,8.060702243655208e-06,0.5104166666666666,0.05754520744085312,0.4000651041666667,0.4061414930555556,0.008007812500000044,0.21929253472222232,27.384823848238344,4.233406907205731e-05,-4.233406907205731e-05,8863.239988818923,0.9578947368421055,0.5104166666666666,0.4895833333333333,0.4082376560722055,0.062710748210479,0.0023953332174800725,1742.9700971180876,0.45693398449552913,growth,0.5500216687886713,-4.99414512133597,0.2523332981080004,0.008007812500000044,0.07031341269612312,0.3000217013888889,0.3074001736111111,0.006640625000000011,0.1935763888888889,29.150326797385574,3.598395871124934e-05,-3.598395871124934e-05,8863.239988818923,0.9578947368421055,0.5104166666666666,0.4895833333333333,0.3091153080965722,0.05521038901024244,0.0024238289319844257,1721.4798824068544,0.43212585858936303,growth,0.5023972231308285,-4.60684823921725,0.2097238980976467,0.006640625000000011,0.08972331881523132,0.20008680555555555,0.20572916666666666,0.007031249999999989,0.15703125000000012,22.333333333333385,2.762855034176416e-05,2.762855034176416e-05,2337.5577992489466,0.25263157894736843,0.5104166666666666,0.4895833333333333,0.20641534523528154,0.04637481675756286,0.0023574130234342225,1761.5970271760837,0.4508285557320372,growth,0.5666419603151571,-5.113934260331914,0.25730178081723565,0.007031249999999989
cycle60_rank4_obj5,60.0,event,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,1,96,9252.832955360413,0.00012114048004152611,0.035973981022834806,7.163296502574418e-06,0.5104166666666666,0.07565062493085861,0.4000651041666667,0.3950737847222222,-0.0037109375000000666,0.23157552083333344,62.403508771928735,4.66788814241911e-05,-4.66788814241911e-05,5843.894498122366,0.631578947368421,0.5104166666666666,0.4895833333333333,0.4122916030586855,0.05366448188266732,0.002561443919032967,1894.8381550505126,0.3153780838304766,decay,-0.35618765673198377,2.5273682095739263,0.12466043684638428,-0.0037109375000000666,0.09085371345281601,0.3000217013888889,0.2985026041666667,-0.000564236111111116,0.18333333333333335,324.9230769230741,3.776644583007257e-05,-3.776644583007257e-05,5064.708565039384,0.5473684210526316,0.5104166666666666,0.4895833333333333,0.35243181500894194,-0.04322812284573886,-0.002458154655019608,1830.8194850040193,0.3197393296648503,decay,-0.37171724319673033,2.625658928819471,0.09822029199698346,-0.000564236111111116,0.1119443029165268,0.20008680555555555,0.20106336805555555,0.0008463541666666741,0.1403862847222223,165.87179487179353,2.863119934610244e-05,-2.863119934610244e-05,5454.301531580875,0.5894736842105264,0.5,0.5,0.2076636923160565,0.032845590451419555,0.0024453611110087366,1718.8899194760106,0.3271380354086121,growth,0.37796046099598496,-3.691789433191217,0.11961158035506703,0.0008463541666666741
cycle60_rank6_obj26,60.0,event,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,1,96,9252.832955360413,7.309466600419201e-05,0.04859049469232557,9.428007910261332e-06,0.5104166666666666,0.10064396262168884,0.4000651041666667,0.4024522569444444,0.0027994791666666186,0.20509982638888896,73.26356589147416,4.244547451698506e-05,-4.244547451698506e-05,9058.036472089667,0.9789473684210526,0.5104166666666666,0.4895833333333333,0.4098117580481114,0.055685173780152725,0.0024275956555251084,1732.1538090692716,0.41498786065559945,growth,0.5188869620703654,-4.720048489238331,0.2253848411013344,0.0027994791666666186,0.12277668714523315,0.3000217013888889,0.3038194444444444,0.005490451388888873,0.19090711805555544,34.770750988142375,4.344812352132291e-05,-4.344812352132291e-05,7110.071639382212,0.768421052631579,0.5104166666666666,0.4895833333333333,0.3077488326593371,0.05318698130621944,0.00247922926176739,1748.3098845822158,0.42847859389069,growth,0.5248918418085642,-4.812045859937151,0.21375184890667875,0.005490451388888873,0.15595385432243347,0.20008680555555555,0.197265625,-0.0005208333333333037,0.1470052083333333,282.250000000016,3.0190875575072983e-05,-3.0190875575072983e-05,7110.071639382212,0.768421052631579,0.5208333333333334,0.4791666666666667,0.24406919709446942,-0.038105035447367215,-0.0026661483713607374,1867.414483879325,0.40502115253242554,decay,-0.4112395219685501,2.9151723715337843,0.13852312460315674,-0.0005208333333333037
cycle60_rank5_obj18,60.0,event,60.0,front_negative_high_apparent_front_proxy,1,0,96,9252.832955360413,0.0003419995307922252,0.03861435949802397,7.299581862234012e-06,0.5104166666666666,0.05879272148013115,0.4000651041666667,0.4000651041666667,-0.00013020833333332593,0.23411458333333324,1798.0000000001014,5.61483442429408e-05,-5.61483442429408e-05,5843.894498122366,0.631578947368421,0.5104166666666666,0.4895833333333333,0.4662565559195003,-0.056693119033492737,-0.002515077606106613,1573.6421556485143,0.29073312184681266,decay,-0.31162473640140853,2.1404399841871453,0.0709766995229213,-0.00013020833333332593,0.06842324137687683,0.3001302083333333,0.2990451388888889,-0.0008029513888889173,0.2010199652777776,250.3513513513423,3.96603383938229e-05,-3.96603383938229e-05,5064.708565039384,0.5473684210526316,0.5,0.5,0.3566176302124649,-0.04840038405101739,-0.0024334762369294842,1536.9956536484572,0.2866489381113152,decay,-0.3202222243649536,2.2383925176633355,0.09793742947439421,-0.0008029513888889173,0.08180315792560577,0.20008680555555555,0.19932725694444445,-0.0013454861111111271,0.14123263888888887,104.96774193548261,3.642958049095558e-05,-3.642958049095558e-05,5064.708565039384,0.5473684210526316,0.5,0.5,0.23807788543308614,-0.03199535867040295,-0.0025435702788516477,1516.7505403149082,0.2751090794343579,decay,-0.2851050270364515,1.9672036098450105,0.08893947711238115,-0.0013454861111111271
