feature,target,n,spearman_rho,spearman_p
q70_logistic_r2,n_frames_percentile,50,-0.8011900346132779,2.796043105620612e-12
q60_logistic_r2,n_frames_percentile,48,-0.7755444336930541,9.625188556614372e-11
roi_norm_rate_sign_consistency,n_frames_percentile,52,0.7278379714636037,9.758431495644271e-10
roi_norm_max_abs_rate_per_s,n_frames_percentile,52,0.7007871805832985,7.280751082386229e-09
q80_max_abs_rate_per_s,n_frames_percentile,52,0.6994095426806897,8.017632896228826e-09
q60_max_abs_rate_per_s,n_frames_percentile,52,0.6900243844691675,1.5246414698965665e-08
q70_max_abs_rate_per_s,n_frames_percentile,52,0.6856331636546019,2.0427602297402064e-08
q70_variation_to_net_abs,n_frames_percentile,52,-0.674870367540471,4.0975077784768094e-08
q80_variation_to_net_abs,n_frames_percentile,52,-0.6543780037391657,1.4283054007745035e-07
q60_variation_to_net_abs,n_frames_percentile,52,-0.6393961915482952,3.3574399005621735e-07
q80_time_of_max_abs_rate_s,n_frames_percentile,52,-0.6050758108408699,2.019535555772647e-06
q80_avrami_r2,n_frames_percentile,52,-0.605041346351989,2.022964744189567e-06
q80_logistic_r2,n_frames_percentile,48,-0.5949636978613899,8.205652521349904e-06
q60_logistic_k_per_s,n_frames_percentile,48,0.591459402199405,9.560884991247401e-06
q60_avrami_r2,n_frames_percentile,52,-0.5711170130002481,9.803656646603182e-06
q70_positive_rate_fraction,V_mean,38,-0.6468991235484287,1.141360431509444e-05
q70_logistic_k_per_s,n_frames_percentile,50,0.5729288341317723,1.3730368885724637e-05
q60_positive_rate_fraction,V_mean,38,-0.6216572430471795,3.103101361726647e-05
q70_fraction_total_variation,n_frames_percentile,52,0.5418422075698117,3.3461624780026e-05
q80_positive_rate_fraction,n_frames_percentile,52,0.5384654091815348,3.8272791031511136e-05
roi_norm_total_variation,n_frames_percentile,52,0.5379676009687246,3.9033576370083067e-05
q80_fraction_total_variation,n_frames_percentile,52,0.5375370891241592,3.970270498463293e-05
q60_positive_rate_fraction,n_frames_percentile,52,0.5314866644500078,5.029295670370708e-05
q60_fraction_total_variation,n_frames_percentile,52,0.5231579935156803,6.913474756276346e-05
q70_avrami_r2,n_frames_percentile,52,-0.5229857887778541,6.958500319066123e-05
q80_max_abs_rate_per_s,V_mean,38,-0.5988190102917643,7.13576561279581e-05
q70_variation_to_net_abs,mode_review_priority,52,-0.5102777017441962,0.0001112852722742392
q70_positive_rate_fraction,n_frames_percentile,52,0.5067752906960898,0.00012625142839698935
q60_logistic_r2,mode_review_priority,48,-0.5141399345358384,0.00018548687070831825
q80_variation_to_net_abs,V_mean,38,0.5670350303868569,0.00020567248053952718
q70_max_abs_rate_per_s,V_mean,38,-0.5533502612611328,0.0003140877788451619
q80_variation_to_net_abs,mode_review_priority,52,-0.47522892795251326,0.0003706995620256227
q70_time_of_max_abs_rate_s,n_frames_percentile,52,-0.4666492612334861,0.00048822366563756935
q80_fraction_delta,phase_slope_positive_fraction_protocol_residual,52,0.46629151562274496,0.0004937851863140787
q80_transformed_fraction_delta,phase_slope_positive_fraction_protocol_residual,52,0.46629151562274496,0.0004937851863140787
q70_fraction_delta,V_mean,38,-0.5332645517378927,0.0005662114348579947
q70_transformed_fraction_delta,V_mean,38,-0.5332645517378927,0.0005662114348579947
q70_variation_to_net_abs,V_mean,38,0.5266428892577035,0.0006821947322866898
q60_positive_rate_fraction,phase_slope_positive_fraction_protocol_residual,52,0.4543282672415063,0.0007161370950089431
roi_norm_max_abs_rate_per_s,mode_review_priority,52,0.4519199992189459,0.0007705401057066718
q70_positive_rate_fraction,phase_slope_positive_fraction_protocol_residual,52,0.4482148706614119,0.0008615230644611148
q60_max_abs_rate_per_s,V_mean,38,-0.5081022343131743,0.0011270858039187732
q70_logistic_r2,mode_review_priority,50,-0.4468989374573889,0.001139922729924382
q60_time_of_max_abs_rate_s,n_frames_percentile,52,-0.4370679333759689,0.001196343796568165
