target,context_feature,n,rho,p_value,abs_rho
mode_review_priority,n_frames_percentile,52,0.7157717749389193,2.460645484151958e-09,0.7157717749389193
mode_review_priority,block_fraction_elapsed,14,-0.6148134633477509,0.019293052329115004,0.6148134633477509
mode_review_priority,V_mean,38,-0.5027495577385529,0.001296139949397487,0.5027495577385529
is_event_enriched_mode,block_fraction_elapsed,14,-0.4338458507606385,0.121169390883386,0.4338458507606385
mode_pc1,object_y_full_approx,52,0.38657901476991374,0.00464227438750052,0.38657901476991374
mode_review_priority,cycles_to_block_end,52,0.37827881558581383,0.005691185191728803,0.37827881558581383
mode_review_priority,V_range,38,-0.37074330723244775,0.021939682845695356,0.37074330723244775
is_high_apparent_front_proxy_mode,block_fraction_elapsed,14,0.36689969285267143,0.19691392183364162,0.36689969285267143
is_event_enriched_mode,n_frames_percentile,52,0.3431979652970131,0.012744203928901665,0.3431979652970131
mode_pc1,object_x_full_approx,52,-0.30683855545120803,0.026930080091822614,0.30683855545120803
mode_review_priority,cycles_from_block_start,52,0.2943360351056995,0.03417004057601021,0.2943360351056995
mode_pc1,object_candidate_rank,52,0.28669872131075763,0.0393378737512865,0.28669872131075763
is_high_apparent_front_proxy_mode,object_x_full_approx,52,0.27960272918697904,0.04470006745642463,0.27960272918697904
is_high_apparent_front_proxy_mode,I_mean_mA,38,0.273270598663596,0.09690489233839236,0.273270598663596
is_high_apparent_front_proxy_mode,I_pos_fraction,38,0.273270598663596,0.09690489233839236,0.273270598663596
mode_review_priority,cycleNo,52,-0.2500507057623553,0.0738036140212056,0.2500507057623553
is_event_enriched_mode,object_y_full_approx,52,0.2470871135285404,0.07740383301212908,0.2470871135285404
mode_review_priority,I_abs_mean_mA,38,0.2424360633300388,0.14250315218135776,0.2424360633300388
is_high_apparent_front_proxy_mode,cycles_to_block_end,52,-0.2367977067018193,0.09099051712245075,0.2367977067018193
mode_review_priority,event_reference_cycle,52,-0.2204301140078454,0.11634816690550126,0.2204301140078454
mode_pc1,front_candidate_rank,52,0.2131393821904608,0.12924145655217728,0.2131393821904608
is_high_apparent_front_proxy_mode,I_abs_mean_mA,38,-0.21230991843282734,0.2006526758868267,0.21230991843282734
mode_review_priority,object_y_full_approx,52,-0.20875579030612557,0.13749523044813147,0.20875579030612557
mode_pc1,I_abs_mean_mA,38,0.20331122226812515,0.22085271730757955,0.20331122226812515
is_event_enriched_mode,cycles_to_block_end,52,0.20259373504381645,0.14975548845972728,0.20259373504381645
mode_pc2,object_candidate_rank,52,-0.19642423618088126,0.16282243308693103,0.19642423618088126
mode_pc2,I_mean_mA,38,-0.1940147106695396,0.243143346735898,0.1940147106695396
mode_pc2,I_pos_fraction,38,-0.1940147106695396,0.243143346735898,0.1940147106695396
mode_pc1,block_fraction_elapsed,14,-0.19221096468478313,0.5103342679473865,0.19221096468478313
is_event_enriched_mode,I_abs_mean_mA,38,0.17712297710801908,0.28740781852707536,0.17712297710801908
is_high_apparent_front_proxy_mode,cycles_from_block_start,52,-0.16267606698717782,0.24921731590654392,0.16267606698717782
is_high_apparent_front_proxy_mode,n_frames_percentile,52,-0.1606653700109626,0.2551951723596375,0.1606653700109626
is_event_enriched_mode,I_mean_mA,38,0.1484247452964812,0.37382700206388025,0.1484247452964812
is_event_enriched_mode,I_pos_fraction,38,0.1484247452964812,0.37382700206388025,0.1484247452964812
mode_pc2,front_candidate_rank,52,-0.14655220528827798,0.29986463300554145,0.14655220528827798
is_event_enriched_mode,V_range,38,0.13655076567276273,0.41365644849806205,0.13655076567276273
mode_pc1,V_mean,38,-0.13331613793447317,0.424908610210694,0.13331613793447317
mode_pc2,block_fraction_elapsed,14,0.13126602466277873,0.6546550188016994,0.13126602466277873
mode_pc2,n_frames_percentile,52,-0.12915355336957215,0.3614900619437911,0.12915355336957215
is_event_enriched_mode,object_x_full_approx,52,-0.1287220292034911,0.3631100776493479,0.1287220292034911
is_high_apparent_front_proxy_mode,V_mean,38,0.1252490243874815,0.4537046668010514,0.1252490243874815
is_high_apparent_front_proxy_mode,object_y_full_approx,52,-0.11704300291547959,0.40861255212448366,0.11704300291547959
is_event_enriched_mode,cycles_from_block_start,52,0.10630109881939269,0.45322877377471416,0.10630109881939269
is_event_enriched_mode,object_candidate_rank,52,0.10112533217239866,0.47564148117769134,0.10112533217239866
is_high_apparent_front_proxy_mode,event_reference_cycle,52,-0.10088599623918637,0.4766919370776469,0.10088599623918637
is_high_apparent_front_proxy_mode,object_candidate_rank,52,0.09966902685859626,0.48205227526276906,0.09966902685859626
mode_review_priority,object_candidate_rank,52,-0.09605150933409805,0.49817205455700814,0.09605150933409805
is_event_enriched_mode,front_candidate_rank,52,0.09423169208839807,0.5063850465257105,0.09423169208839807
mode_pc1,n_frames_percentile,52,0.09023528262087441,0.5246604398798497,0.09023528262087441
is_event_enriched_mode,cycleNo,52,-0.08620193016995041,0.5434309360024254,0.08620193016995041
mode_review_priority,object_x_full_approx,52,-0.08585028513407332,0.5450826524691001,0.08585028513407332
mode_pc1,I_mean_mA,38,-0.07063106645535001,0.6734764887073984,0.07063106645535001
mode_pc1,I_pos_fraction,38,-0.07063106645535001,0.6734764887073984,0.07063106645535001
mode_pc2,V_range,38,-0.06643734688456361,0.691880254952107,0.06643734688456361
mode_pc1,cycleNo,52,-0.05926049516603236,0.6764498126323036,0.05926049516603236
mode_pc2,V_mean,38,-0.0545183544202233,0.7451136942402111,0.0545183544202233
